Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,TUA1-1,1,818,788521.980865624267608,477,639,162,568.723716381418058,29.632458412482542,465216.000000000000000,140,569,477,572
2,TUA1-2,2,78,75189.137539753908641,541,636,95,592.217948717948730,26.076144632003761,46193.000000000000000,50,567,541,587
3,TUA1-3,3,103,99288.220084546817816,560,635,75,594.466019417475763,20.309649308364534,61230.000000000000000,58,584,560,591
4,TUA1-4,4,104,100252.183386338540004,556,634,78,598.500000000000000,16.992079602884669,62244.000000000000000,49,622,556,596
5,TUA1-5,5,117,112783.706309630855685,562,637,75,602.957264957265011,18.860891189208072,70546.000000000000000,58,610,562,602
6,TUA1-6,6,116,111819.743007839133497,569,631,62,600.827586206896513,16.863179569942677,69696.000000000000000,53,609,569,604
7,TUA1-7,7,103,99288.220084546817816,563,618,55,590.320388349514587,14.246930238067927,60803.000000000000000,47,582,566,588
8,TUA1-8,8,105,101216.146688130262191,562,622,60,590.028571428571468,15.851968267668259,61953.000000000000000,47,573,562,589
9,TUA1-9,9,94,90612.550368421376334,569,637,68,600.765957446808557,15.930317363985228,56472.000000000000000,51,583,569,599
10,TUA1-10,10,107,103144.073291713692015,567,658,91,601.224299065420610,23.829734198797052,64331.000000000000000,53,578,567,592
11,TUA1-11,11,107,103144.073291713692015,561,660,99,606.093457943925273,25.638585374494408,64852.000000000000000,71,600,561,602
12,TUA1-12,12,103,99288.220084546817816,566,662,96,606.048543689320354,23.276046540153370,62423.000000000000000,60,596,566,602
13,TUB1-1,13,24,23135.119243001201539,485,594,109,530.791666666666629,34.052629813602472,12739.000000000000000,22,485,486,531
14,TUB1-2,14,161,155198.091588466399116,480,589,109,536.198757763975209,32.877491380131133,86328.000000000000000,73,499,480,547
15,TUB1-3,15,110,106035.963197088844026,483,587,104,533.909090909090878,27.402901457044422,58730.000000000000000,63,545,483,538
16,TUB1-4,16,96,92540.476972004806157,461,579,118,514.927083333333371,22.820515619935264,49433.000000000000000,58,527,461,519
17,TUB1-5,17,101,97360.293480963387992,443,569,126,495.346534653465369,27.368926386610489,50030.000000000000000,67,500,443,497
18,TUB1-6,18,106,102180.109989921969827,433,575,142,486.226415094339643,37.064778332114749,51540.000000000000000,63,520,433,479
19,TUB1-7,19,102,98324.256782755110180,428,533,105,466.205882352941160,28.367800800567451,47553.000000000000000,56,452,429,457
20,TUB1-8,20,105,101216.146688130262191,428,538,110,471.504761904761892,36.925697287680393,49508.000000000000000,60,436,428,460
21,TUB1-9,21,100,96396.330179171665804,427,530,103,449.550000000000011,23.459060083473080,44955.000000000000000,44,434,427,440
22,TUB1-10,22,100,96396.330179171665804,427,533,106,457.310000000000002,35.327523264446462,45731.000000000000000,45,432,437,436
23,TUB1-11,23,105,101216.146688130262191,428,529,101,453.704761904761881,25.407506880756859,47639.000000000000000,48,436,428,442
24,TUB1-12,24,105,101216.146688130262191,432,507,75,453.704761904761881,18.997706031706453,47639.000000000000000,44,435,432,447
25,TUB1-13,25,104,100252.183386338540004,436,509,73,458.673076923076906,18.080185875752761,47702.000000000000000,46,447,437,454
26,TUA2-1,26,95,91576.513670213083969,568,628,60,600.452631578947376,13.933502541529846,57043.000000000000000,46,594,568,600
27,TUA2-2,27,21,20243.229337626049528,583,630,47,605.047619047619037,13.868347621819959,12706.000000000000000,18,584,583,606
28,TUA2-3,28,31,29882.862355543220474,587,636,49,610.580645161290363,13.030421461130416,18928.000000000000000,29,603,587,611
29,TUA2-4,29,63,60729.688012878155860,584,632,48,613.634920634920604,10.852988158928802,38659.000000000000000,33,618,584,616
30,TUA2-5,30,65,62657.614616461585683,570,629,59,603.138461538461570,15.588829257937640,39204.000000000000000,34,574,570,606
31,TUA2-6,31,88,84828.770557671072311,572,628,56,598.647727272727252,14.842383854054621,52681.000000000000000,42,598,573,598
32,TUA2-7,32,88,84828.770557671072311,559,616,57,585.931818181818130,13.199341800520697,51562.000000000000000,46,576,559,584
33,TUA2-8,33,104,100252.183386338540004,558,609,51,581.644230769230717,11.831280466848428,60491.000000000000000,41,574,558,582
34,TUA2-9,34,99,95432.366877379958169,551,623,72,584.060606060606005,19.735533344716284,57822.000000000000000,54,597,551,584
35,TUA2-10,35,83,80008.954048712490476,567,639,72,606.542168674698814,19.092861975863627,50343.000000000000000,50,614,567,607
36,TUA2-11,36,62,59765.724711086440948,571,634,63,599.564516129032313,16.376242595296585,37173.000000000000000,42,584,571,597
37,TUA2-12,37,86,82900.843954087642487,575,645,70,601.406976744186068,20.095341301473432,51721.000000000000000,43,583,576,594
38,TUB2-1,38,21,20243.229337626049528,573,599,26,583.285714285714334,7.740695533795791,12249.000000000000000,15,579,573,579
39,TUB2-2,39,55,53017.981598544422013,536,608,72,568.236363636363649,14.795532048392699,31253.000000000000000,37,565,536,567
40,TUB2-3,40,78,75189.137539753908641,524,586,62,548.397435897435912,17.425548399265022,42775.000000000000000,47,527,524,545
41,TUB2-4,41,93,89648.587066629654146,516,582,66,542.215053763440892,16.255255204741204,50426.000000000000000,44,541,516,541
42,TUB2-5,42,104,100252.183386338540004,513,585,72,546.240384615384642,19.390964981892051,56809.000000000000000,50,546,517,548
43,TUB2-6,43,56,53981.944900336136925,554,600,46,575.821428571428555,10.337357950066018,32246.000000000000000,27,580,554,579
44,TUB2-7,44,32,30846.825657334935386,555,612,57,585.562500000000000,14.363446444011966,18738.000000000000000,27,586,555,586
45,TUB2-8,45,30,28918.899053751501924,556,664,108,603.200000000000045,23.534938566592775,18096.000000000000000,24,596,556,598
46,TUA3-1,46,93,89648.587066629654146,567,651,84,601.752688172043008,19.765102250362538,55963.000000000000000,54,602,567,602
