Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,TUA1-1,1,31,29882.862355543176818,0.000000000000000,35.910972595214844,35.910972595214844,14.725276493257091,9.405448258395557,456.483571290969849
2,TUA1-2,2,15,14459.449526875730953,6.365752696990967,34.398632049560547,28.032879352569580,18.475534534454347,7.408916152947883,277.133018016815186
3,TUA1-3,3,21,20243.229337626024062,4.446923732757568,31.965969085693359,27.519045352935791,19.242232436225528,7.189097708059694,404.086881160736084
4,TUA1-4,4,19,18315.302734042590600,9.127698898315430,44.980247497558594,35.852548599243164,24.603953311317845,9.346398231494671,467.475112915039063
5,TUA1-5,5,21,20243.229337626024062,9.696025848388672,57.010993957519531,47.314968109130859,28.162526493980771,13.330639274049501,591.413056373596191
6,TUA1-6,6,21,20243.229337626024062,4.026055335998535,57.661212921142578,53.635157585144043,20.634251549130393,14.549173865936767,433.319282531738281
7,TUA1-7,7,19,18315.302734042590600,1.273150563240051,35.834156036376953,34.561005473136902,12.307308485633449,9.200783911585264,233.838861227035522
8,TUA1-8,8,21,20243.229337626024062,7.202027320861816,29.563421249389648,22.361393928527832,15.360113915942964,6.183254275911915,322.562392234802246
9,TUA1-9,9,20,19279.266035834305512,4.105787277221680,42.133396148681641,38.027608871459961,19.813592648506166,11.783626736203063,396.271852970123291
10,TUA1-10,10,18,17351.339432250875689,7.930409908294678,48.979080200195313,41.048670291900635,27.698524236679077,10.558804292875475,498.573436260223389
11,TUA1-11,11,22,21207.192639417738974,2.546301126480103,41.297988891601563,38.751687765121460,18.873536944389343,10.558491227456702,415.217812776565552
12,TUA1-12,12,20,19279.266035834305512,8.211574554443359,36.189739227294922,27.978164672851563,19.751769828796387,8.264019838386128,395.035396575927734
13,TUB1-1,13,6,5783.779810750292199,0.000000000000000,34.469242095947266,34.469242095947266,13.854730228583017,13.087890669841624,83.128381371498108
14,TUB1-2,14,30,28918.899053751461906,4.145077705383301,53.886013031005859,49.740935325622559,22.755258178710939,13.423691555547585,682.657745361328125
15,TUB1-3,15,21,20243.229337626024062,11.970323562622070,58.578762054443359,46.608438491821289,40.167692729404997,11.976007036781066,843.521547317504883
16,TUB1-4,16,20,19279.266035834305512,4.336194515228271,45.156478881835938,40.820284366607666,21.844553685188295,11.318691037214844,436.891073703765869
17,TUB1-5,17,18,17351.339432250875689,0.000000000000000,15.706777572631836,15.706777572631836,6.865866061713961,5.077689202981253,123.585589110851288
18,TUB1-6,18,20,19279.266035834305512,0.569370210170746,27.904951095581055,27.335580885410309,11.105108967423439,6.760568975428457,222.102179348468781
19,TUB1-7,19,20,19279.266035834305512,5.806459903717041,53.714279174804688,47.907819271087646,28.495894837379456,11.953905037248438,569.917896747589111
20,TUB1-8,20,20,19279.266035834305512,5.607646465301514,42.033252716064453,36.425606250762939,26.360077691078185,9.605275433015583,527.201553821563721
21,TUB1-9,21,19,18315.302734042590600,10.089265823364258,41.952194213867188,31.862928390502930,27.438853364241751,8.539408339790242,521.338213920593262
22,TUB1-10,22,20,19279.266035834305512,0.000000000000000,25.136260986328125,25.136260986328125,3.653730136156082,6.867234797352595,73.074602723121643
23,TUB1-11,23,21,20243.229337626024062,0.000000000000000,3.985591650009155,3.985591650009155,0.189790078571865,0.848767034283431,3.985591650009155
24,TUB1-12,24,18,17351.339432250875689,0.000000000000000,7.291496753692627,7.291496753692627,0.658136579725477,1.916550912323618,11.846458435058594
25,TUB1-13,25,19,18315.302734042590600,0.000000000000000,5.806459903717041,5.806459903717041,0.636898260367544,1.684097736016442,12.101066946983337
26,TUA2-1,26,27,26027.009148376313533,5.249334335327148,31.501152038574219,26.251817703247070,19.308891720241970,6.006733889038856,521.340076446533203
27,TUA2-2,27,18,17351.339432250875689,1.610422253608704,31.910140991210938,30.299718737602234,18.654695186350082,9.163813305353628,335.784513354301453
28,TUA2-3,28,18,17351.339432250875689,6.132305145263672,41.345062255859375,35.212757110595703,18.920572757720947,10.618045032275395,340.570309638977051
29,TUA2-4,29,22,21207.192639417738974,0.000000000000000,46.353870391845703,46.353870391845703,21.926595213738356,16.995972012090895,482.385094702243805
30,TUA2-5,30,20,19279.266035834305512,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
31,TUA2-6,31,19,18315.302734042590600,0.000000000000000,18.228742599487305,18.228742599487305,2.826413236166302,4.757951383542843,53.701851487159729
32,TUA2-7,32,20,19279.266035834305512,0.000000000000000,23.592823028564453,23.592823028564453,10.813998883962631,6.970293769598253,216.279977679252625
33,TUA2-8,33,21,20243.229337626024062,13.958282470703125,41.203685760498047,27.245403289794922,25.814461299351283,7.367946876188530,542.103687286376953
34,TUA2-9,34,19,18315.302734042590600,5.155866622924805,32.178234100341797,27.022367477416992,16.130061526047555,6.729509572791446,306.471168994903564
35,TUA2-10,35,19,18315.302734042590600,3.645748376846313,40.441322326660156,36.795573949813843,23.428572767659237,10.511380357785907,445.142882585525513
36,TUA2-11,36,19,18315.302734042590600,4.554961681365967,29.486562728881836,24.931601047515869,19.989804794913844,6.293385465214449,379.806291103363037
37,TUA2-12,37,21,20243.229337626024062,5.155866622924805,30.819711685180664,25.663845062255859,20.519895099458239,6.671299171657798,430.917797088623047
38,TUB2-1,38,13,12531.522923292299311,12.883378028869629,31.496006011962891,18.612627983093262,23.703312580402081,5.363165850764451,308.143063545227051
39,TUB2-2,39,19,18315.302734042590600,0.000000000000000,40.437313079833984,40.437313079833984,14.577705166841808,10.112946489506736,276.976398169994354
40,TUB2-3,40,19,18315.302734042590600,4.695147037506104,62.423339843750000,57.728192806243896,31.430832009566458,19.333613052551158,597.185808181762695
41,TUB2-4,41,20,19279.266035834305512,5.862025260925293,25.213523864746094,19.351498603820801,18.923310470581054,5.047872549376430,378.466209411621094
42,TUB2-5,42,20,19279.266035834305512,5.806459903717041,30.819711685180664,25.013251781463623,18.581827116012573,7.854576003357702,371.636542320251465
43,TUB2-6,43,19,18315.302734042590600,1.800506830215454,35.028995513916016,33.228488683700562,17.206229473415174,8.288674251306205,326.918359994888306
44,TUB2-7,44,22,21207.192639417738974,4.446923732757568,25.392890930175781,20.945967197418213,13.641343225132335,5.699685731588502,300.109550952911377
45,TUB2-8,45,21,20243.229337626024062,5.092602252960205,26.023397445678711,20.930795192718506,14.357874189104352,5.957422704971501,301.515357971191406
46,TUA3-1,46,20,19279.266035834305512,4.897907733917236,53.886013031005859,48.988105297088623,29.829996895790099,11.307567710230561,596.599937915802002
47,TUA3-2,47,22,21207.192639417738974,3.819451570510864,54.736591339111328,50.917139768600464,23.181733965873718,14.512040288462208,509.998147249221802
48,TUA3-3,48,21,20243.229337626024062,10.137349128723145,42.489669799804688,32.352320671081543,24.255516233898344,10.247125370151373,509.365840911865234
49,TUA3-4,49,18,17351.339432250875689,3.319970369338989,47.010124206542969,43.690153837203979,32.441488067309059,11.340220540787231,583.946785211563110
50,TUA3-5,50,22,21207.192639417738974,3.645748376846313,53.523830413818359,49.878082036972046,28.462027668952942,12.923376932732838,626.164608716964722
51,TUA3-6,51,22,21207.192639417738974,8.211574554443359,47.827098846435547,39.615524291992188,28.368167487057772,11.868355241238614,624.099684715270996
52,TUA3-7,52,20,19279.266035834305512,7.930409908294678,38.733917236328125,30.803507328033447,26.318089270591734,8.466591230233167,526.361785411834717
53,TUA3-8,53,22,21207.192639417738974,12.731505393981934,57.644344329833984,44.912838935852051,31.928468053991143,10.889719744737851,702.426297187805176
54,TUA3-9,54,19,18315.302734042590600,6.288899898529053,48.610347747802734,42.321447849273682,29.505612298061973,10.474372290271830,560.606633663177490
55,TUA3-10,55,21,20243.229337626024062,1.708110690116882,45.783882141113281,44.075771450996399,28.058205280985153,12.630723337409057,589.222310900688171
56,TUA3-11,56,21,20243.229337626024062,2.903229951858521,39.977737426757813,37.074507474899292,19.364174649828957,9.401783946820553,406.647667646408081
57,TUB3-1,57,23,22171.155941209453886,13.664885520935059,50.220909118652344,36.556023597717285,28.783372713171918,10.191477665767556,662.017572402954102
58,TUB3-2,58,19,18315.302734042590600,11.387404441833496,60.473979949951172,49.086575508117676,34.406912402102819,15.292103388773164,653.731335639953613
59,TUB3-3,59,21,20243.229337626024062,4.590409755706787,63.975025177001953,59.384615421295166,31.564436435699463,17.635367169649175,662.853165149688721
60,TUB3-4,60,19,18315.302734042590600,6.491819381713867,63.456050872802734,56.964231491088867,39.356798372770612,16.955379867284108,747.779169082641602
61,TUB3-5,61,20,19279.266035834305512,2.347573518753052,61.880878448486328,59.533304929733276,32.318667590618134,18.572386590865250,646.373351812362671
62,TUB3-6,62,21,20243.229337626024062,9.338366508483887,72.959411621093750,63.621045112609863,40.474792298816496,18.413086797345528,849.970638275146484
63,TUB3-7,63,20,19279.266035834305512,7.930409908294678,62.973995208740234,55.043585300445557,34.852364420890808,15.632558654086710,697.047288417816162
64,TUB3-8,64,20,19279.266035834305512,5.862025260925293,50.836822509765625,44.974797248840332,29.399528455734252,11.383978561691839,587.990569114685059
65,TUB3-9,65,22,21207.192639417738974,3.645748376846313,36.921367645263672,33.275619268417358,19.721103180538524,9.034873869433552,433.864269971847534
66,TUB3-10,66,20,19279.266035834305512,0.000000000000000,36.412994384765625,36.412994384765625,17.297454702854157,9.595315570257895,345.949094057083130
67,TUB3-11,67,20,19279.266035834305512,0.000000000000000,63.241119384765625,63.241119384765625,19.883149805665017,16.725852303020265,397.662996113300323
68,TUB3-12,68,21,20243.229337626024062,0.000000000000000,65.546852111816406,65.546852111816406,33.283947808401926,18.186004482420707,698.962903976440430
69,TDA1-1,69,33,31810.788959126606642,5.155866622924805,28.723585128784180,23.567718505859375,16.951731811870228,6.877014495937070,559.407149791717529
70,TDA1-2,70,19,18315.302734042590600,4.590409755706787,22.271038055419922,17.680628299713135,13.354187112105521,4.429642591530440,253.729555130004883
71,TDA1-3,71,21,20243.229337626024062,10.390031814575195,37.789199829101563,27.399168014526367,25.595983005705335,7.609738736648835,537.515643119812012
72,TDA1-4,72,19,18315.302734042590600,8.406650543212891,35.525234222412109,27.118583679199219,18.501585408260947,8.120309898452232,351.530122756958008
73,TDA1-5,73,23,22171.155941209453886,1.273150563240051,29.879734039306641,28.606583476066589,14.028066868367402,7.563282978095263,322.645537972450256
74,TDA1-6,74,21,20243.229337626024062,3.819451570510864,34.619396209716797,30.799944639205933,17.347969043822516,8.295581478868653,364.307349920272827
75,TDA1-7,75,19,18315.302734042590600,7.423679828643799,23.448101043701172,16.024421215057373,15.784648418426514,4.708346836044533,299.908319950103760
76,TDA1-8,76,20,19279.266035834305512,7.423679828643799,34.256977081298828,26.833297252655029,20.038351321220397,6.852350394848325,400.767026424407959
77,TDA1-9,77,19,18315.302734042590600,14.336376190185547,58.824516296386719,44.488140106201172,31.704795636628802,11.925063371256236,602.391117095947266
