Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,TUA1-1,1,3523,3149537.013349720276892,0,40,40,28.670167470905479,17.171247930561609,101005.000000000000000,4,0,40,38
2,TUA1-2,2,169,151084.801378399861278,0,40,40,36.905325443786985,8.242078932573543,6237.000000000000000,4,39,40,39
3,TUA1-3,3,233,208300.347462527628522,38,40,2,38.515021459227469,0.608231888001888,8974.000000000000000,3,38,40,38
4,TUA1-4,4,219,195784.446756624674890,38,40,2,38.351598173515981,0.588810970586849,8399.000000000000000,3,38,40,38
5,TUA1-5,5,255,227968.191428946534870,38,40,2,38.196078431372548,0.469443051032066,9740.000000000000000,3,38,40,38
6,TUA1-6,6,243,217240.276538172591245,38,40,2,38.119341563786008,0.336644631048732,9263.000000000000000,3,38,40,38
7,TUA1-7,7,231,206512.361647398647619,38,40,2,38.125541125541126,0.368448880189752,8807.000000000000000,3,38,40,38
8,TUA1-8,8,219,195784.446756624674890,38,39,1,38.105022831050228,0.306582837106686,8345.000000000000000,2,38,39,38
9,TUA1-9,9,207,185056.531865850731265,38,39,1,38.033816425120776,0.180756395496262,7873.000000000000000,2,38,39,38
10,TUA1-10,10,223,199360.418386882665800,38,39,1,38.004484304932738,0.066814638678791,8475.000000000000000,2,38,39,38
11,TUA1-11,11,224,200254.411294447170803,38,39,1,38.008928571428569,0.094068337079437,8514.000000000000000,2,38,39,38
12,TUA1-12,12,240,214558.297815479105338,38,38,0,38.000000000000000,0.000000000000000,9120.000000000000000,1,38,38,38
13,TUB1-1,13,42,37547.702117708839069,38,40,2,38.476190476190474,0.851835419999925,1616.000000000000000,2,38,40,38
14,TUB1-2,14,355,317367.482185396191198,0,40,40,38.397183098591547,3.670590075408352,13631.000000000000000,4,38,0,38
15,TUB1-3,15,233,208300.347462527628522,38,40,2,38.927038626609445,0.984340167336228,9070.000000000000000,3,38,39,38
16,TUB1-4,16,199,177904.588605334749445,0,40,40,37.306532663316581,8.177767847802441,7424.000000000000000,3,40,0,40
17,TUB1-5,17,223,199360.418386882665800,0,40,40,37.443946188340810,7.741058584912106,8350.000000000000000,3,40,0,38
18,TUB1-6,18,228,203830.382924705132609,38,40,2,38.868421052631582,0.991305694833511,8862.000000000000000,2,38,40,38
19,TUB1-7,19,211,188632.503496108722175,0,40,40,38.687203791469194,4.741345545735020,8163.000000000000000,4,40,0,40
20,TUB1-8,20,220,196678.439664189179894,38,40,2,38.754545454545458,0.969408100912904,8526.000000000000000,2,38,40,38
21,TUB1-9,21,219,195784.446756624674890,0,40,40,36.652968036529678,9.975684037331833,8027.000000000000000,4,40,0,40
22,TUB1-10,22,213,190420.489311237703077,0,40,40,29.488262910798124,16.561057985028011,6281.000000000000000,4,38,40,38
23,TUB1-11,23,220,196678.439664189179894,0,40,40,26.186363636363637,18.275587180084241,5761.000000000000000,4,0,40,38
