OBJECTID,OBJECTID_1,Undisturbed_Pixel_area,Disturbed_Area_sq_m,Area_disturbed_km,Percent_disturbed
1,TUA1-1,3142671.046,3575.279916,0.0035753,0.1138044
2,TUA1-2,158206.1363,893.819979,0.0008938,0.0284511
3,TUA1-3,200215.6753,0,0,0
4,TUA1-4,194852.7554,0,0,0
5,TUA1-5,229711.7346,0,0,0
6,TUA1-6,221667.3548,0,0,0
7,TUA1-7,201109.4953,0,0,0
8,TUA1-8,200215.6753,893.819979,0.0008938,0.0284511
9,TUA1-9,184126.9157,0,0,0
10,TUA1-10,199321.8553,0,0,0
11,TUA1-11,204684.7752,0,0,0
12,TUA1-12,206472.4151,0,0,0
13,TUB1-1,37540.43912,893.819979,0.0008938,0.0284511
14,TUB1-2,311943.1727,1787.639958,0.0017876,0.0569022
15,TUB1-3,212729.155,893.819979,0.0008938,0.0284511
16,TUB1-4,174294.8959,0,0,0
17,TUB1-5,193958.9354,1787.639958,0.0017876,0.0569022
18,TUB1-6,203790.9552,9832.019769,0.009832,0.3129622
19,TUB1-7,178763.9958,8938.19979,0.0089382,0.2845111
20,TUB1-8,182339.2757,10725.83975,0.0107258,0.3414133
21,TUB1-9,193958.9354,2681.459937,0.0026815,0.0853533
22,TUB1-10,180551.6358,4469.099895,0.0044691,0.1422555
23,TUB1-11,209153.8751,2681.459937,0.0026815,0.0853533
24,TUB1-12,173401.0759,21451.6795,0.0214517,0.6828266
25,TUB1-13,186808.3756,14301.11966,0.0143011,0.4552177
26,TUA2-1,135860.6368,0,0,0
27,TUA2-2,26814.59937,0,0,0
28,TUA2-3,37540.43912,0,0,0
29,TUA2-4,103683.1176,0,0,0
30,TUA2-5,109046.0374,0,0,0
31,TUA2-6,156418.4963,0,0,0
32,TUA2-7,153737.0364,0,0,0
33,TUA2-8,176082.5359,0,0,0
34,TUA2-9,168931.976,0,0,0
35,TUA2-10,162675.2362,0,0,0
36,TUA2-11,102789.2976,893.819979,0.0008938,0.0284511
37,TUA2-12,142117.3767,0,0,0
38,TUB2-1,26814.59937,0,0,0
39,TUB2-2,74187.05826,0,0,0
40,TUB2-3,115302.7773,0,0,0
41,TUB2-4,145692.6566,0,0,0
42,TUB2-5,167144.3361,0,0,0
43,TUB2-6,82231.43807,0,0,0
44,TUB2-7,39328.07908,0,0,0
45,TUB2-8,39328.07908,0,0,0
46,TUA3-1,146586.4766,0,0,0
47,TUA3-2,185020.7356,0,0,0
48,TUA3-3,187702.1956,0,0,0
49,TUA3-4,173401.0759,0,0,0
50,TUA3-5,199321.8553,0,0,0
51,TUA3-6,225242.6347,0,0,0
52,TUA3-7,194852.7554,0,0,0
53,TUA3-8,199321.8553,0,0,0
54,TUA3-9,209153.8751,0,0,0
55,TUA3-10,204684.7752,0,0,0
56,TUA3-11,215410.6149,0,0,0
57,TUB3-2,8938.19979,0,0,0
58,TUB3-3,33965.1592,0,0,0
59,TUB3-4,52735.37876,0,0,0
60,TUB3-5,73293.23828,0,0,0
61,TUB3-6,69717.95836,0,0,0
62,TUB3-7,33071.33922,0,0,0
63,TUB3-8,110833.6774,0,0,0
64,TUB3-9,71505.59832,0,0,0
65,TUB3-10,112621.3174,0,0,0
66,TUB3-11,92063.45783,0,0,0
67,TUB3-12,94744.91777,0,0,0
68,TDA1-1,3139989.586,1787.639958,0.0017876,0.0569022
69,TDA1-2,199321.8553,0,0,0
70,TDA1-3,208260.0551,0,0,0
71,TDA1-4,186808.3756,893.819979,0.0008938,0.0284511
72,TDA1-5,228817.9146,0,0,0
73,TDA1-6,210047.6951,0,0,0
74,TDA1-7,209153.8751,0,0,0
75,TDA1-8,193065.1155,893.819979,0.0008938,0.0284511
76,TDA1-9,181445.4557,0,0,0
77,TDA1-10,182339.2757,1787.639958,0.0017876,0.0569022
78,TDA1-11,206472.4151,0,0,0
79,TDB1-1,750808.7823,0,0,0
80,TDB1-2,215410.6149,0,0,0
81,TDB1-3,218985.8948,893.819979,0.0008938,0.0284511
82,TDB1-4,206472.4151,0,0,0
83,TDB1-5,129603.897,893.819979,0.0008938,0.0284511
84,TDB1-6,96532.55773,1787.639958,0.0017876,0.0569022
85,TDB1-7,117090.4172,0,0,0
86,TDB1-8,35752.79916,0,0,0
87,TDB1-9,72399.4183,0,0,0
88,TDB1-10,109939.8574,0,0,0
89,TDA2-1,199321.8553,0,0,0
90,TDA2-2,194852.7554,0,0,0
91,TDA2-3,185020.7356,893.819979,0.0008938,0.0284511
92,TDA2-4,172507.2559,0,0,0
93,TDA2-5,198428.0353,0,0,0
94,TDA2-6,217198.2549,0,0,0
95,TDA2-7,216304.4349,0,0,0
96,TDA2-8,197534.2154,0,0,0
97,TDA2-9,83125.25805,893.819979,0.0008938,0.0284511
98,TDA2-10,140329.7367,0,0,0
99,TDB2-1,319093.7325,0,0,0
100,TDB2-2,142117.3767,0,0,0
101,TDB2-3,116196.5973,0,0,0
102,TDB2-4,130497.7169,0,0,0
103,TDB2-5,192171.2955,0,0,0
104,TDB2-6,192171.2955,0,0,0
105,TDB2-7,216304.4349,0,0,0
106,TDB2-8,201109.4953,893.819979,0.0008938,0.0284511
107,TDB2-9,215410.6149,0,0,0
108,TDB2-10,202003.3152,0,0,0
109,TDA3-1,99214.01767,0,0,0
110,TDA3-2,147480.2965,0,0,0
111,TDA3-3,151055.5764,6256.739853,0.0062567,0.1991578
112,TDA3-4,150161.7565,5362.919874,0.0053629,0.1707066
113,TDA3-5,144798.8366,14301.11966,0.0143011,0.4552177
114,TDA3-6,161781.4162,29496.05931,0.0294961,0.9388866
115,TDA3-7,191277.4755,5362.919874,0.0053629,0.1707066
116,TDA3-8,193065.1155,8044.379811,0.0080444,0.25606
117,TDA3-9,152843.2164,19664.03954,0.019664,0.6259243
118,TSA1-1,3143564.866,0,0,0
119,TSA1-2,200215.6753,0,0,0
120,TSA1-3,205578.5952,893.819979,0.0008938,0.0284511
121,TSA1-4,198428.0353,1787.639958,0.0017876,0.0569022
122,TSA1-5,209153.8751,0,0,0
123,TSA1-6,190383.6555,0,0,0
124,TSA1-7,214516.795,0,0,0
125,TSA1-8,224348.8147,0,0,0
126,TSA1-9,202897.1352,0,0,0
127,TSA1-10,199321.8553,0,0,0
128,TSA1-11,178763.9958,0,0,0
129,TSA1-12,197534.2154,0,0,0
130,TSB1-1,892926.159,0,0,0
131,TSB1-2,199321.8553,0,0,0
132,TSB1-3,201109.4953,1787.639958,0.0017876,0.0569022
133,TSB1-4,192171.2955,6256.739853,0.0062567,0.1991578
134,TSB1-5,201109.4953,6256.739853,0.0062567,0.1991578
135,TSB1-6,202003.3152,1787.639958,0.0017876,0.0569022
136,TSB1-7,187702.1956,16088.75962,0.0160888,0.5121199
137,TSB1-8,193065.1155,13407.29968,0.0134073,0.4267666
138,TSB1-9,196640.3954,3575.279916,0.0035753,0.1138044
139,TSB1-10,181445.4557,10725.83975,0.0107258,0.3414133
140,TSB1-11,185914.5556,14301.11966,0.0143011,0.4552177
141,TSB1-12,187702.1956,16982.5796,0.0169826,0.540571
142,TSB1-13,181445.4557,27708.41935,0.0277084,0.8819844
143,TSB1-14,193958.9354,9832.019769,0.009832,0.3129622
144,TSB1-15,181445.4557,13407.29968,0.0134073,0.4267666
145,TSA2-1,252951.0541,0,0,0
146,TSA2-2,209153.8751,0,0,0
147,TSA2-3,197534.2154,0,0,0
148,TSA2-4,212729.155,0,0,0
149,TSA2-5,197534.2154,0,0,0
150,TSA2-6,203790.9552,893.819979,0.0008938,0.0284511
151,TSA2-7,202003.3152,0,0,0
152,TSA2-8,215410.6149,893.819979,0.0008938,0.0284511
153,TSA2-9,194852.7554,0,0,0
154,TSA2-10,195746.5754,0,0,0
155,TSB2-1,471043.1289,0,0,0
156,TSB2-2,171613.436,893.819979,0.0008938,0.0284511
157,TSB2-3,201109.4953,0,0,0
158,TSB2-4,149267.9365,0,0,0
159,TSB2-5,195746.5754,1787.639958,0.0017876,0.0569022
160,TSB2-6,176082.5359,0,0,0
161,TSB2-7,198428.0353,0,0,0
162,TSB2-8,202897.1352,0,0,0
163,TSB2-9,196640.3954,893.819979,0.0008938,0.0284511
164,TSA3-1,87594.35794,0,0,0
165,TSA3-2,66142.67844,0,0,0
166,TSA3-3,56310.65868,893.819979,0.0008938,0.0284511
167,TSA3-4,80443.79811,893.819979,0.0008938,0.0284511
168,TSA3-5,104576.9375,4469.099895,0.0044691,0.1422555
169,TSA3-6,126028.617,893.819979,0.0008938,0.0284511
170,TSA3-7,132285.3569,2681.459937,0.0026815,0.0853533
171,TSB3-1,30389.87929,0,0,0
172,TSB3-2,52735.37876,0,0,0
173,TSB3-3,56310.65868,0,0,0
174,TSB3-4,19664.03954,0,0,0
175,TSB3-5,42009.53901,0,0,0
176,TSB3-6,124240.9771,0,0,0
177,TSB3-7,133179.1769,0,0,0
178,TSB3-8,105470.7575,0,0,0
179,TSB3-9,87594.35794,0,0,0
180,TSB3-10,111727.4974,0,0,0
181,TDB4-7,1186992.932,0,0,0
182,TDB4-6,6256.739853,0,0,0
183,TDB4-5,5362.919874,0,0,0
184,TDB4-4,2681.459937,0,0,0
185,TDB4-3,1787.639958,0,0,0
186,TDB4-2,1787.639958,0,0,0
187,TDA4-11,1851101.176,0,0,0
188,TDA4-12,193065.1155,0,0,0
189,TDA4-13,187702.1956,0,0,0
190,TDA4-14,185914.5556,0,0,0
191,TDA4-15,193958.9354,0,0,0
192,TD5-1,3114962.627,25920.77939,0.0259208,0.8250821
193,TD5-2,294066.7731,0,0,0
194,TD5-3,226136.4547,0,0,0
195,TD5-4,192171.2955,893.819979,0.0008938,0.0284511
196,TD5-5,194852.7554,0,0,0
197,TD5-6,201109.4953,0,0,0
198,TD5-7,176082.5359,0,0,0
199,TD5-8,112621.3174,0,0,0
200,TD5-9,101895.4776,0,0,0
201,TD5-10,92957.27781,0,0,0
202,TD5-11,92957.27781,0,0,0
203,TD5-12,65248.85847,0,0,0
204,TD5-13,57204.47865,0,0,0
205,TDA4-1,11619.65973,0,0,0
206,TDA4-2,16982.5796,0,0,0
207,TDA4-3,32177.51924,0,0,0
208,TDA4-4,22345.49947,0,0,0
209,TDA4-5,50053.91882,0,0,0
210,TDA4-6,80443.79811,0,0,0
211,TDA4-7,1787.639958,0,0,0
212,TDA4-8,8938.19979,0,0,0
213,TDA4-9,7150.559832,0,0,0
214,TDA4-10,893.819979,0,0,0
215,TD6-1,237756.1144,0,0,0
216,TD6-2,202897.1352,0,0,0
217,TD6-3,196640.3954,0,0,0
218,TD6-4,189489.8355,0,0,0
219,TD6-5,199321.8553,2681.459937,0.0026815,0.0853533
220,TD6-6,197534.2154,3575.279916,0.0035753,0.1138044
221,TD6-7,175188.7159,0,0,0
222,TD6-8,125134.7971,0,0,0
223,TD6-9,161781.4162,893.819979,0.0008938,0.0284511
224,TD6-10,200215.6753,0,0,0
225,TTB1-1,3030049.729,110833.6774,0.1108337,3.5279379
226,TTB1-2,645338.0248,22345.49947,0.0223455,0.7112777
227,TTB1-3,274402.7335,2681.459937,0.0026815,0.0853533
228,TTB1-4,490707.1685,893.819979,0.0008938,0.0284511
229,TTB1-5,396856.0707,1787.639958,0.0017876,0.0569022
230,TTB2-1,1387208.607,5362.919874,0.0053629,0.1707066
231,TTB2-2,616735.7855,1787.639958,0.0017876,0.0569022
232,TTB2-3,660532.9645,0,0,0
233,TTB2-4,630143.0852,0,0,0
234,TTB2-5,632824.5451,25920.77939,0.0259208,0.8250821
235,TTB2-6,670364.9842,13407.29968,0.0134073,0.4267666
236,TTB2-7,622098.7054,10725.83975,0.0107258,0.3414133
237,TTB2-8,511265.028,893.819979,0.0008938,0.0284511
238,TTB3-1,275296.5535,11619.65973,0.0116197,0.3698644
239,TTB3-2,379873.4911,8938.19979,0.0089382,0.2845111
240,TTB3-3,439759.4297,5362.919874,0.0053629,0.1707066
241,TTB3-4,340545.412,893.819979,0.0008938,0.0284511
242,TTB3-5,399537.5306,2681.459937,0.0026815,0.0853533
243,TTB3-6,264570.7138,1787.639958,0.0017876,0.0569022
244,TTB3-7,267252.1737,893.819979,0.0008938,0.0284511
245,TTB3-8,28602.23933,0,0,0
246,TTB4-1,122453.3371,2681.459937,0.0026815,0.0853533
247,TTB4-2,415626.2902,0,0,0
248,TTB4-3,931360.4181,0,0,0
249,TTB4-4,617629.6055,1787.639958,0.0017876,0.0569022
250,TTB4-5,629249.2652,12513.47971,0.0125135,0.3983155
251,TTB4-6,558637.4869,54523.01872,0.054523,1.7355176
252,TTB4-7,616735.7855,45584.81893,0.0455848,1.4510065
253,TTB4-8,622992.5253,31283.69926,0.0312837,0.9957888
254,TTB4-9,637293.645,27708.41935,0.0277084,0.8819844
255,TTB5-1,3068483.988,70611.77834,0.0706118,2.2476373
256,TTB5-2,636399.825,0,0,0
257,TTB5-3,643550.3849,0,0,0
258,TTB5-4,596177.926,0,0,0
259,TTB5-5,634612.1851,0,0,0
260,TTB5-6,593496.466,0,0,0
261,TTB5-7,626567.8053,11619.65973,0.0116197,0.3698644
262,TTB5-8,621204.8854,28602.23933,0.0286022,0.9104354
263,TTB5-9,614948.1455,60779.75857,0.0607798,1.9346753
264,TTB5-10,543442.5472,30389.87929,0.0303899,0.9673377
265,TTB6-1,580982.9863,40221.89905,0.0402219,1.2802999
266,TTB6-2,608691.4057,43797.17897,0.0437972,1.3941042
267,TTB6-3,647125.6648,10725.83975,0.0107258,0.3414133
268,TTB6-4,621204.8854,21451.6795,0.0214517,0.6828266
269,TTB6-5,655170.0446,10725.83975,0.0107258,0.3414133
270,TTB6-6,643550.3849,19664.03954,0.019664,0.6259243
271,TTB6-7,624780.1653,24133.13943,0.0241331,0.7681799
272,TTB6-8,609585.2257,39328.07908,0.0393281,1.2518487
273,TTB6-9,574726.2465,67930.3184,0.0679303,2.1622841
274,TTB7-1,1652673.141,8044.379811,0.0080444,0.25606
275,TTB7-2,476406.0488,0,0,0
276,TTB7-3,614054.3256,1787.639958,0.0017876,0.0569022
277,TTB7-4,414732.4702,10725.83975,0.0107258,0.3414133
278,TTB7-5,581876.8063,15194.93964,0.0151949,0.4836688
279,TTB7-6,595284.106,37540.43912,0.0375404,1.1949465
280,TTB7-7,588133.5462,34858.97918,0.034859,1.1095932
281,TTB7-8,553274.567,22345.49947,0.0223455,0.7112777
282,TTB7-9,552380.747,27708.41935,0.0277084,0.8819844
283,TTB8-1,973369.9571,0,0,0
284,TTB8-2,244012.8543,0,0,0
285,TTB8-3,123347.1571,3575.279916,0.0035753,0.1138044
286,TTB8-4,296748.233,0,0,0
287,TTB8-5,450485.2694,0,0,0
288,TTB8-6,377192.0311,10725.83975,0.0107258,0.3414133
289,TTB8-7,234180.8345,2681.459937,0.0026815,0.0853533
290,TTB8-8,207366.2351,11619.65973,0.0116197,0.3698644
291,TTB8-9,172507.2559,20557.85952,0.0205579,0.6543755
292,TTA1-2,1787.639958,0,0,0
293,TTA1-3,117090.4172,0,0,0
294,TTA1-4,141223.5567,0,0,0
295,TTA1-5,32177.51924,0,0,0
296,TTA2-3,141223.5567,0,0,0
297,TTA2-4,45584.81893,0,0,0
298,TTA3-2,83125.25805,0,0,0
299,TTA3-3,224348.8147,9832.019769,0.009832,0.3129622
300,TTA3-4,452272.9094,1787.639958,0.0017876,0.0569022
301,TTA3-5,496070.0883,893.819979,0.0008938,0.0284511
302,TTA3-6,363784.7314,0,0,0
303,TTA3-7,561318.9468,1787.639958,0.0017876,0.0569022
304,TTA5-4,893.819979,0,0,0
305,TTA5-5,64355.03849,1787.639958,0.0017876,0.0569022
306,TTA5-6,74187.05826,0,0,0
307,TTA5-7,55416.8387,893.819979,0.0008938,0.0284511
308,TTA6-1,316412.2726,0,0,0
309,TTA6-2,287810.0332,0,0,0
310,TTA6-3,529141.4276,0,0,0
311,TTA6-4,591708.8261,0,0,0
312,TTA6-5,618523.4255,0,0,0
313,TTA6-6,601540.8459,0,0,0
314,TTA6-7,622992.5253,0,0,0
315,TTA6-8,590815.0061,0,0,0
316,TTA6-9,611372.8656,0,0,0
317,TTA6-10,630143.0852,0,0,0
318,TTA7-2,6256.739853,0,0,0
319,TTA7-3,160887.5962,0,0,0
320,TTA7-4,256526.334,0,0,0
321,TTA7-5,325350.4723,0,0,0
322,TTA7-6,375404.3912,0,0,0
323,TTA7-7,484450.4286,0,0,0
324,TTA7-8,470149.3089,893.819979,0.0008938,0.0284511
325,TTA7-9,380767.311,0,0,0
326,TTA7-10,352165.0717,0,0,0
