OBJECTID,OBJECTID_1,Undisturbed_Pixel_area,Disturbed_Area_sq_m,Area_disturbed_km,Percent_disturbed (km)
1,TUA1-1,781198.6616,0,0,0
2,TUA1-2,73293.23828,0,0,0
3,TUA1-3,107258.3975,0,0,0
4,TUA1-4,97426.37771,0,0,0
5,TUA1-5,114408.9573,0,0,0
6,TUA1-6,109046.0374,0,0,0
7,TUA1-7,101895.4776,0,0,0
8,TUA1-8,97426.37771,0,0,0
9,TUA1-9,92063.45783,0,0,0
10,TUA1-10,102789.2976,0,0,0
11,TUA1-11,102789.2976,0,0,0
12,TUA1-12,106364.5775,0,0,0
13,TUB1-1,26814.59937,0,0,0
14,TUB1-2,159099.9563,0,0,0
15,TUB1-3,103683.1176,0,0,0
16,TUB1-4,90275.81788,0,0,0
17,TUB1-5,99214.01767,0,0,0
18,TUB1-6,107258.3975,0,0,0
19,TUB1-7,92957.27781,2681.459937,0.0026815,0.3415041
20,TUB1-8,96532.55773,2681.459937,0.0026815,0.3415041
21,TUB1-9,90275.81788,1787.639958,0.0017876,0.2276694
22,TUB1-10,100107.8376,1787.639958,0.0017876,0.2276694
23,TUB1-11,100107.8376,893.819979,0.0008938,0.1138347
24,TUB1-12,92957.27781,7150.559832,0.0071506,0.9106776
25,TUB1-13,92957.27781,9832.019769,0.009832,1.2521816
26,TUA2-1,90275.81788,0,0,0
27,TUA2-2,25920.77939,0,0,0
28,TUA2-3,24133.13943,0,0,0
29,TUA2-4,61673.57855,0,0,0
30,TUA2-5,59885.93859,0,0,0
31,TUA2-6,83125.25805,0,0,0
32,TUA2-7,83125.25805,0,0,0
33,TUA2-8,101001.6576,0,0,0
34,TUA2-9,94744.91777,0,0,0
35,TUA2-10,82231.43807,0,0,0
36,TUA2-11,61673.57855,0,0,0
37,TUA2-12,81337.61809,0,0,0
38,TUB2-1,17876.39958,0,0,0
39,TUB2-2,51841.55878,893.819979,0.0008938,0.1138347
40,TUB2-3,73293.23828,0,0,0
41,TUB2-4,93851.09779,0,0,0
42,TUB2-5,94744.91777,0,0,0
43,TUB2-6,56310.65868,0,0,0
44,TUB2-7,30389.87929,0,0,0
45,TUB2-8,25920.77939,0,0,0
46,TUA3-1,88488.17792,893.819979,0.0008938,0.1138347
47,TUA3-2,108152.2175,0,0,0
48,TUA3-3,106364.5775,0,0,0
49,TUA3-4,97426.37771,893.819979,0.0008938,0.1138347
50,TUA3-5,100107.8376,0,0,0
51,TUA3-6,115302.7773,0,0,0
52,TUA3-7,106364.5775,0,0,0
53,TUA3-8,97426.37771,0,0,0
54,TUA3-9,105470.7575,0,0,0
