OBJECTID,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,TUA1-1,1,37,33075.0614,0.0664,0.0693,0.0029,0.0679,0.0009,2.5111
2,TUA1-2,2,16,14302.7293,0.0689,0.0707,0.0018,0.0700,0.0005,1.1193
3,TUA1-3,3,22,19666.2527,0.0703,0.0724,0.0021,0.0714,0.0006,1.5703
4,TUA1-4,4,21,18772.3321,0.0719,0.0737,0.0017,0.0729,0.0005,1.5307
5,TUA1-5,5,24,21454.0939,0.0735,0.0754,0.0019,0.0744,0.0005,1.7858
6,TUA1-6,6,24,21454.0939,0.0749,0.0767,0.0018,0.0758,0.0005,1.8197
7,TUA1-7,7,20,17878.4116,0.0758,0.0777,0.0019,0.0769,0.0005,1.5384
8,TUA1-8,8,21,18772.3321,0.0764,0.0784,0.0020,0.0777,0.0005,1.6308
9,TUA1-9,9,22,19666.2527,0.0782,0.0795,0.0012,0.0788,0.0003,1.7345
10,TUA1-10,10,23,20560.1733,0.0786,0.0802,0.0016,0.0796,0.0004,1.8306
11,TUA1-11,11,21,18772.3321,0.0796,0.0809,0.0013,0.0804,0.0003,1.6878
12,TUA1-12,12,24,21454.0939,0.0804,0.0814,0.0010,0.0810,0.0003,1.9433
13,TUB1-1,13,2,1787.8412,0.0660,0.0660,0.0000,0.0660,0.0000,0.1321
14,TUB1-2,14,31,27711.5379,0.0633,0.0660,0.0027,0.0646,0.0008,2.0032
15,TUB1-3,15,20,17878.4116,0.0614,0.0634,0.0020,0.0624,0.0006,1.2481
16,TUB1-4,16,23,20560.1733,0.0601,0.0631,0.0030,0.0614,0.0008,1.4119
17,TUB1-5,17,21,18772.3321,0.0586,0.0617,0.0031,0.0599,0.0008,1.2571
18,TUB1-6,18,20,17878.4116,0.0569,0.0595,0.0026,0.0580,0.0007,1.1599
19,TUB1-7,19,19,16984.4910,0.0557,0.0588,0.0031,0.0569,0.0008,1.0809
20,TUB1-8,20,24,21454.0939,0.0536,0.0566,0.0030,0.0549,0.0007,1.3169
21,TUB1-9,21,22,19666.2527,0.0523,0.0556,0.0033,0.0536,0.0009,1.1792
22,TUB1-10,22,20,17878.4116,0.0505,0.0528,0.0023,0.0515,0.0006,1.0303
23,TUB1-11,23,21,18772.3321,0.0488,0.0511,0.0023,0.0498,0.0006,1.0454
24,TUB1-12,24,23,20560.1733,0.0469,0.0495,0.0026,0.0481,0.0007,1.1063
25,TUB1-13,25,22,19666.2527,0.0453,0.0473,0.0019,0.0463,0.0006,1.0180
26,TUA2-1,26,28,25029.7762,0.0751,0.0772,0.0022,0.0761,0.0006,2.1301
27,TUA2-2,27,19,16984.4910,0.0762,0.0784,0.0021,0.0775,0.0006,1.4721
28,TUA2-3,28,21,18772.3321,0.0770,0.0791,0.0020,0.0782,0.0006,1.6420
29,TUA2-4,29,21,18772.3321,0.0773,0.0791,0.0018,0.0782,0.0006,1.6430
30,TUA2-5,30,24,21454.0939,0.0775,0.0796,0.0021,0.0787,0.0006,1.8877
31,TUA2-6,31,21,18772.3321,0.0775,0.0797,0.0022,0.0786,0.0007,1.6504
32,TUA2-7,32,20,17878.4116,0.0762,0.0780,0.0018,0.0770,0.0005,1.5404
33,TUA2-8,33,22,19666.2527,0.0745,0.0766,0.0021,0.0755,0.0005,1.6604
34,TUA2-9,34,23,20560.1733,0.0725,0.0748,0.0023,0.0737,0.0006,1.6962
35,TUA2-10,35,21,18772.3321,0.0721,0.0753,0.0031,0.0736,0.0009,1.5448
36,TUA2-11,36,21,18772.3321,0.0733,0.0763,0.0030,0.0751,0.0008,1.5780
37,TUA2-12,37,22,19666.2527,0.0738,0.0770,0.0032,0.0754,0.0009,1.6597
38,TUB2-1,38,13,11620.9675,0.0777,0.0792,0.0015,0.0784,0.0005,1.0190
39,TUB2-2,39,23,20560.1733,0.0780,0.0798,0.0018,0.0790,0.0005,1.8171
40,TUB2-3,40,22,19666.2527,0.0782,0.0800,0.0018,0.0792,0.0005,1.7417
41,TUB2-4,41,22,19666.2527,0.0779,0.0797,0.0018,0.0787,0.0005,1.7316
42,TUB2-5,42,22,19666.2527,0.0772,0.0793,0.0021,0.0781,0.0006,1.7184
43,TUB2-6,43,20,17878.4116,0.0787,0.0801,0.0015,0.0795,0.0004,1.5907
44,TUB2-7,44,21,18772.3321,0.0799,0.0808,0.0009,0.0804,0.0003,1.6892
45,TUB2-8,45,22,19666.2527,0.0806,0.0814,0.0009,0.0811,0.0002,1.7835
46,TUA3-1,46,23,20560.1733,0.0743,0.0773,0.0031,0.0760,0.0009,1.7484
47,TUA3-2,47,25,22348.0145,0.0745,0.0776,0.0030,0.0761,0.0009,1.9037
48,TUA3-3,48,24,21454.0939,0.0747,0.0777,0.0030,0.0762,0.0009,1.8292
49,TUA3-4,49,20,17878.4116,0.0747,0.0776,0.0029,0.0763,0.0009,1.5256
50,TUA3-5,50,24,21454.0939,0.0742,0.0772,0.0030,0.0756,0.0009,1.8143
51,TUA3-6,51,22,19666.2527,0.0738,0.0765,0.0028,0.0751,0.0008,1.6524
52,TUA3-7,52,23,20560.1733,0.0733,0.0764,0.0031,0.0748,0.0009,1.7211
53,TUA3-8,53,23,20560.1733,0.0730,0.0760,0.0030,0.0743,0.0009,1.7078
