OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA (Sqaure kilometers),PERCENTAGE
1,TD5-1,Intact forest 2016,3.141588984,100
2,TD5-10,Intact forest 2016,3.141588604,100
3,TD5-11,Intact forest 2016,3.141589016,100
4,TD5-12,Intact forest 2016,3.141588534,100
5,TD5-13,Intact forest 2016,3.141587968,100
6,TD5-2,Intact forest 2016,3.141588957,100
7,TD5-3,Intact forest 2016,3.141589211,100
8,TD5-4,Intact forest 2016,3.141589251,100
9,TD5-5,Intact forest 2016,3.141590301,100
10,TD5-6,Intact forest 2016,3.141589192,100
11,TD5-7,Intact forest 2016,3.141588973,100
12,TD5-8,Intact forest 2016,3.141588951,100
13,TD5-9,Intact forest 2016,3.141588741,100
14,TD6-1,Intact forest 2016,3.141588869,100
15,TD6-10,Intact forest 2016,3.141589322,100
16,TD6-2,Intact forest 2016,3.141590014,100
17,TD6-3,Intact forest 2016,3.141589156,100
18,TD6-4,Intact forest 2016,3.141587488,100
19,TD6-5,Intact forest 2016,3.141588844,100
20,TD6-6,Intact forest 2016,3.1415876,100
21,TD6-7,Intact forest 2016,3.141588039,100
22,TD6-8,Intact forest 2016,3.141589188,100
23,TD6-9,Intact forest 2016,3.141587906,100
24,TDA1-1,Intact forest 2016,3.141588899,100
25,TDA1-10,Intact forest 2016,3.141588762,100
26,TDA1-11,Intact forest 2016,3.141587918,100
27,TDA1-2,Intact forest 2016,3.141588067,100
28,TDA1-3,Intact forest 2016,3.1415886,100
29,TDA1-4,Intact forest 2016,3.141588735,100
30,TDA1-5,Intact forest 2016,3.141589873,100
31,TDA1-6,Intact forest 2016,3.141588069,100
32,TDA1-7,Intact forest 2016,3.141588599,100
33,TDA1-8,Intact forest 2016,3.141588741,100
34,TDA1-9,Intact forest 2016,3.141588607,100
35,TDA2-1,Intact forest 2016,3.141589004,100
36,TDA2-10,Intact forest 2016,3.141589208,100
37,TDA2-2,Intact forest 2016,3.141589223,100
38,TDA2-3,Intact forest 2016,3.141589398,100
39,TDA2-4,Intact forest 2016,3.141589011,100
40,TDA2-5,Intact forest 2016,3.141589636,100
41,TDA2-6,Intact forest 2016,3.141588836,100
42,TDA2-7,Intact forest 2016,3.141588296,100
43,TDA2-8,Intact forest 2016,3.141588582,100
44,TDA2-9,Intact forest 2016,3.141588675,100
45,TDA3-1,Intact forest 2016,3.141588955,100
46,TDA3-2,Intact forest 2016,3.141588246,100
47,TDA3-3,Intact forest 2016,3.139635588,99.93770467
48,TDA3-3,Non-forest,0.001952994,0.062165741
49,TDA3-4,Intact forest 2016,3.137102272,99.8570667
50,TDA3-4,Non-forest,0.004486106,0.14279718
51,TDA3-5,Intact forest 2016,3.097970902,98.61147651
52,TDA3-5,Non-forest,0.03916373,1.246620233
53,TDA3-5,Regrowth 1973-2016,0.004453693,0.141765466
54,TDA3-6,Intact forest 2016,3.005894579,95.68059612
55,TDA3-6,Non-forest,0.116431225,3.706121006
56,TDA3-6,Regrowth 1973-2016,0.019263151,0.613165153
57,TDA3-7,Intact forest 2016,2.875287661,91.5232488
58,TDA3-7,Non-forest,0.213577969,6.798397915
59,TDA3-7,Regrowth 1973-2016,0.052723805,1.678250826
60,TDA3-8,Intact forest 2016,2.736134659,87.0938712
61,TDA3-8,Non-forest,0.320325286,10.19627053
62,TDA3-8,Regrowth 1973-2016,0.085127944,2.709706607
63,TDA3-9,Intact forest 2016,2.619830654,83.39179974
64,TDA3-9,Non-forest,0.427375955,13.60379915
65,TDA3-9,Regrowth 1973-2016,0.094382491,3.004287992
66,TDA4-1,Intact forest 2016,3.141588386,100
67,TDA4-10,Intact forest 2016,3.14158892,100
68,TDA4-11,Intact forest 2016,3.141588803,100
69,TDA4-12,Intact forest 2016,3.141588173,100
70,TDA4-13,Intact forest 2016,3.141588643,100
71,TDA4-14,Intact forest 2016,3.141588583,100
72,TDA4-15,Intact forest 2016,3.141588505,100
73,TDA4-2,Intact forest 2016,3.141589209,100
74,TDA4-3,Intact forest 2016,3.141588254,100
75,TDA4-4,Intact forest 2016,3.141588191,100
76,TDA4-5,Intact forest 2016,3.141588794,100
77,TDA4-6,Intact forest 2016,3.141589186,100
78,TDA4-7,Intact forest 2016,3.141587711,100
79,TDA4-8,Intact forest 2016,3.141588405,100
80,TDA4-9,Intact forest 2016,3.141588838,100
81,TDB1-1,Intact forest 2016,3.141588455,100
82,TDB1-10,Intact forest 2016,3.141588767,100
83,TDB1-2,Intact forest 2016,3.141588237,100
84,TDB1-3,Intact forest 2016,3.141588315,100
85,TDB1-4,Intact forest 2016,3.141588148,100
86,TDB1-5,Intact forest 2016,3.141222156,99.98820669
87,TDB1-5,Non-forest,0.00036681,0.011675909
88,TDB1-6,Intact forest 2016,3.14152792,99.99793947
89,TDB1-6,Non-forest,6.08E-05,0.001934912
90,TDB1-7,Intact forest 2016,3.141588209,100
91,TDB1-8,Intact forest 2016,3.141588933,100
92,TDB1-9,Intact forest 2016,3.141588536,100
93,TDB2-1,Intact forest 2016,3.141588277,100
94,TDB2-10,Intact forest 2016,3.141587972,100
95,TDB2-2,Intact forest 2016,3.141588284,100
96,TDB2-3,Intact forest 2016,3.141588554,100
97,TDB2-4,Intact forest 2016,3.141588634,100
98,TDB2-5,Intact forest 2016,3.14158791,100
99,TDB2-6,Intact forest 2016,3.141587851,100
100,TDB2-7,Intact forest 2016,3.141587866,100
101,TDB2-8,Intact forest 2016,3.141588784,100
102,TDB2-9,Intact forest 2016,3.141588784,100
103,TDB4-1,Intact forest 2016,3.141588784,100
104,TDB4-2,Intact forest 2016,3.141588784,100
105,TDB4-3,Intact forest 2016,3.141588784,100
106,TDB4-4,Intact forest 2016,3.141588784,100
107,TDB4-5,Intact forest 2016,3.141588784,100
108,TDB4-6,Intact forest 2016,3.141588784,100
109,TDB4-7,Intact forest 2016,3.141588784,100
110,TSA1-1,Intact forest 2016,2.960000102,94.21972955
111,TSA1-1,Non-forest,0.103328527,3.289049183
112,TSA1-1,Regrowth 1973-2016,0.078260083,2.491095817
113,TSA1-10,Intact forest 2016,3.140972028,99.98024486
114,TSA1-10,Non-forest,0.000616208,0.019614516
115,TSA1-11,Intact forest 2016,3.14097234,99.9802548
116,TSA1-11,Non-forest,0.000616208,0.019614516
117,TSA1-12,Intact forest 2016,3.140972484,99.98025939
118,TSA1-12,Non-forest,0.000616208,0.019614516
119,TSA1-2,Intact forest 2016,2.991626877,95.22644107
120,TSA1-2,Non-forest,0.103891356,3.306964577
121,TSA1-2,Regrowth 1973-2016,0.04607065,1.466474344
122,TSA1-3,Intact forest 2016,3.022267543,96.20176377
123,TSA1-3,Non-forest,0.101694625,3.237040452
124,TSA1-3,Regrowth 1973-2016,0.01762644,0.561067012
125,TSA1-4,Intact forest 2016,3.053671984,97.20139815
126,TSA1-4,Non-forest,0.083756172,2.666041755
127,TSA1-4,Regrowth 1973-2016,0.004160472,0.132431944
128,TSA1-5,Intact forest 2016,3.08164033,98.09165825
129,TSA1-5,Non-forest,0.05994815,1.908208895
130,TSA1-6,Intact forest 2016,3.101306497,98.71765182
131,TSA1-6,Non-forest,0.040281814,1.282209951
132,TSA1-7,Intact forest 2016,3.123154109,99.41308291
133,TSA1-7,Non-forest,0.018434928,0.58680199
134,TSA1-8,Intact forest 2016,3.139060805,99.91940875
135,TSA1-8,Non-forest,0.002527997,0.080468628
136,TSA1-9,Intact forest 2016,3.140972357,99.98025533
137,TSA1-9,Non-forest,0.000616208,0.019614516
138,TSA2-1,Intact forest 2016,3.141588465,100
139,TSA2-10,Intact forest 2016,3.141588854,100
140,TSA2-2,Intact forest 2016,3.141588313,100
141,TSA2-3,Intact forest 2016,3.141588162,100
142,TSA2-4,Intact forest 2016,3.141588486,100
143,TSA2-5,Intact forest 2016,3.14158885,100
144,TSA2-6,Intact forest 2016,3.14158784,100
145,TSA2-7,Intact forest 2016,3.141589468,100
146,TSA2-8,Intact forest 2016,3.141587803,100
147,TSA2-9,Intact forest 2016,3.141588663,100
148,TSA3-1,Intact forest 2016,3.021894764,96.18989784
149,TSA3-1,Non-forest,0.103323026,3.288874053
150,TSA3-1,Regrowth 1973-2016,0.016370896,0.521101796
151,TSA3-2,Intact forest 2016,3.052189985,97.15422468
152,TSA3-2,Non-forest,0.089115724,2.836641597
153,TSA3-2,Regrowth 1973-2016,0.000283105,0.00901151
154,TSA3-3,Intact forest 2016,3.072381671,97.79694599
155,TSA3-3,Non-forest,0.0692072,2.202933585
156,TSA3-4,Intact forest 2016,3.090509897,98.37398536
157,TSA3-4,Non-forest,0.051078576,1.625881565
158,TSA3-5,Intact forest 2016,3.101368315,98.71961954
159,TSA3-5,Non-forest,0.040219533,1.280227494
160,TSA3-6,Intact forest 2016,3.114658358,99.14265473
161,TSA3-6,Non-forest,0.026930292,0.857217818
162,TSA3-7,Intact forest 2016,3.130126575,99.63502337
163,TSA3-7,Non-forest,0.011462032,0.36484782
164,TSB1-1,Intact forest 2016,2.780715028,88.51290841
165,TSB1-1,Non-forest,0.191529774,6.096582052
166,TSB1-1,Regrowth 1973-2016,0.169343702,5.390377451
167,TSB1-10,Intact forest 2016,1.878781008,59.80345687
168,TSB1-10,Non-forest,0.956367843,30.44213394
169,TSB1-10,Regrowth 1973-2016,0.306439629,9.754276333
170,TSB1-11,Intact forest 2016,1.754506895,55.84768902
171,TSB1-11,Non-forest,1.070319456,34.06932641
172,TSB1-11,Regrowth 1973-2016,0.316762019,10.08284821
173,TSB1-12,Intact forest 2016,1.613702753,51.36575398
174,TSB1-12,Non-forest,1.203515667,38.3090935
175,TSB1-12,Regrowth 1973-2016,0.324369761,10.32501017
176,TSB1-13,Intact forest 2016,1.470152409,46.7964046
177,TSB1-13,Non-forest,1.322436643,42.09446572
178,TSB1-13,Regrowth 1973-2016,0.348998972,11.1089823
179,TSB1-14,Intact forest 2016,1.330931849,42.36487654
180,TSB1-14,Non-forest,1.447289741,46.06866326
181,TSB1-14,Regrowth 1973-2016,0.363367854,11.56635802
182,TSB1-15,Intact forest 2016,1.209595343,38.50261558
183,TSB1-15,Non-forest,1.577513233,50.21380576
184,TSB1-15,Regrowth 1973-2016,0.354480518,11.28346535
185,TSB1-2,Intact forest 2016,2.726367056,86.78295872
186,TSB1-2,Non-forest,0.216439406,6.889480283
187,TSB1-2,Regrowth 1973-2016,0.198781693,6.327417796
188,TSB1-3,Intact forest 2016,2.651797382,84.40933228
189,TSB1-3,Non-forest,0.256237151,8.156281828
190,TSB1-3,Regrowth 1973-2016,0.233554018,7.434255276
191,TSB1-4,Intact forest 2016,2.572124448,81.87326403
192,TSB1-4,Non-forest,0.30699138,9.771839117
193,TSB1-4,Regrowth 1973-2016,0.262472457,8.354757796
194,TSB1-5,Intact forest 2016,2.480630269,78.96091385
195,TSB1-5,Non-forest,0.388848273,12.37742496
196,TSB1-5,Regrowth 1973-2016,0.272109943,8.661528496
197,TSB1-6,Intact forest 2016,2.375630891,75.61867985
198,TSB1-6,Non-forest,0.49337264,15.70453888
199,TSB1-6,Regrowth 1973-2016,0.272585091,8.67665294
200,TSB1-7,Intact forest 2016,2.244245361,71.43654854
201,TSB1-7,Non-forest,0.617558018,19.65748223
202,TSB1-7,Regrowth 1973-2016,0.279785091,8.905836059
203,TSB1-8,Intact forest 2016,2.120127818,67.48576446
204,TSB1-8,Non-forest,0.741477346,23.60195696
205,TSB1-8,Regrowth 1973-2016,0.279983159,8.912140754
206,TSB1-9,Intact forest 2016,2.000260796,63.67027862
207,TSB1-9,Non-forest,0.849615407,27.04409835
208,TSB1-9,Regrowth 1973-2016,0.291712095,9.28548438
209,TSB2-1,Intact forest 2016,2.860235152,91.04411258
210,TSB2-1,Non-forest,0.156800029,4.991099935
211,TSB2-1,Regrowth 1973-2016,0.124553708,3.964667672
212,TSB2-2,Intact forest 2016,2.904499709,92.45309717
213,TSB2-2,Non-forest,0.132505425,4.217778687
214,TSB2-2,Regrowth 1973-2016,0.104584141,3.329016616
215,TSB2-3,Intact forest 2016,2.947746718,93.82969224
216,TSB2-3,Non-forest,0.115223672,3.667683398
217,TSB2-3,Regrowth 1973-2016,0.07861829,2.502497888
218,TSB2-4,Intact forest 2016,2.973133978,94.63779381
219,TSB2-4,Non-forest,0.1073814,3.41805613
220,TSB2-4,Regrowth 1973-2016,0.061074177,1.94405142
221,TSB2-5,Intact forest 2016,3.002037977,95.55783668
222,TSB2-5,Non-forest,0.10351363,3.29494117
223,TSB2-5,Regrowth 1973-2016,0.03603725,1.147101285
224,TSB2-6,Intact forest 2016,3.017465227,96.04890129
225,TSB2-6,Non-forest,0.108561756,3.455628016
226,TSB2-6,Regrowth 1973-2016,0.015561978,0.49535315
227,TSB2-7,Intact forest 2016,3.041909644,96.82699126
228,TSB2-7,Non-forest,0.099526006,3.168011163
229,TSB2-7,Regrowth 1973-2016,0.000153082,0.004872766
230,TSB2-8,Intact forest 2016,3.06777183,97.65021021
231,TSB2-8,Non-forest,0.07381671,2.349658852
232,TSB2-9,Intact forest 2016,3.112662084,99.07911138
233,TSB2-9,Non-forest,0.028926588,0.920761909
234,TSB3-1,Intact forest 2016,2.902629532,92.39356759
235,TSB3-1,Non-forest,0.116574228,3.71067292
236,TSB3-1,Regrowth 1973-2016,0.122384154,3.895608628
237,TSB3-10,Intact forest 2016,3.140972871,99.9802717
238,TSB3-10,Non-forest,0.000616208,0.019614516
239,TSB3-2,Intact forest 2016,2.919610949,92.93410288
240,TSB3-2,Non-forest,0.109435561,3.483442093
241,TSB3-2,Regrowth 1973-2016,0.112541955,3.582321686
242,TSB3-3,Intact forest 2016,2.943945298,93.70868928
243,TSB3-3,Non-forest,0.103939234,3.308488568
244,TSB3-3,Regrowth 1973-2016,0.093704144,2.982695546
245,TSB3-4,Intact forest 2016,2.977674229,94.78231448
246,TSB3-4,Non-forest,0.103939234,3.308488568
247,TSB3-4,Regrowth 1973-2016,0.059974916,1.909060863
248,TSB3-5,Intact forest 2016,3.015079011,95.97294567
249,TSB3-5,Non-forest,0.098545145,3.136789391
250,TSB3-5,Regrowth 1973-2016,0.027964205,0.89012828
251,TSB3-6,Intact forest 2016,3.047964234,97.01971483
252,TSB3-6,Non-forest,0.08046408,2.561251229
253,TSB3-6,Regrowth 1973-2016,0.013160657,0.41891673
254,TSB3-7,Intact forest 2016,3.047648957,97.00967926
255,TSB3-7,Non-forest,0.077290935,2.460246884
256,TSB3-7,Regrowth 1973-2016,0.016648563,0.529940224
257,TSB3-8,Intact forest 2016,3.09790136,98.60926293
258,TSB3-8,Non-forest,0.042725721,1.360001943
259,TSB3-8,Regrowth 1973-2016,0.000961376,0.030601536
260,TSB3-9,Intact forest 2016,3.131683309,99.68457576
261,TSB3-9,Non-forest,0.009905402,0.31529873
262,TTA1-1,Intact forest 2016,2.525387124,80.38556881
263,TTA1-1,Non-forest,0.007031604,0.223822912
264,TTA1-1,Regrowth 1973-2016,0.609170039,19.39048459
265,TTA1-2,Intact forest 2016,2.456835414,78.20350009
266,TTA1-2,Non-forest,0.062473146,1.988581984
267,TTA1-2,Regrowth 1973-2016,0.622280005,19.80778775
268,TTA1-3,Intact forest 2016,2.157836714,68.68607587
269,TTA1-3,Non-forest,0.062664305,1.994666791
270,TTA1-3,Regrowth 1973-2016,0.921087686,29.31913165
271,TTA1-4,Intact forest 2016,2.365085512,75.28301001
272,TTA1-4,Non-forest,0.062664305,1.994666791
273,TTA1-4,Regrowth 1973-2016,0.71383908,22.72220365
274,TTA1-5,Intact forest 2016,2.848828938,90.68104151
275,TTA1-5,Non-forest,0.004870231,0.155024275
276,TTA1-5,Regrowth 1973-2016,0.287889851,9.163818578
277,TTA1-6,Intact forest 2016,3.027968134,96.38321921
278,TTA1-6,Regrowth 1973-2016,0.113620243,3.616644677
279,TTA1-7,Intact forest 2016,3.141503416,99.99715947
280,TTA1-7,Regrowth 1973-2016,8.48E-05,0.002698893
281,TTA2-1,Intact forest 2016,2.350298691,74.81233089
282,TTA2-1,Non-forest,0.016951566,0.539585092
283,TTA2-1,Regrowth 1973-2016,0.774338427,24.64795765
284,TTA2-2,Intact forest 2016,2.037032037,64.8407436
285,TTA2-2,Non-forest,0.062664305,1.994666791
286,TTA2-2,Regrowth 1973-2016,1.041892011,33.16445274
287,TTA2-3,Intact forest 2016,2.141115753,68.15383115
288,TTA2-3,Non-forest,0.03687784,1.173858102
289,TTA2-3,Regrowth 1973-2016,0.963594894,30.67217811
290,TTA2-4,Intact forest 2016,2.423479282,77.14174146
291,TTA2-4,Regrowth 1973-2016,0.718108745,22.85811127
292,TTA2-5,Intact forest 2016,2.619511052,83.3816265
293,TTA2-5,Regrowth 1973-2016,0.522077251,16.61823502
294,TTA2-6,Intact forest 2016,2.75389154,87.65909026
295,TTA2-6,Regrowth 1973-2016,0.387696877,12.34077487
296,TTA3-1,Intact forest 2016,3.141588124,99.99985581
297,TTA3-2,Intact forest 2016,3.14158875,99.99987574
298,TTA3-3,Intact forest 2016,3.138356146,99.89697877
299,TTA3-3,Non-forest,0.003232227,0.102884997
300,TTA3-4,Intact forest 2016,3.139171513,99.9229327
301,TTA3-4,Non-forest,0.002416957,0.076934144
302,TTA3-5,Intact forest 2016,3.139170367,99.92289621
303,TTA3-5,Non-forest,0.002418962,0.07699795
