OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA (sqaure kilometers),PERCENTAGE
1,TD5-1,Intact forest 2016,0.785191173,100
2,TD5-10,Intact forest 2016,0.785191173,100
3,TD5-11,Intact forest 2016,0.785191173,100
4,TD5-12,Intact forest 2016,0.785191173,100
5,TD5-13,Intact forest 2016,0.785191173,100
6,TD5-2,Intact forest 2016,0.785191173,100
7,TD5-3,Intact forest 2016,0.785191173,100
8,TD5-4,Intact forest 2016,0.785191173,100
9,TD5-5,Intact forest 2016,0.785191173,100
10,TD5-6,Intact forest 2016,0.785191173,100
11,TD5-7,Intact forest 2016,0.785191173,100
12,TD5-8,Intact forest 2016,0.785191173,100
13,TD5-9,Intact forest 2016,0.785191173,100
14,TD6-1,Intact forest 2016,0.785191173,100
15,TD6-10,Intact forest 2016,0.785191173,100
16,TD6-2,Intact forest 2016,0.785191173,100
17,TD6-3,Intact forest 2016,0.785191173,100
18,TD6-4,Intact forest 2016,0.785191173,100
19,TD6-5,Intact forest 2016,0.785191173,100
20,TD6-6,Intact forest 2016,0.785191173,100
21,TD6-7,Intact forest 2016,0.785191173,100
22,TD6-8,Intact forest 2016,0.785191173,100
23,TD6-9,Intact forest 2016,0.785191173,100
24,TDA1-1,Intact forest 2016,0.785191173,100
25,TDA1-10,Intact forest 2016,0.785191173,100
26,TDA1-11,Intact forest 2016,0.785191173,100
27,TDA1-2,Intact forest 2016,0.785191172,99.99999988
28,TDA1-3,Intact forest 2016,0.785191175,100.0000002
29,TDA1-4,Intact forest 2016,0.785191173,100
30,TDA1-5,Intact forest 2016,0.785191173,100
31,TDA1-6,Intact forest 2016,0.785191173,100
32,TDA1-7,Intact forest 2016,0.785191173,100
33,TDA1-8,Intact forest 2016,0.785191173,99.99999994
34,TDA1-9,Intact forest 2016,0.785191173,100
35,TDA2-1,Intact forest 2016,0.785191173,100
36,TDA2-10,Intact forest 2016,0.785191173,100
37,TDA2-2,Intact forest 2016,0.785191173,100
38,TDA2-3,Intact forest 2016,0.785191173,100
39,TDA2-4,Intact forest 2016,0.785191173,100
40,TDA2-5,Intact forest 2016,0.785191173,100
41,TDA2-6,Intact forest 2016,0.785191173,100
42,TDA2-7,Intact forest 2016,0.785191173,100
43,TDA2-8,Intact forest 2016,0.785191173,100
44,TDA2-9,Intact forest 2016,0.785191173,100
45,TDA3-1,Intact forest 2016,0.785191173,100
46,TDA3-2,Intact forest 2016,0.785191173,100
47,TDA3-3,Intact forest 2016,0.785191173,100
48,TDA3-4,Intact forest 2016,0.785191173,100
49,TDA3-5,Intact forest 2016,0.785191173,100
50,TDA3-6,Intact forest 2016,0.785191173,100
51,TDA3-7,Intact forest 2016,0.785191173,99.99999997
52,TDA3-8,Intact forest 2016,0.785191173,100
53,TDA3-9,Intact forest 2016,0.782017092,99.59575695
54,TDA3-9,Non-forest,0.003174081,0.40424305
55,TDA4-1,Intact forest 2016,0.785191173,100
56,TDA4-10,Intact forest 2016,0.785191173,100
57,TDA4-11,Intact forest 2016,0.785191173,100
58,TDA4-12,Intact forest 2016,0.785191173,100
59,TDA4-13,Intact forest 2016,0.785191173,100
60,TDA4-14,Intact forest 2016,0.785191173,100
61,TDA4-15,Intact forest 2016,0.785191173,100
62,TDA4-2,Intact forest 2016,0.785191173,100
63,TDA4-3,Intact forest 2016,0.785191173,100
64,TDA4-4,Intact forest 2016,0.785191173,100
65,TDA4-5,Intact forest 2016,0.785191173,100
66,TDA4-6,Intact forest 2016,0.785191173,100
67,TDA4-7,Intact forest 2016,0.785191173,100
68,TDA4-8,Intact forest 2016,0.785191173,100
69,TDA4-9,Intact forest 2016,0.785191173,100
70,TDB1-1,Intact forest 2016,0.785191173,100
71,TDB1-10,Intact forest 2016,0.785191173,100
72,TDB1-2,Intact forest 2016,0.785191173,100
73,TDB1-3,Intact forest 2016,0.785191173,100
74,TDB1-4,Intact forest 2016,0.785191173,100
75,TDB1-5,Intact forest 2016,0.785191173,100
76,TDB1-6,Intact forest 2016,0.785191171,99.99999975
77,TDB1-7,Intact forest 2016,0.785191173,100
78,TDB1-8,Intact forest 2016,0.785191173,100
79,TDB1-9,Intact forest 2016,0.785191173,100
80,TDB2-1,Intact forest 2016,0.785191173,100
81,TDB2-10,Intact forest 2016,0.785191173,100
82,TDB2-2,Intact forest 2016,0.785191173,100
83,TDB2-3,Intact forest 2016,0.785191173,100
84,TDB2-4,Intact forest 2016,0.785191173,100
85,TDB2-5,Intact forest 2016,0.785191173,100
86,TDB2-6,Intact forest 2016,0.785191173,100
87,TDB2-7,Intact forest 2016,0.785191173,100
88,TDB2-8,Intact forest 2016,0.785191173,100
89,TDB2-9,Intact forest 2016,0.785191173,100
90,TDB4-1,Intact forest 2016,1.570382356,100.0000006
91,TDB4-2,Intact forest 2016,1.570382346,100
92,TDB4-3,Intact forest 2016,1.570382346,100
93,TDB4-4,Intact forest 2016,1.570382346,100
94,TDB4-5,Intact forest 2016,1.570382346,100
95,TDB4-6,Intact forest 2016,1.570382346,100
96,TDB4-7,Intact forest 2016,1.570382346,100
97,TSA1-1,Intact forest 2016,0.747815164,95.23988424
98,TSA1-1,Non-forest,0.037376009,4.760115755
99,TSA1-10,Intact forest 2016,0.785191173,100
100,TSA1-11,Intact forest 2016,0.785191173,100
101,TSA1-12,Intact forest 2016,0.785191173,100
102,TSA1-2,Intact forest 2016,0.767130438,97.69982954
103,TSA1-2,Non-forest,0.018060735,2.30017046
104,TSA1-3,Intact forest 2016,0.781999559,99.59352393
105,TSA1-3,Non-forest,0.003191614,0.406476074
106,TSA1-4,Intact forest 2016,0.785191173,100
107,TSA1-5,Intact forest 2016,0.785191173,100
108,TSA1-6,Intact forest 2016,0.785191173,100
109,TSA1-7,Intact forest 2016,0.785191173,100
110,TSA1-8,Intact forest 2016,0.785191173,100
111,TSA1-9,Intact forest 2016,0.785191173,100
112,TSA2-1,Intact forest 2016,0.785191173,100
113,TSA2-10,Intact forest 2016,0.785191173,100
114,TSA2-2,Intact forest 2016,0.785191173,100
115,TSA2-3,Intact forest 2016,0.785191173,100
116,TSA2-4,Intact forest 2016,0.785191173,100
117,TSA2-5,Intact forest 2016,0.785191173,100
118,TSA2-6,Intact forest 2016,0.785191173,100
119,TSA2-7,Intact forest 2016,0.785191173,100
120,TSA2-8,Intact forest 2016,0.785191173,100
121,TSA2-9,Intact forest 2016,0.785191173,100
122,TSA3-1,Intact forest 2016,0.771145722,98.21120617
123,TSA3-1,Non-forest,0.014045451,1.788793834
124,TSA3-2,Intact forest 2016,0.782567804,99.66589424
125,TSA3-2,Non-forest,0.002623369,0.334105765
126,TSA3-3,Intact forest 2016,0.785191173,100
127,TSA3-4,Intact forest 2016,0.785191173,100
128,TSA3-5,Intact forest 2016,0.785191173,100
129,TSA3-6,Intact forest 2016,0.785191173,100
130,TSA3-7,Intact forest 2016,0.785191173,100
131,TSB1-1,Intact forest 2016,0.632977889,80.61449377
132,TSB1-1,Non-forest,0.103323026,13.15896423
133,TSB1-1,Regrowth 1973-2016,0.048890258,6.226542003
134,TSB1-10,Intact forest 2016,0.308928507,39.34436825
135,TSB1-10,Non-forest,0.246476056,31.39057903
136,TSB1-10,Regrowth 1973-2016,0.229786611,29.26505272
137,TSB1-11,Intact forest 2016,0.260770996,33.21114719
138,TSB1-11,Non-forest,0.324047984,41.26994743
139,TSB1-11,Regrowth 1973-2016,0.200372193,25.51890538
140,TSB1-12,Intact forest 2016,0.208595626,26.5662215
141,TSB1-12,Non-forest,0.414141007,52.74397133
142,TSB1-12,Regrowth 1973-2016,0.16245454,20.68980717
143,TSB1-13,Intact forest 2016,0.15106833,19.2396878
144,TSB1-13,Non-forest,0.5066351,64.52378952
145,TSB1-13,Regrowth 1973-2016,0.127487743,16.23652268
146,TSB1-14,Intact forest 2016,0.113732881,14.48473754
147,TSB1-14,Non-forest,0.585787891,74.60449259
148,TSB1-14,Regrowth 1973-2016,0.085670402,10.91076988
149,TSB1-15,Intact forest 2016,0.079557198,10.13220741
150,TSB1-15,Non-forest,0.655995427,83.54595021
151,TSB1-15,Regrowth 1973-2016,0.049638548,6.321842372
152,TSB1-2,Intact forest 2016,0.601450591,76.59925525
153,TSB1-2,Non-forest,0.103345508,13.1618275
154,TSB1-2,Regrowth 1973-2016,0.080395074,10.23891725
155,TSB1-3,Intact forest 2016,0.56776618,72.30929224
156,TSB1-3,Non-forest,0.111504994,14.20099942
157,TSB1-3,Regrowth 1973-2016,0.105919999,13.48970834
158,TSB1-4,Intact forest 2016,0.537282385,68.42695179
159,TSB1-4,Non-forest,0.120513779,15.34833592
160,TSB1-4,Regrowth 1973-2016,0.127395009,16.22471229
161,TSB1-5,Intact forest 2016,0.507084474,64.58102065
162,TSB1-5,Non-forest,0.129343878,16.47291538
163,TSB1-5,Regrowth 1973-2016,0.148762822,18.94606398
164,TSB1-6,Intact forest 2016,0.473021244,60.24281221
165,TSB1-6,Non-forest,0.141863648,18.06740228
166,TSB1-6,Regrowth 1973-2016,0.170306281,21.68978551
167,TSB1-7,Intact forest 2016,0.434094909,55.28525076
168,TSB1-7,Non-forest,0.153784408,19.58560072
169,TSB1-7,Regrowth 1973-2016,0.197311856,25.12914851
170,TSB1-8,Intact forest 2016,0.393564054,50.12334155
171,TSB1-8,Non-forest,0.170535524,21.71898133
172,TSB1-8,Regrowth 1973-2016,0.221091595,28.15767712
173,TSB1-9,Intact forest 2016,0.356470271,45.39916943
174,TSB1-9,Non-forest,0.199050624,25.35059368
175,TSB1-9,Regrowth 1973-2016,0.229670278,29.25023688
176,TSB2-1,Intact forest 2016,0.689819887,87.85374962
177,TSB2-1,Non-forest,0.095371286,12.14625038
178,TSB2-2,Intact forest 2016,0.713599737,90.88229225
179,TSB2-2,Non-forest,0.071591436,9.117707748
180,TSB2-3,Intact forest 2016,0.750114173,95.5326803
181,TSB2-3,Non-forest,0.035077,4.467319698
182,TSB2-4,Intact forest 2016,0.780165778,99.35997815
183,TSB2-4,Non-forest,0.005025395,0.640021845
184,TSB2-5,Intact forest 2016,0.785191173,100
185,TSB2-6,Intact forest 2016,0.785191173,100
186,TSB2-7,Intact forest 2016,0.785191173,100
187,TSB2-8,Intact forest 2016,0.785191173,100
188,TSB2-9,Intact forest 2016,0.785191173,100
189,TSB3-1,Intact forest 2016,0.717537305,91.3837712
190,TSB3-1,Non-forest,0.067634719,8.613790002
191,TSB3-1,Regrowth 1973-2016,1.91492E-05,0.002438798
192,TSB3-10,Intact forest 2016,0.784574965,99.92152125
193,TSB3-10,Non-forest,0.000616208,0.078478746
194,TSB3-2,Intact forest 2016,0.739546109,94.18675782
195,TSB3-2,Non-forest,0.045645064,5.813242178
196,TSB3-3,Intact forest 2016,0.771352708,98.23756738
197,TSB3-3,Non-forest,0.013838465,1.762432622
198,TSB3-4,Intact forest 2016,0.784775295,99.94703477
199,TSB3-4,Non-forest,0.000415878,0.052965235
200,TSB3-5,Intact forest 2016,0.785191173,100
201,TSB3-6,Intact forest 2016,0.785191173,100
202,TSB3-7,Intact forest 2016,0.785191173,100
203,TSB3-8,Intact forest 2016,0.784574965,99.92152125
204,TSB3-8,Non-forest,0.000616208,0.078478746
205,TSB3-9,Intact forest 2016,0.784574965,99.92152125
206,TSB3-9,Non-forest,0.000616208,0.078478746
207,TTA1-1,Intact forest 2016,0.772216558,98.34758525
208,TTA1-1,Regrowth 1973-2016,0.012974615,1.652414746
209,TTA1-2,Intact forest 2016,0.707982271,90.16686577
210,TTA1-2,Regrowth 1973-2016,0.077208902,9.833134232
211,TTA1-3,Intact forest 2016,0.612261139,77.97605987
212,TTA1-3,Non-forest,4.34789E-05,0.005537364
