OID,OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD
0,TUA1-1,787544.0296,0.816329122,0.901607931,0.085278809,0.870795645,0.010668251
1,TUA1-2,76877.16974,0.851294458,0.893179059,0.041884601,0.871580642,0.008843657
2,TUA1-3,102800.8665,0.842166483,0.889913678,0.047747195,0.871652356,0.0086379
3,TUA1-4,97437.34305,0.839655697,0.890444934,0.050789237,0.87046066,0.009699391
4,TUA1-5,114421.834,0.837637126,0.888626516,0.050989389,0.867428985,0.009431012
5,TUA1-6,112633.9929,0.8354882,0.8891536,0.0536654,0.867114347,0.010770187
6,TUA1-7,97437.34305,0.829925597,0.88366735,0.053741753,0.863213827,0.010558737
7,TUA1-8,99225.1842,0.84006989,0.882611156,0.042541265,0.862704293,0.00869495
8,TUA1-9,97437.34305,0.843184233,0.888461649,0.045277417,0.866357093,0.009746436
9,TUA1-10,99225.1842,0.82939446,0.884475768,0.055081308,0.861269142,0.010649305
10,TUA1-11,104588.7077,0.842625916,0.887432933,0.044807017,0.86414393,0.009733157
11,TUA1-12,98331.26363,0.84625566,0.885148942,0.038893282,0.86557296,0.009122234
12,TUB1-1,20560.1733,0.853862226,0.893793404,0.039931178,0.876243537,0.009635241
13,TUB1-2,160905.7041,0.83155179,0.89585638,0.06430459,0.87483232,0.009015433
14,TUB1-3,97437.34305,0.844082057,0.901838601,0.057756543,0.876308517,0.011050095
15,TUB1-4,93861.66073,0.835178673,0.895494521,0.060315847,0.875423521,0.010705192
16,TUB1-5,99225.1842,0.847556472,0.896182358,0.048625886,0.874208034,0.009368474
17,TUB1-6,103694.7871,0.839878023,0.892815411,0.052937388,0.872698617,0.01016502
18,TUB1-7,95649.50189,0.771689713,0.887651682,0.115961969,0.866194984,0.01855962
19,TUB1-8,98331.26363,0.845235467,0.890425682,0.045190215,0.871569325,0.009570113
20,TUB1-9,100119.1048,0.737638414,0.890779495,0.153141081,0.854241977,0.028331333
21,TUB1-10,98331.26363,0.735821307,0.894548118,0.158726811,0.848023171,0.034612541
22,TUB1-11,95649.50189,0.683255136,0.893602014,0.210346878,0.853785933,0.035875796
23,TUB1-12,101013.0254,0.642609775,0.900565267,0.257955492,0.859491395,0.050047291
24,TUB1-13,101906.9459,0.648088634,0.906315446,0.258226812,0.866321242,0.041338179
25,TUA2-1,90285.97842,0.836689711,0.88696754,0.050277829,0.862641839,0.009995274
26,TUA2-2,23241.93504,0.820942998,0.877608538,0.05666554,0.855971566,0.012536236
27,TUA2-3,28605.45851,0.849155426,0.874216735,0.025061309,0.8620914,0.006288752
28,TUA2-4,57210.91702,0.846476972,0.881039739,0.034562767,0.866158581,0.008403611
29,TUA2-5,68831.88454,0.835594654,0.884311795,0.048717141,0.864372204,0.011482394
30,TUA2-6,83134.61379,0.838084638,0.878332198,0.04024756,0.864508154,0.008232345
31,TUA2-7,84028.53437,0.823303878,0.879902005,0.056598127,0.864228247,0.009729891
32,TUA2-8,98331.26363,0.799114764,0.880392134,0.08127737,0.86205259,0.010345918
33,TUA2-9,92073.81958,0.802805722,0.881669939,0.078864217,0.853734787,0.015989185
34,TUA2-10,86710.29611,0.821754694,0.879285932,0.057531238,0.860604294,0.010619418
35,TUA2-11,58104.8376,0.809699595,0.889947534,0.080247939,0.859619617,0.013444201
36,TUA2-12,81346.77264,0.810459912,0.884130597,0.073670685,0.859966208,0.012457421
37,TUB2-1,17878.41157,0.843132138,0.887300134,0.044167995,0.867947507,0.009886176
38,TUB2-2,51847.39355,0.843070984,0.887309253,0.044238269,0.868610253,0.008618005
39,TUB2-3,77771.09032,0.838615835,0.888249636,0.049633801,0.868247121,0.010857391
40,TUB2-4,87604.21668,0.839404583,0.886501253,0.04709667,0.867590098,0.008645078
41,TUB2-5,96543.42247,0.837879181,0.899373353,0.061494172,0.869647623,0.010393671
42,TUB2-6,54529.15528,0.79645288,0.88132906,0.08487618,0.867550412,0.011726708
43,TUB2-7,28605.45851,0.841272831,0.879009545,0.037736714,0.863646217,0.008704091
44,TUB2-8,28605.45851,0.831224382,0.877363205,0.046138823,0.856324563,0.011605961
45,TUA3-1,87604.21668,0.818757713,0.886129379,0.067371666,0.864250833,0.010713158
46,TUA3-2,108164.39,0.841251254,0.883333802,0.042082548,0.863755692,0.009365158
47,TUA3-3,106376.5488,0.842965126,0.887871623,0.044906497,0.867418908,0.00882298
48,TUA3-4,98331.26363,0.832475483,0.892317653,0.059842169,0.869696969,0.009542297
