surveyLocation,point,observer1,observer2,date,start,cloudCover,weather,recorder,recordingfile,photoFileOriginal,photoFileEdited,editor,species,detectionType,total,estimate,distance,callTime,comment,entered,proofed,occasion
Tauk,TTA1-1,Indah,Rikardus,2017-09-28,05:30,40,cerah,YPI Recorder,170928-000.wav,IMG_20170930_141020.jpg,IMG_20180423_104747.jpg,Indah,Buceros rhinoceros,A,6,0,3,02:28,"",Indah,,1
Tauk,TTA1-1,Indah,Rikardus,2017-09-28,05:30,40,cerah,YPI Recorder,170928-000.wav,IMG_20170930_141020.jpg,IMG_20180423_104747.jpg,Indah,Buceros rhinoceros,A,6,0,3,02:28,"",Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Buceros rhinoceros,A,2,0,5,"","",Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Buceros rhinoceros,A,2,0,5,"","",Indah,,1
Tauk,TTA1-5,Indah,Rikardus,2017-09-28,08:05,0,cerah,YPI Recorder,170928-004.wav,IMG_20170930_141103.jpg,IMG_20180423_104652.jpg,Indah,Anorrhinus galeritus,A,7,1,5,00:53,"",Indah,,1
Tauk,TTA1-5,Indah,Rikardus,2017-09-28,08:05,0,cerah,YPI Recorder,170928-004.wav,IMG_20170930_141103.jpg,IMG_20180423_104652.jpg,Indah,Anorrhinus galeritus,A,7,1,5,00:53,"",Indah,,1
Tauk,TTA1-6,Indah,Rikardus,2017-09-28,08:40,0,cerah,YPI Recorder,170928-005.wav,IMG_20170930_141054.jpg,IMG_20180423_104640.jpg,Indah,Anorrhinus galeritus,F,2,0,5,00:17,"",Indah,,1
Tauk,TTA1-6,Indah,Rikardus,2017-09-28,08:40,0,cerah,YPI Recorder,170928-005.wav,IMG_20170930_141054.jpg,IMG_20180423_104640.jpg,Indah,Anorrhinus galeritus,F,2,0,5,00:17,"",Indah,,1
Tauk,TTA1-7,Indah,Rikardus,2017-09-28,09:17,0,cerah,YPI Recorder,170928-006.wav,IMG_20170930_141116.jpg,IMG_20180423_104630.jpg,Indah,Buceros rhinoceros,A,1,0,2,03:21,"",Indah,,1
Tauk,TTA1-7,Indah,Rikardus,2017-09-28,09:17,0,cerah,YPI Recorder,170928-006.wav,IMG_20170930_141116.jpg,IMG_20180423_104630.jpg,Indah,Buceros rhinoceros,A,1,0,2,03:21,"",Indah,,1
Tauk,TTA2-2,Indah,Rikardus,2017-09-29,06:25,30,Cerah,YPI Recorder,170929-002.wav,IMG_20170930_141642.jpg,IMG_20180423_104600.jpg,Indah,Rhinoplax vigil,A,2,0,5,02:36,"",Indah,,1
Tauk,TTA2-2,Indah,Rikardus,2017-09-29,06:25,30,Cerah,YPI Recorder,170929-002.wav,IMG_20170930_141642.jpg,IMG_20180423_104600.jpg,Indah,Anorrhinus galeritus,A,4,1,5,05:56,"",Indah,,1
Tauk,TTA2-2,Indah,Rikardus,2017-09-29,06:25,30,Cerah,YPI Recorder,170929-002.wav,IMG_20170930_141642.jpg,IMG_20180423_104600.jpg,Indah,Rhinoplax vigil,A,2,0,5,02:36,"",Indah,,1
Tauk,TTA2-2,Indah,Rikardus,2017-09-29,06:25,30,Cerah,YPI Recorder,170929-002.wav,IMG_20170930_141642.jpg,IMG_20180423_104600.jpg,Indah,Anorrhinus galeritus,A,4,1,5,05:56,"",Indah,,1
Tauk,TTA2-4,Indah,Rikardus,2017-09-29,08:15,30,Cerah berawan,YPI Recorder,170929-004.wav,IMG_20170930_141623.jpg,IMG_20180423_104535.jpg,Indah,Rhyticeros undulatus,F,6,0,4,"","",Indah,,1
Tauk,TTA2-4,Indah,Rikardus,2017-09-29,08:15,30,Cerah berawan,YPI Recorder,170929-004.wav,IMG_20170930_141623.jpg,IMG_20180423_104535.jpg,Indah,Rhyticeros undulatus,F,6,0,4,"","",Indah,,1
Tauk,TTA2-5,Indah,Rikardus,2017-09-29,09:08,20,Cerah berawan,YPI Recorder,170929-005.wav,IMG_20170930_141651.jpg,IMG_20180423_104524.jpg,Indah,Rhinoplax vigil,A,1,0,5,"",Telat catat waktu,Indah,,1
Tauk,TTA2-5,Indah,Rikardus,2017-09-29,09:08,20,Cerah berawan,YPI Recorder,170929-005.wav,IMG_20170930_141651.jpg,IMG_20180423_104524.jpg,Indah,Rhinoplax vigil,A,1,0,5,"",Telat catat waktu,Indah,,1
Tauk,TTA2-6,Indah,Rikardus,2017-09-29,09:50,10,Cerah,YPI Recorder,170929-006.wav,IMG_20170930_141701.jpg,IMG_20180423_104512.jpg,Indah,Rhyticeros undulatus,A,3,0,2,05:40,"",Indah,,1
Tauk,TTA2-6,Indah,Rikardus,2017-09-29,09:50,10,Cerah,YPI Recorder,170929-006.wav,IMG_20170930_141701.jpg,IMG_20180423_104512.jpg,Indah,Buceros rhinoceros,A,2,0,5,07:40,"",Indah,,1
Tauk,TTA2-6,Indah,Rikardus,2017-09-29,09:50,10,Cerah,YPI Recorder,170929-006.wav,IMG_20170930_141701.jpg,IMG_20180423_104512.jpg,Indah,Rhyticeros undulatus,A,3,0,2,05:40,"",Indah,,1
Tauk,TTA2-6,Indah,Rikardus,2017-09-29,09:50,10,Cerah,YPI Recorder,170929-006.wav,IMG_20170930_141701.jpg,IMG_20180423_104512.jpg,Indah,Buceros rhinoceros,A,2,0,5,07:40,"",Indah,,1
