surveyLocation,point,observer1,observer2,date,start,cloudCover,weather,recorder,recordingfile,photoFileOriginal,photoFileEdited,editor,species,detectionType,total,estimate,distance,callTime,comment,entered,proofed,occasion
Tauk,TTA1-1,Indah,Rikardus,2017-09-28,05:30,40,cerah,YPI Recorder,170928-000.wav,IMG_20170930_141020.jpg,IMG_20180423_104747.jpg,Indah,Chrysophlegma mentale,A,2,0,2,00:29,,Indah,,1
Tauk,TTA1-1,Indah,Rikardus,2017-09-28,05:30,40,cerah,YPI Recorder,170928-000.wav,IMG_20170930_141020.jpg,IMG_20180423_104747.jpg,Indah,Psilopogon australis,A,4,0,3,01:00,,Indah,,1
Tauk,TTA1-1,Indah,Rikardus,2017-09-28,05:30,40,cerah,YPI Recorder,170928-000.wav,IMG_20170930_141020.jpg,IMG_20180423_104747.jpg,Indah,Culicicapa ceylonensis,A,2,0,2,01:48,,Indah,,1
Tauk,TTA1-1,Indah,Rikardus,2017-09-28,05:30,40,cerah,YPI Recorder,170928-000.wav,IMG_20170930_141020.jpg,IMG_20180423_104747.jpg,Indah,Buceros rhinoceros,A,6,0,3,02:28,,Indah,,1
Tauk,TTA1-1,Indah,Rikardus,2017-09-28,05:30,40,cerah,YPI Recorder,170928-000.wav,IMG_20170930_141020.jpg,IMG_20180423_104747.jpg,Indah,Stachyris maculata,A,2,0,3,02:38,,Indah,,1
Tauk,TTA1-1,Indah,Rikardus,2017-09-28,05:30,40,cerah,YPI Recorder,170928-000.wav,IMG_20170930_141020.jpg,IMG_20180423_104747.jpg,Indah,Malacopteron magnirostre,A,1,0,3,04:48,,Indah,,1
Tauk,TTA1-1,Indah,Rikardus,2017-09-28,05:30,40,cerah,YPI Recorder,170928-000.wav,IMG_20170930_141020.jpg,IMG_20180423_104747.jpg,Indah,Pomatorhinus bornensis,A,1,0,4,05:17,,Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Psilopogon chrysopogon,A,1,0,1,00:29,,Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Rhipidura perlata,A,3,0,3,00:25,,Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Turdinus sepiarius,A,2,0,3,01:22,,Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Iole charlottae,A,2,0,3,01:42,,Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Psilopogon australis,A,3,0,4,03:30,,Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Alophoixus phaeocephalus,A,1,0,3,04:18,,Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Pomatorhinus bornensis,A,1,0,5,05:57,,Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Pellorneum bicolor,A,1,0,3,06:10,,Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,Buceros rhinoceros,A,2,0,5,,,Indah,,1
Tauk,TTA1-2,Indah,Rikardus,2017-09-28,06:00,0,cerah,YPI Recorder,170928-001.wav,IMG_20170930_141025.jpg,IMG_20180423_104735.jpg,Indah,unk,A,1,0,4,09:19,,Indah,,1
Tauk,TTA1-3,Indah,Rikardus,2017-09-28,06:35,0,cerah,YPI Recorder,170928-002.wav,IMG_20170930_141040.jpg,IMG_20180423_104726.jpg,Indah,Pycnonotus cyaniventris,A,2,0,2,00:06,,Indah,,1
Tauk,TTA1-3,Indah,Rikardus,2017-09-28,06:35,0,cerah,YPI Recorder,170928-002.wav,IMG_20170930_141040.jpg,IMG_20180423_104726.jpg,Indah,Culicicapa ceylonensis,A,3,0,4,00:18,,Indah,,1
Tauk,TTA1-3,Indah,Rikardus,2017-09-28,06:35,0,cerah,YPI Recorder,170928-002.wav,IMG_20170930_141040.jpg,IMG_20180423_104726.jpg,Indah,unk,A,1,0,2,00:33,,Indah,,1
Tauk,TTA1-3,Indah,Rikardus,2017-09-28,06:35,0,cerah,YPI Recorder,170928-002.wav,IMG_20170930_141040.jpg,IMG_20180423_104726.jpg,Indah,Psilopogon chrysopogon,A,4,0,4,02:47,,Indah,,1
Tauk,TTA1-3,Indah,Rikardus,2017-09-28,06:35,0,cerah,YPI Recorder,170928-002.wav,IMG_20170930_141040.jpg,IMG_20180423_104726.jpg,Indah,Arachnothera flavigaster,A,1,0,3,03:04,,Indah,,1
Tauk,TTA1-3,Indah,Rikardus,2017-09-28,06:35,0,cerah,YPI Recorder,170928-002.wav,IMG_20170930_141040.jpg,IMG_20180423_104726.jpg,Indah,Alcippe brunneicauda,A,2,0,3,03:40,,Indah,,1
Tauk,TTA1-3,Indah,Rikardus,2017-09-28,06:35,0,cerah,YPI Recorder,170928-002.wav,IMG_20170930_141040.jpg,IMG_20180423_104726.jpg,Indah,Rhipidura perlata,A,1,0,3,05:30,,Indah,,1
Tauk,TTA1-3,Indah,Rikardus,2017-09-28,06:35,0,cerah,YPI Recorder,170928-002.wav,IMG_20170930_141040.jpg,IMG_20180423_104726.jpg,Indah,unk,A,1,0,2,07:35,,Indah,,1
Tauk,TTA1-3,Indah,Rikardus,2017-09-28,06:35,0,cerah,YPI Recorder,170928-002.wav,IMG_20170930_141040.jpg,IMG_20180423_104726.jpg,Indah,unk,A,2,0,2,08:04,,Indah,,1
Tauk,TTA1-3,Indah,Rikardus,2017-09-28,06:35,0,cerah,YPI Recorder,170928-002.wav,IMG_20170930_141040.jpg,IMG_20180423_104726.jpg,Indah,Stachyris leucotis,A,1,0,2,09:18,,Indah,,1
Tauk,TTA1-4,Indah,Rikardus,2017-09-28,07:28,0,cerah,YPI Recorder,170928-003.wav,IMG_20170930_1410431.jpg,IMG_20180423_104712.jpg,Indah,Alcippe brunneicauda,A,4,0,3,00:35,,Indah,,1
Tauk,TTA1-4,Indah,Rikardus,2017-09-28,07:28,0,cerah,YPI Recorder,170928-003.wav,IMG_20170930_1410431.jpg,IMG_20180423_104712.jpg,Indah,Pycnonotus cyaniventris,A,2,0,3,01:31,,Indah,,1
Tauk,TTA1-4,Indah,Rikardus,2017-09-28,07:28,0,cerah,YPI Recorder,170928-003.wav,IMG_20170930_1410431.jpg,IMG_20180423_104712.jpg,Indah,unk,A,1,0,5,02:40,,Indah,,1
Tauk,TTA1-4,Indah,Rikardus,2017-09-28,07:28,0,cerah,YPI Recorder,170928-003.wav,IMG_20170930_1410431.jpg,IMG_20180423_104712.jpg,Indah,Dicaeum monticolum,A,1,0,2,03:14,,Indah,,1
Tauk,TTA1-4,Indah,Rikardus,2017-09-28,07:28,0,cerah,YPI Recorder,170928-003.wav,IMG_20170930_1410431.jpg,IMG_20180423_104712.jpg,Indah,Microtarsus atriceps,A,1,0,2,03:19,,Indah,,1
Tauk,TTA1-4,Indah,Rikardus,2017-09-28,07:28,0,cerah,YPI Recorder,170928-003.wav,IMG_20170930_1410431.jpg,IMG_20180423_104712.jpg,Indah,Psilopogon australis,A,6,0,4,06:06,,Indah,,1
Tauk,TTA1-4,Indah,Rikardus,2017-09-28,07:28,0,cerah,YPI Recorder,170928-003.wav,IMG_20170930_1410431.jpg,IMG_20180423_104712.jpg,Indah,Arachnothera hypogrammica,A,1,0,3,08:03,,Indah,,1
