observer1,date,start,cloudCover,occasion
Indah,2017-09-28,5.5,40,1
Indah,2017-09-28,6,0,1
Indah,2017-09-28,6.58333333333333,0,1
Indah,2017-09-28,7.46666666666667,0,1
Indah,2017-09-28,8.08333333333333,0,1
Indah,2017-09-28,8.66666666666667,0,1
Indah,2017-09-28,9.28333333333333,0,1
Indah,2017-09-29,5.5,60,1
Indah,2017-09-29,6.41666666666667,30,1
Indah,2017-09-29,7.28333333333333,30,1
Indah,2017-09-29,8.25,30,1
Indah,2017-09-29,9.13333333333333,20,1
Indah,2017-09-29,9.83333333333333,10,1
Indah,2017-09-30,6.16666666666667,0,1
Indah,2017-09-30,6.75,20,1
Indah,2017-09-30,7.25,20,1
Indah,2017-09-30,7.83333333333333,20,1
Indah,2017-09-30,8.5,20,1
Indah,2017-09-30,9.2,10,1
Indah,2017-09-30,9.8,10,1
Indah,2017-10-03,5.5,20,1
Indah,2017-10-03,5.95,10,1
Indah,2017-10-03,6.45,10,1
Indah,2017-10-03,6.88333333333333,10,1
Indah,2017-10-03,7.41666666666667,0,1
Indah,2017-10-03,8.16666666666667,0,1
Indah,2017-10-03,8.83333333333333,0,1
Indah,2017-10-03,9.5,0,1
Indah,2017-10-04,5.5,80,1
Indah,2017-10-04,9.66666666666667,0,1
Indah,2017-10-04,6.25,80,1
Indah,2017-10-04,6.65,80,1
Indah,2017-10-04,7.08333333333333,80,1
Indah,2017-10-04,7.55,60,1
Indah,2017-10-04,7.95,35,1
Indah,2017-10-04,8.41666666666667,20,1
Indah,2017-10-04,8.86666666666667,10,1
Indah,2017-10-04,9.25,10,1
Indah,2017-10-05,5.5,90,1
Indah,2017-10-05,9.5,40,1
Indah,2017-10-05,6,60,1
Indah,2017-10-05,6.45,25,1
Indah,2017-10-05,6.86666666666667,10,1
Indah,2017-10-05,7.33333333333333,40,1
Indah,2017-10-05,7.75,20,1
Indah,2017-10-05,8.21666666666667,20,1
Indah,2017-10-05,8.61666666666667,0,1
Indah,2017-10-05,9.08333333333333,40,1
Katie,2017-09-28,5.88333333333333,70,1
Katie,2017-09-28,6.75,50,1
Katie,2017-09-28,7.96666666666667,20,1
Katie,2017-09-28,9.13333333333333,20,1
,,,,
Katie,2017-09-29,5.53333333333333,0,1
Katie,2017-09-29,6.23333333333333,95,1
Katie,2017-09-29,6.91666666666667,100,1
Katie,2017-09-29,7.56666666666667,90,1
Katie,2017-09-29,8.05,100,1
Katie,2017-09-29,8.56666666666667,100,1
Katie,2017-09-29,8.98333333333333,70,1
Katie,2017-09-29,9.55,80,1
Katie,2017-09-30,5.96666666666667,100,1
Katie,2017-09-30,6.5,100,1
Katie,2017-09-30,7.16666666666667,100,1
Katie,2017-09-30,7.78333333333333,80,1
Katie,2017-09-30,8.46666666666667,50,1
Katie,2017-09-30,8.98333333333333,30,1
Katie,2017-09-30,9.65,10,1
,,,,
Katie,2017-10-01,6.6,100,1
Katie,2017-10-01,7.06666666666667,100,1
Katie,2017-10-01,7.98333333333333,100,1
Katie,2017-10-01,8.41666666666667,100,1
Katie,2017-10-01,8.85,100,1
Katie,2017-10-01,9.26666666666667,100,1
Katie,2017-10-01,9.71666666666667,100,1
,,,,
,,,,
Katie,2017-10-03,5.5,50,1
Katie,2017-10-03,9.55,50,1
Katie,2017-10-03,5.9,50,1
Katie,2017-10-03,6.31666666666667,30,1
Katie,2017-10-03,6.75,30,1
Katie,2017-10-03,7.18333333333333,60,1
Katie,2017-10-03,7.61666666666667,80,1
Katie,2017-10-03,8.03333333333333,20,1
Katie,2017-10-03,8.51666666666667,10,1
Katie,2017-10-03,8.98333333333333,10,1
Katie,2017-10-04,5.51666666666667,100,1
Katie,2017-10-04,6.28333333333333,100,1
Katie,2017-10-04,6.83333333333333,100,1
Katie,2017-10-04,7.48333333333333,100,1
Katie,2017-10-04,7.96666666666667,60,1
Katie,2017-10-04,8.36666666666667,100,1
Katie,2017-10-04,8.8,100,1
Katie,2017-10-04,9.23333333333333,100,1
Katie,2017-10-04,9.68333333333333,90,1
Katie,2017-10-05,5.83333333333333,100,1
Katie,2017-10-05,6.26666666666667,100,1
Katie,2017-10-05,6.81666666666667,50,1
Katie,2017-10-05,7.38333333333333,60,1
Katie,2017-10-05,7.91666666666667,95,1
Katie,2017-10-05,8.38333333333333,100,1
Katie,2017-10-05,8.81666666666667,100,1
Katie,2017-10-05,9.26666666666667,100,1
Katie,2017-10-05,9.78333333333333,100,1
Katie,2017-10-06,5.91666666666667,100,1
Katie,2017-10-06,6.58333333333333,90,1
Katie,2017-10-06,7.2,90,1
Katie,2017-10-06,7.65,70,1
Katie,2017-10-06,8.1,50,1
Katie,2017-10-06,8.56666666666667,50,1
Katie,2017-10-06,9.08333333333333,70,1
Katie,2017-10-06,9.53333333333333,40,1
,,,,
Indah,2017-11-05,5.5,50,2
Katie,2017-11-05,6.1,40,2
Katie,2017-11-05,6.65,20,2
Katie,2017-11-05,7.2,70,2
Indah,2017-11-05,7.75,70,2
Indah,2017-11-05,8.33333333333333,50,2
Indah,2017-11-05,8.95,30,2
Indah,2017-11-04,6.5,30,2
Indah,2017-11-04,6.15,30,2
Indah,2017-11-04,6.83333333333333,20,2
Indah,2017-11-04,7.41666666666667,20,2
Indah,2017-11-04,8.18333333333333,40,2
Indah,2017-11-04,9.08333333333333,20,2
Indah,2017-11-06,5.5,20,2
Indah,2017-11-06,6.06666666666667,20,2
Indah,2017-11-06,6.55,10,2
Indah,2017-11-06,7.16666666666667,10,2
Indah,2017-11-06,7.66666666666667,0,2
Indah,2017-11-06,8.5,0,2
Indah,2017-11-06,9.08333333333333,0,2
Indah,2017-11-10,5.5,40,2
Indah,2017-11-10,6.08333333333333,10,2
Indah,2017-11-10,6.55,10,2
Indah,2017-11-10,7,10,2
Indah,2017-11-10,7.58333333333333,70,2
Indah,2017-11-10,8.16666666666667,10,2
Indah,2017-11-10,8.7,40,2
Indah,2017-11-10,9.25,40,2
Indah,2017-11-11,5.5,80,2
Indah,2017-11-11,9.41666666666667,0,2
Indah,2017-11-11,5.95,40,2
Indah,2017-11-11,6.41666666666667,20,2
Indah,2017-11-11,6.86666666666667,10,2
Indah,2017-11-11,7.33333333333333,20,2
Indah,2017-11-11,7.75,10,2
Indah,2017-11-11,8.16666666666667,10,2
Indah,2017-11-11,8.58333333333333,0,2
Indah,2017-11-11,9,0,2
Indah,2017-11-09,5.58333333333333,80,2
Indah,2017-11-09,9.36666666666667,20,2
Indah,2017-11-09,6.08333333333333,60,2
Indah,2017-11-09,6.45,50,2
Indah,2017-11-09,6.83333333333333,30,2
Indah,2017-11-09,7.25,20,2
Indah,2017-11-09,7.63333333333333,20,2
Indah,2017-11-09,8.03333333333333,50,2
Indah,2017-11-09,8.63333333333333,50,2
Indah,2017-11-09,8.93333333333333,50,2
Katie,2017-11-04,5.51666666666667,100,2
Katie,2017-11-04,6.35,100,2
Katie,2017-11-04,7.41666666666667,100,2
Katie,2017-11-04,8.16666666666667,100,2
Katie,2017-11-04,9.65,100,2
Katie,2017-11-05,5.75,100,2
Katie,2017-11-05,6.5,100,2
Katie,2017-11-05,7,100,2
Katie,2017-11-05,7.45,100,2
Katie,2017-11-05,7.85,100,2
Katie,2017-11-05,8.25,100,2
Katie,2017-11-05,8.7,100,2
Katie,2017-11-05,9.4,100,2
Katie,2017-11-06,5.53333333333333,50,2
Katie,2017-11-06,6.05,40,2
Katie,2017-11-06,6.6,40,2
Katie,2017-11-06,7.21666666666667,40,2
Katie,2017-11-06,7.93333333333333,50,2
Katie,2017-11-06,8.41666666666667,40,2
Katie,2017-11-06,8.93333333333333,10,2
Katie,2017-11-06,9.41666666666667,20,2
Katie,2017-11-07,5.68333333333333,95,2
Katie,2017-11-07,6.16666666666667,100,2
Katie,2017-11-07,6.73333333333333,100,2
Katie,2017-11-07,7.16666666666667,90,2
Katie,2017-11-07,7.63333333333333,70,2
Katie,2017-11-07,8.08333333333333,90,2
Katie,2017-11-07,8.51666666666667,90,2
Katie,2017-11-07,8.95,100,2
Katie,2017-11-07,9.4,100,2
