"mean","2.5%","97.5%","Rhat","n.eff","SD"
"p.obs",0.924692153773618,0.795524099219784,1.0625072219523,1.0003209004713,1400,NA
"p.time",-0.715553449805105,-0.90375548016992,-0.532034772750807,1.00719930214774,330,NA
"sigma.p.site",0.171524315281911,0.11046931771131,0.233721289522735,1.00217583782711,960,NA
"sigma.p.sp",3.02737601439516,2.61562537554086,3.58175041554726,1.0020405006744,1100,NA
"mu.lambda.ch",0.0985670855133048,-0.805627224922602,0.99459909972762,1.00479619180287,570,1.53674300883014
"mu.lambda.dr",2.35003194964414,0.75402665173436,4.21709776336343,1.00811320425519,590,0.652167911313546
"mu.lambda.dr.com",5.34374151329756,0.228227761160953,12.0036780110211,1.01650076546143,170,2.93181335748743
"mu.lambda.intf",1.59171012608371,0.52779951417079,2.76065191311013,1.00104513019091,1400,3.13926309562487
"mu.lambda.intf.com",3.05901895158925,-1.64174636378738,10.0345817974958,1.01669374289108,210,1.43381502621498
"mu.lambda.water",-0.589505504775476,-1.60652900509501,0.467556016078335,1.00390481439559,600,0.43367235647489
"sigma.lambda.intf.com",3.79421218993205,0.202586223625603,9.47666069902428,1.02323825419965,200,NA
"sigma.lambda.site",0.233528081031673,0.00862849035711474,0.520855790932705,1.00670349623823,800,NA
