Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P ele),0,0.0691,12,626.93,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P ele P height100),1.27,0.0367,13,625.96,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ele),1.32,0.0357,13,626.01,5.41,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P und P ele),1.53,0.0322,13,626.22,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P water P ele),1.54,0.0321,13,626.23,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P und P ele),1.65,0.0303,14,624.08,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P ele P distRoad),1.7,0.0295,13,626.39,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P und P water P ele),2.24,0.0226,15,622.38,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P ndvi100 P ele),2.24,0.0226,13,626.93,4.27,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P und P ele),2.35,0.0214,13,627.04,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P water P ele P height100),2.43,0.0205,14,624.86,4.92,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P ele P height100 P distRoad),2.51,0.0197,14,624.94,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P water P ele),2.52,0.0196,14,624.95,5.75,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ele P height100),2.57,0.0191,14,625,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P ele),2.79,0.0171,14,625.22,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P und P water P ele),2.83,0.0168,14,625.26,5.86,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P und P ele P height100),2.94,0.0159,14,625.37,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P und P ele P distRoad),2.98,0.0156,14,625.41,5.47,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P und P water P ele P height100),3.07,0.0149,16,620.91,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P water P ele P height100),3.16,0.0142,15,623.31,5.44,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P und P water P ele),3.17,0.0142,14,625.6,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P und P ele P height100),3.17,0.0142,15,623.32,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P ele),3.32,0.0132,15,623.46,5.14,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P water P ele P distRoad),3.32,0.0131,14,625.75,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ele P distRoad),3.46,0.0122,14,625.89,5.09,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P ndvi100 P ele P height100),3.52,0.0119,14,625.95,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),3.66,0.0111,16,621.5,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P water P ele P height100 P distRoad),3.73,0.0107,15,623.88,5.46,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P water P ele),3.78,0.0104,15,623.93,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P ndvi100 P und P ele),3.79,0.0104,14,626.22,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P ndvi100 P water P ele),3.79,0.0104,14,626.22,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P und P ele P distRoad),3.82,0.0102,15,623.97,4.91,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P und P water P ele P height100),3.84,0.0101,15,623.99,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P und P ele P height100 P distRoad),3.92,0.0098,15,624.06,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P ndvi100 P ele P distRoad),3.96,0.0096,14,626.39,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P ele P height100),4.08,0.009,15,624.23,5.37,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P und P ele P distRoad),4.2,0.0085,14,626.63,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P ndvi100 P und P ele),4.21,0.0084,14,626.64,5.42,0
p(SURVEY P observer1 P start P cloudCover)psi(und P ele P distRoad),4.29,0.0081,13,628.98,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest1500 P und P water P ele P distRoad),4.32,0.008,15,624.47,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P ele),4.33,0.0079,12,631.26,5.4,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ele P height100 P distRoad),4.4,0.0077,15,624.55,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P water P ele P height100),4.42,0.0076,16,622.27,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P und P ele P height100),4.46,0.0074,14,626.89,5.68,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P und P water P ele P distRoad),4.53,0.0072,16,622.37,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele P height100),4.55,0.0071,17,620.07,5.84,0
p(SURVEY P observer1 P start P cloudCover)psi(und P ele),4.64,0.0068,12,631.57,0,0
p(SURVEY P observer1 P start P cloudCover)psi(ele),4.66,0.0067,11,633.82,0,0
