Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1 P start P cloudCover)psi(forest1500 P und P water P ele P distRoad),0,0.0171,11,191.6,4.86,1
p(observer1 P start P cloudCover)psi(forest1500 P und P ele P height100),0.19,0.0156,10,194,0,1
p(observer1 P start)psi(ele P distRoad),0.32,0.0146,7,200.61,0,1
p(observer1 P start P cloudCover)psi(forest1500 P ele),0.44,0.0137,8,198.59,4.75,1
p(observer1 P start P cloudCover)psi(forest1500 P ndvi500 P ele),0.58,0.0128,9,196.57,3.8,1
p(observer1 P start P cloudCover)psi(forest1500 P water P ele P distRoad),0.61,0.0126,10,194.41,0.23,1
p(observer1 P start P cloudCover)psi(forest1500 P ele P height100),0.84,0.0113,9,196.82,0,1
p(observer1 P start)psi(forest1500 P ndvi500 P water P ele P distRoad),0.85,0.0112,10,194.65,4.99,1
p(observer1 P start P cloudCover)psi(forest1500 P ndvi500 P water P ele),0.87,0.0111,10,194.67,1.83,1
p(observer1 P start P cloudCover)psi(forest1500 P water P ele P height100),0.88,0.011,10,194.69,0.55,1
p(observer1 P start P cloudCover)psi(forest1500 P ndvi500 P ele P height100),1.09,0.0099,10,194.9,4.13,1
p(observer1 P start)psi(forest1500 P ele),1.1,0.0099,7,201.39,0,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ele P height100),1.18,0.0095,10,194.98,0.81,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi500 P water P ele),1.21,0.0094,11,192.81,2.58,1
p(observer1 P start P cloudCover)psi(forest1500 P ndvi500 P und P ele),1.22,0.0093,10,195.02,5.44,1
p(observer1 P start P cloudCover)psi(ele P distRoad),1.28,0.0091,8,199.43,0.85,1
p(observer1 P start P cloudCover)psi(und P ele P distRoad),1.3,0.0089,9,197.29,4.61,1
p(start)psi(und P ele P distRoad),1.32,0.0088,6,203.74,1.64,1
p(observer1 P start)psi(forest1500 P ele P height100),1.35,0.0087,8,199.5,3.75,1
p(observer1 P start P cloudCover)psi(forest1500 P ndvi500 P ele P height100 P distRoad),1.38,0.0086,11,192.98,1.84,1
p(observer1 P start P cloudCover)psi(disturb500 P und P ele P distRoad),1.4,0.0085,10,195.21,-3.32,1
p(observer1 P start P cloudCover)psi(forest1500 P und P water P distRoad),1.43,0.0084,10,195.23,0,1
p(observer1 P start P cloudCover)psi(disturb500 P ele P height100 P distRoad),1.47,0.0082,10,195.28,3.89,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ele),1.51,0.008,9,197.5,2.75,1
p(observer1 P start)psi(forest1500 P ndvi500 P ele),1.55,0.0079,8,199.7,0,1
p(observer1 P start)psi(forest1500 P ndvi500 P water P ele P height100),1.57,0.0078,10,195.37,5.16,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P water P ele P height100),1.65,0.0075,11,193.26,2.25,1
p(observer1 P start)psi(ndvi500 P ele),1.79,0.007,7,202.08,5.22,1
p(observer1 P start P cloudCover)psi(forest1500 P ndvi500 P water P ele P distRoad),1.86,0.0068,11,193.46,0.76,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P und P ele P height100),1.87,0.0067,11,193.47,3.11,1
p(observer1 P start)psi(forest1500 P water P ele P height100),1.88,0.0067,9,197.87,5.77,1
p(start)psi(forest1500 P ndvi500 P water P ele P height100),1.97,0.0064,8,200.11,0,1
p(observer1 P start)psi(forest1500 P und P water P distRoad),2,0.0063,9,197.98,4.63,1
p(observer1 P start P cloudCover)psi(forest1500 P ndvi500 P und P water P distRoad),2.01,0.0063,11,193.62,3.91,1
p(start)psi(disturb500 P forest1500 P ndvi500 P water P ele),2.03,0.0062,8,200.18,0,1
p(observer1 P start)psi(forest1500 P ndvi500 P ele P height100),2.04,0.0062,9,198.03,0,1
p(observer1 P start)psi(disturb500 P forest1500 P ndvi500 P water P ele),2.05,0.0062,10,195.85,3.72,1
p(observer1 P start P cloudCover)psi(forest1500 P ele P distRoad),2.08,0.0061,9,198.07,3.02,1
p(start)psi(disturb500 P forest1500 P ele P height100),2.09,0.006,7,202.38,3.69,1
p(observer1 P start)psi(forest1500 P ndvi500 P water P ele),2.11,0.006,9,198.1,0,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi500 P water P distRoad),2.22,0.0057,11,193.82,0.44,1
p(start)psi(ele P distRoad),2.24,0.0056,5,206.76,4.35,1
p(start)psi(forest1500 P ndvi500 P ele P height100),2.25,0.0056,7,202.54,2.13,0
p(observer1 P start)psi(disturb500 P ele P height100 P distRoad),2.29,0.0055,9,198.27,1.57,1
p(observer1 P start)psi(disturb500 P forest1500 P water P ele P height100),2.31,0.0054,10,196.11,0.87,1
p(observer1 P start P cloudCover)psi(forest1500 P und P ele),2.31,0.0054,9,198.29,3.85,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi500 P water P ele P height100),2.32,0.0054,12,191.7,4.2,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P und P water P ele P height100),2.33,0.0054,12,191.71,2.2,1
