Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(cloudCover)psi(disturb100 P ndvi500 P ele P height100 P distRoad),0,0.0872,8,104.68,2.91,1
p(cloudCover)psi(disturb100 P ndvi500 P ele P distRoad),0.39,0.0717,7,107.21,1.36,0
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P ele P distRoad),1.24,0.047,8,105.92,1.09,1
p(cloudCover)psi(disturb100 P ndvi500 P ele),1.43,0.0427,6,110.38,2.58,1
p(cloudCover)psi(ndvi500 P ele P height100 P distRoad),1.87,0.0342,7,108.7,5.69,1
p(cloudCover)psi(disturb100 P ndvi500 P water P ele),1.97,0.0325,7,108.8,0,1
p(cloudCover)psi(ndvi500 P water P ele),2.7,0.0226,6,111.65,5.52,1
p(cloudCover)psi(ndvi500 P ele P distRoad),2.7,0.0226,6,111.65,1.89,1
p(cloudCover)psi(disturb100 P water P ele P distRoad),2.9,0.0205,7,109.72,1.41,1
p(cloudCover)psi(disturb100 P ndvi500 P ele P height100),2.94,0.02,7,109.77,0,0
p(cloudCover)psi(ndvi500 P ele),3.04,0.019,5,114.1,3.89,1
p(cloudCover)psi(forest1000 P ndvi500 P ele P height100 P distRoad),3.18,0.0178,8,107.86,1.37,1
p(cloudCover)psi(water P ele),3.19,0.0177,5,114.25,4.3,1
p(cloudCover)psi(water P ele P distRoad),3.4,0.0159,6,112.35,2.16,1
p(cloudCover)psi(disturb100 P ele P distRoad),3.41,0.0159,6,112.36,0,1
p(cloudCover)psi(disturb100 P forest1000 P water P ele P distRoad),3.53,0.0149,8,108.21,0,1
p(cloudCover)psi(ele),3.54,0.0149,4,116.68,4.83,1
p(cloudCover)psi(disturb100 P ndvi500 P und P ele P height100 P distRoad),3.65,0.014,9,106.17,2.64,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P ele P height100),3.78,0.0132,8,108.46,2.83,0
p(cloudCover)psi(disturb100 P ndvi500 P und P ele),3.92,0.0123,7,110.74,4.59,1
p(cloudCover)psi(forest1000 P ndvi500 P ele),3.98,0.0119,6,112.93,5.84,1
p(cloudCover)psi(forest1000 P ndvi500 P water P ele),4.22,0.0106,7,111.05,0,0
