Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1)psi(forest1500 P und P height500 P distRoad),0,0.0738,12,221.51,1.76,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P ele P height500 P distRoad),0.016,0.0732,14,217.02,0.29,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P water P height500 P distRoad),0.21,0.0664,14,217.22,-0.11,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P und P height500 P distRoad),0.785,0.0498,13,220.06,0.89,1
p(SURVEY P observer1 P start)psi(forest1500 P ndvi100 P height500 P distRoad),1.977,0.0274,13,221.25,1.17,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P height500 P distRoad),2.114,0.0256,13,221.38,-2.2,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P und P height500 P distRoad),2.126,0.0255,14,219.13,0.55,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P height500 P distRoad),2.406,0.0221,14,219.41,-1.85,1
p(SURVEY P observer1)psi(forest1500 P height500 P distRoad),2.42,0.022,11,226.15,1.32,0
p(SURVEY P observer1 P start)psi(forest1500 P und P height500 P distRoad),2.51,0.021,13,221.78,0.53,1
p(SURVEY P observer1)psi(forest1500 P ndvi100 P und P height500 P distRoad),2.618,0.0199,13,221.89,1.28,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P und P ele P height500 P distRoad),2.768,0.0185,14,219.78,1.43,1
p(SURVEY P observer1)psi(forest1500 P und P ele P height500 P distRoad),3.069,0.0159,13,222.34,1.44,0
p(SURVEY P observer1)psi(forest1500 P ndvi100 P und P water P height500 P distRoad),3.122,0.0155,14,220.13,0.03,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P und P height500 P distRoad),3.146,0.0153,14,220.15,0.43,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P height500 P distRoad),3.227,0.0147,12,224.74,1.43,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P und P water P height500 P distRoad),3.285,0.0143,14,220.29,0.16,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P water P ele P height500 P distRoad),3.285,0.0143,15,218.01,1.76,1
p(SURVEY P observer1)psi(forest1500 P ndvi100 P ele P height500 P distRoad),3.697,0.0116,13,222.97,-0.2,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P height500 P distRoad),3.817,0.0109,15,218.54,0.14,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P water),4.2,0.009,12,225.71,0.76,1
p(SURVEY P observer1)psi(forest1500 P ndvi100 P und P ele P height500 P distRoad),4.252,0.0088,14,221.26,0.92,1
p(SURVEY P observer1)psi(forest1500 P height500),4.316,0.0085,10,230.25,0.08,0
p(SURVEY P observer1)psi(forest1500 P ele P height500 P distRoad),4.316,0.0085,12,225.83,1.57,1
p(SURVEY P observer1)psi(forest1500 P ndvi100 P height500 P distRoad),4.342,0.0084,12,225.85,2.13,1
p(SURVEY P observer1 P start)psi(forest1500 P height500 P distRoad),4.617,0.0073,12,226.13,0.19,0
p(SURVEY P observer1)psi(forest1500 P water P height500 P distRoad),4.633,0.0073,12,226.14,1.66,0
