Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start)psi(forest500 P ndvi500 P ele P height100 P distRoad),0,0.1524,8,137.67,1.99,1
p()psi(forest500 P ndvi500 P ele P height100 P distRoad),1.5,0.072,7,141.31,0.76,0
p(start)psi(disturb500 P forest500 P ndvi500 P ele P height100 P distRoad),2.16,0.0517,9,137.67,5.05,1
p(start)psi(forest500 P ndvi500 P water P ele P height100 P distRoad),2.16,0.0517,9,137.67,0,1
p()psi(forest500 P ndvi500 P ele P height100),2.98,0.0344,6,144.91,1.24,1
p(start)psi(disturb500 P forest500 P ndvi500 P ele P height100),3.12,0.032,8,140.79,0.32,1
p(start)psi(forest500 P ndvi500 P und P ele P height100 P distRoad),3.2,0.0308,9,138.71,2.56,1
p()psi(forest500 P ndvi500 P water P ele P height100),3.34,0.0287,7,143.15,4.02,1
p()psi(forest500 P water P ele P height100 P distRoad),3.34,0.0287,7,143.15,4.24,0
p(start)psi(forest500 P und P water P ele P height100 P distRoad),3.41,0.0276,9,138.92,1.33,0
p()psi(disturb500 P forest500 P ndvi500 P ele P height100 P distRoad),3.64,0.0247,8,141.31,1.62,1
p()psi(forest500 P ndvi500 P water P ele P height100 P distRoad),3.64,0.0247,8,141.31,1.17,1
p()psi(forest500 P und P water P ele P height100 P distRoad),3.64,0.0247,8,141.31,1.24,0
p()psi(disturb500 P forest500 P ndvi500 P und P ele P height100 P distRoad),3.88,0.0219,9,139.39,2.03,1
p()psi(disturb500 P forest500 P ndvi500 P water P ele P height100 P distRoad),3.88,0.0219,9,139.39,5.47,1
p(start)psi(forest500 P water P ele P height100 P distRoad),3.89,0.0218,8,141.56,5.22,1
p(start)psi(forest500 P ndvi500 P ele P height100),3.96,0.021,7,143.77,4.84,1
p(start)psi(disturb500 P forest500 P ndvi500 P water P ele P height100),4.19,0.0188,9,139.69,4.89,1
p()psi(disturb500 P forest500 P ndvi500 P ele P height100),4.23,0.0184,7,144.04,1.51,1
