Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY)psi(disturb500 P distRoad),0,0.1255,8,159.47,0,0
p(SURVEY)psi(disturb500 P height500 P distRoad),1.82,0.0505,9,159.13,0,0
p(SURVEY)psi(disturb500 P forest100 P distRoad),1.92,0.0481,9,159.22,0,0
p(SURVEY)psi(disturb500 P ndvi500 P distRoad),2,0.0462,9,159.3,0,0
p(SURVEY)psi(disturb500 P ele P distRoad),2.09,0.0442,9,159.39,0,0
p(SURVEY)psi(disturb500 P water P distRoad),2.1,0.044,9,159.4,0,0
p(SURVEY)psi(disturb500 P und P distRoad),2.12,0.0435,9,159.42,0,0
p(SURVEY)psi(disturb500 P ndvi500 P height500 P distRoad),3.62,0.0206,10,158.74,0,0
p(SURVEY)psi(disturb500),3.8,0.0188,7,165.41,0,0
p(SURVEY)psi(disturb500 P forest100 P height500 P distRoad),3.87,0.0181,10,159,0,0
p(SURVEY)psi(disturb500 P water P height500 P distRoad),3.93,0.0176,10,159.06,0,0
p(SURVEY)psi(disturb500 P ele P height500 P distRoad),3.93,0.0176,10,159.06,0,0
p(SURVEY)psi(disturb500 P und P height500 P distRoad),3.95,0.0175,10,159.07,5.89,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P distRoad),4,0.017,10,159.12,0,0
p(SURVEY)psi(disturb500 P forest100 P water P distRoad),4.04,0.0167,10,159.16,0,0
p(SURVEY)psi(disturb500 P forest100 P und P distRoad),4.06,0.0165,10,159.18,0,0
p(SURVEY)psi(disturb500 P forest100 P ele P distRoad),4.08,0.0164,10,159.2,0,0
p(SURVEY)psi(disturb500 P ndvi500 P water P distRoad),4.12,0.016,10,159.25,0,0
p(SURVEY)psi(disturb500 P ndvi500 P und P distRoad),4.13,0.0159,10,159.26,0,0
p(SURVEY)psi(disturb500 P ndvi500 P ele P distRoad),4.14,0.0158,10,159.27,5.15,0
p(SURVEY)psi(disturb500 P water P ele P distRoad),4.2,0.0154,10,159.32,0,0
p(SURVEY)psi(disturb500 P und P water P distRoad),4.22,0.0152,10,159.34,0,0
p(SURVEY)psi(disturb500 P und P ele P distRoad),4.24,0.0151,10,159.36,0,0
p(SURVEY)psi(disturb500 P ele),4.81,0.0113,8,164.28,0,0
p(SURVEY)psi(disturb500 P forest100),4.87,0.011,8,164.34,0,0
p(SURVEY)psi(disturb500 P water),5.31,0.0088,8,164.77,0,0
p(SURVEY)psi(disturb500 P ndvi500 P und P height500 P distRoad),5.75,0.0071,11,158.67,0,0
p(SURVEY)psi(disturb500 P ndvi500 P water P height500 P distRoad),5.76,0.007,11,158.68,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P height500 P distRoad),5.78,0.007,11,158.71,0,0
p(SURVEY)psi(disturb500 P ndvi500 P ele P height500 P distRoad),5.8,0.0069,11,158.72,0,0
p(SURVEY)psi(disturb500 P height500),5.84,0.0068,8,165.31,0,0
p(SURVEY)psi(disturb500 P ndvi500),5.93,0.0065,8,165.4,0,0
p(SURVEY)psi(disturb500 P forest100 P water P height500 P distRoad),6.01,0.0062,11,158.93,0,0
p(SURVEY)psi(disturb500 P forest100 P und P height500 P distRoad),6.02,0.0062,11,158.94,0,0
p(SURVEY)psi(disturb500 P und P water P height500 P distRoad),6.06,0.0061,11,158.98,5.29,0
p(SURVEY)psi(disturb500 P water P ele P height500 P distRoad),6.06,0.0061,11,158.99,0,0
p(SURVEY)psi(disturb500 P forest100 P ele P height500 P distRoad),6.07,0.006,11,159,5.71,0
p(SURVEY)psi(disturb500 P und P ele P height500 P distRoad),6.09,0.006,11,159.01,5.09,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P water P distRoad),6.14,0.0058,11,159.06,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P distRoad),6.15,0.0058,11,159.07,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P ele P distRoad),6.16,0.0058,11,159.08,0,0
p(SURVEY)psi(disturb500 P forest100 P und P water P distRoad),6.18,0.0057,11,159.1,0,0
p(SURVEY)psi(disturb500 P forest100 P und P ele P distRoad),6.22,0.0056,11,159.14,0,0
p(SURVEY)psi(disturb500 P ndvi500 P und P water P distRoad),6.26,0.0055,11,159.18,0,0
p(SURVEY)psi(disturb500 P ndvi500 P water P ele P distRoad),6.28,0.0054,11,159.21,5.69,0
p(SURVEY)psi(disturb500 P ndvi500 P und P ele P distRoad),6.31,0.0054,11,159.23,0,0
p(SURVEY)psi(disturb500 P und P water P ele P distRoad),6.35,0.0052,11,159.28,0,0
p(SURVEY)psi(disturb500 P water P ele),6.39,0.0051,9,163.69,0,0
p(SURVEY)psi(disturb500 P und),6.58,0.0047,8,166.04,0,0
p(SURVEY)psi(disturb500 P forest100 P water),6.61,0.0046,9,163.92,0,0
p(SURVEY)psi(disturb500 P forest100 P ele),6.84,0.0041,9,164.15,0,0
p(SURVEY)psi(disturb500 P forest100 P und),6.89,0.004,9,164.19,0,0
p(SURVEY)psi(disturb500 P ele P height500),6.89,0.004,9,164.2,0,0
p(SURVEY)psi(disturb500 P ndvi500 P ele),6.9,0.004,9,164.21,0,0
p(SURVEY)psi(disturb500 P und P ele),6.94,0.0039,9,164.24,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500),7,0.0038,9,164.31,0,0
p(SURVEY)psi(disturb500 P forest100 P height500),7.02,0.0037,9,164.33,0,0
p(SURVEY)psi(disturb500 P und P water),7.18,0.0035,9,164.49,0,0
p(SURVEY)psi(distRoad),7.27,0.0033,7,168.88,0,0
p(SURVEY)psi(disturb500 P water P height500),7.35,0.0032,9,164.65,0,0
p(SURVEY)psi(disturb500 P ndvi500 P water),7.41,0.0031,9,164.71,0,0
p(SURVEY)psi(forest100 P ele P distRoad),7.51,0.0029,9,164.82,0,0
p(SURVEY)psi(disturb500 P und P height500),7.85,0.0025,9,165.16,0,0
p(SURVEY)psi(disturb500 P ndvi500 P und P water P height500 P distRoad),7.89,0.0024,12,158.59,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P height500 P distRoad),7.94,0.0024,12,158.64,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P water P height500 P distRoad),7.95,0.0024,12,158.65,0,0
p(SURVEY)psi(disturb500 P ndvi500 P und P ele P height500 P distRoad),7.96,0.0023,12,158.66,0,0
p(SURVEY)psi(disturb500 P ndvi500 P und),7.96,0.0023,9,165.27,5.94,0
p(SURVEY)psi(disturb500 P ndvi500 P water P ele P height500 P distRoad),7.97,0.0023,12,158.66,0,0
p(SURVEY)psi(disturb500 P ndvi500 P height500),8,0.0023,9,165.3,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P ele P height500 P distRoad),8,0.0023,12,158.7,4.05,0
p(SURVEY)psi(disturb500 P forest100 P und P water P height500 P distRoad),8.15,0.0021,12,158.85,0,0
p(SURVEY)psi(disturb500 P und P water P ele P height500 P distRoad),8.22,0.0021,12,158.92,0,0
p(SURVEY)psi(disturb500 P forest100 P water P ele P height500 P distRoad),8.23,0.002,12,158.93,5.86,0
p(SURVEY)psi(disturb500 P forest100 P und P ele P height500 P distRoad),8.24,0.002,12,158.94,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P water P ele P distRoad),8.33,0.0019,12,159.03,0,0
p(SURVEY)psi(disturb500 P forest100 P und P water P ele P distRoad),8.37,0.0019,12,159.07,0,0
p(SURVEY)psi(disturb500 P und P water P ele),8.44,0.0018,10,163.56,0,0
p(SURVEY)psi(disturb500 P ndvi500 P water P ele),8.45,0.0018,10,163.58,0,0
p(SURVEY)psi(disturb500 P ndvi500 P und P water P ele P distRoad),8.45,0.0018,12,159.15,0,0
p(SURVEY)psi(disturb500 P water P ele P height500),8.47,0.0018,10,163.6,0,0
p(SURVEY)psi(disturb500 P forest100 P water P ele),8.5,0.0018,10,163.62,0,0
p(SURVEY)psi(disturb500 P forest100 P und P water),8.52,0.0018,10,163.64,0,0
p(SURVEY)psi(forest100 P distRoad),8.56,0.0017,8,168.03,0,0
p(SURVEY)psi(ele P distRoad),8.57,0.0017,8,168.04,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P water),8.74,0.0016,10,163.86,0,0
p(SURVEY)psi(disturb500 P forest100 P water P height500),8.77,0.0016,10,163.9,0,0
p(SURVEY)psi(disturb500 P forest100 P und P ele),8.95,0.0014,10,164.07,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P ele),8.97,0.0014,10,164.09,0,0
p(SURVEY)psi(disturb500 P forest100 P ele P height500),8.99,0.0014,10,164.11,0,0
p(SURVEY)psi(disturb500 P und P ele P height500),9.02,0.0014,10,164.15,0,0
