Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1)psi(forest1000 P ele P height100 P distRoad),0,0.066,12,166.23,0,1
p(SURVEY)psi(forest1000 P ndvi500 P water P ele P height100),0.27,0.0577,11,168.72,-0.32,1
p(SURVEY P observer1)psi(forest1000 P ele P height100),0.46,0.0524,11,168.92,0,1
p(SURVEY P observer1)psi(forest1000 P water P ele P height100 P distRoad),0.73,0.0457,13,164.72,0,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P water P ele P height100),0.88,0.0425,13,164.87,1.05,0
p(SURVEY)psi(forest1000 P ele P height100 P distRoad),1.1,0.038,10,171.76,0,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P water P ele P height100),1.46,0.0318,14,163.19,2.45,1
p(SURVEY P observer1)psi(forest1000 P water P ele P height100),1.54,0.0306,12,167.77,0,1
p(SURVEY)psi(forest1000 P ele P height100),1.63,0.0292,9,174.47,0,1
p(SURVEY)psi(forest1000 P water P ele P height100 P distRoad),1.75,0.0275,11,170.21,0,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P ele P height100 P distRoad),2.22,0.0217,13,166.21,0,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P water P ele P height100),2.23,0.0217,14,163.95,1.29,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ele P height100 P distRoad),2.23,0.0217,13,166.22,0,1
p(SURVEY)psi(disturb100 P forest1000 P water P ele P height100),2.27,0.0212,11,170.73,-0.51,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ele P height100),2.47,0.0192,12,168.7,0,0
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P water P ele P height100),2.49,0.019,12,168.72,-0.28,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P ele P height100),2.62,0.0179,12,168.85,0,1
p(SURVEY)psi(forest1000 P water P ele P height100),2.64,0.0176,10,173.3,0,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P water P ele P height100 P distRoad),2.97,0.015,14,164.69,0,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P water P ele P height100 P distRoad),2.98,0.0149,14,164.71,0,1
p(SURVEY)psi(forest1000 P ndvi500 P ele P height100 P distRoad),3.29,0.0128,11,171.74,0,1
p(SURVEY)psi(forest1000 P und P ele P height100 P distRoad),3.29,0.0128,11,171.74,0,1
p(SURVEY)psi(disturb100 P forest1000 P ele P height100 P distRoad),3.29,0.0127,11,171.75,0,1
p(SURVEY P observer1)psi(forest1000 P und P ele P height100),3.31,0.0126,12,169.54,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P water P ele P height100),3.44,0.0118,15,162.88,1.58,1
p(SURVEY)psi(forest1000 P ndvi500 P und P water P ele P height100),3.44,0.0118,12,169.68,-1.46,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P water P ele P height100),3.49,0.0115,13,167.48,0,1
p(SURVEY P observer1)psi(forest1000 P und P ele P height100 P distRoad),3.5,0.0115,13,167.49,0,0
p(SURVEY)psi(disturb100 P forest1000 P ele P height100),3.61,0.0108,10,174.27,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P ele P height100 P distRoad),3.68,0.0105,14,165.41,2.48,1
p(SURVEY)psi(forest1000 P ndvi500 P ele P height100),3.76,0.0101,10,174.41,0,1
p(SURVEY P observer1)psi(forest1000 P ele),3.8,0.0099,10,174.46,1.23,0
p(SURVEY P observer1)psi(forest1000 P und P water P ele P height100 P distRoad),3.91,0.0093,14,165.64,0,0
p(SURVEY)psi(disturb100 P forest1000 P water P ele P height100 P distRoad),3.95,0.0092,12,170.18,0,1
p(SURVEY)psi(forest1000 P ndvi500 P water P ele P height100 P distRoad),3.96,0.0091,12,170.19,0,1
p(SURVEY P observer1)psi(forest1000 P und P water P ele P height100),4.19,0.0081,13,168.18,0,1
p(SURVEY)psi(forest1000 P und P ele P height100),4.48,0.007,10,175.13,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P ele P height100 P distRoad),4.49,0.007,14,166.21,4.86,1
p(SURVEY P observer1)psi(forest1000 P ele P distRoad),4.65,0.0065,11,173.1,0,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P ele P height100),4.7,0.0063,13,168.69,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P ele),4.78,0.006,12,171.01,1.32,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P ele P height100),4.87,0.0058,13,168.86,0,0
p(SURVEY)psi(forest1000 P und P water P ele P height100 P distRoad),4.95,0.0056,12,171.18,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P und P ele P height100),5.14,0.0051,13,169.13,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P water P ele),5.16,0.005,13,169.15,1.43,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P water P ele P height100 P distRoad),5.24,0.0048,15,164.69,0,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P water P ele P height100 P distRoad),5.26,0.0048,15,164.7,0,1
p(SURVEY)psi(forest1000 P und P water P ele P height100),5.29,0.0047,11,173.74,0,1
p(SURVEY)psi(forest1000 P ndvi500 P und P ele P height100 P distRoad),5.49,0.0042,12,171.73,0,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P ele P height100 P distRoad),5.51,0.0042,12,171.74,5.24,1
p(SURVEY)psi(forest1000 P ele),5.55,0.0041,8,180.55,0,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P und P ele P height100 P distRoad),5.67,0.0039,14,167.4,0,0
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P water P ele P height100),5.68,0.0038,13,169.68,-0.09,1
p(SURVEY)psi(forest1000 P ndvi500 P und P ele),5.74,0.0038,10,176.39,-0.69,1
p(SURVEY P observer1)psi(forest1000 P water P ele),5.75,0.0037,11,174.2,0,1
p(SURVEY)psi(forest1000 P ele P distRoad),5.78,0.0037,9,178.61,0,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P ele P height100),5.81,0.0036,11,174.26,0,0
p(SURVEY P observer1)psi(forest1000 P water P ele P distRoad),5.9,0.0035,12,172.13,0,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P ele P distRoad),6,0.0033,13,169.99,2.39,1
p(SURVEY)psi(forest1000 P ndvi500 P und P ele P height100),6.04,0.0032,11,174.49,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ele),6.09,0.0032,11,174.54,0.88,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P und P water P ele P height100),6.1,0.0031,14,167.83,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P und P water P ele P height100 P distRoad),6.14,0.0031,15,165.58,0,0
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P water P ele P height100 P distRoad),6.18,0.003,13,170.17,0,1
p(SURVEY)psi(disturb100 P forest1000 P und P ele P height100),6.29,0.0028,11,174.74,0,0
p(SURVEY)psi(forest1000 P ndvi500 P water P ele P distRoad),6.33,0.0028,11,174.78,0.66,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P ele),6.36,0.0027,11,174.82,0,1
p(SURVEY P observer1)psi(forest1000 P und P ele),6.38,0.0027,11,174.84,4.91,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P water P height100 P distRoad),6.64,0.0024,14,168.37,1.88,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ele P distRoad),6.74,0.0023,12,172.97,0,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100 P distRoad),6.76,0.0022,15,166.21,5.17,1
p(SURVEY)psi(disturb100 P forest1000 P und P ele P height100 P distRoad),6.78,0.0022,12,173.01,0,0
p(SURVEY)psi(forest1000 P water P ele),6.82,0.0022,9,179.66,0,1
p(SURVEY)psi(forest1000 P water P ele P distRoad),6.95,0.002,10,177.61,0,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100),7.06,0.0019,14,168.79,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P ele P distRoad),7.09,0.0019,12,173.32,1.57,1
p(SURVEY)psi(forest1000 P ndvi500 P und P ele P distRoad),7.14,0.0019,11,175.59,0.04,1
p(SURVEY)psi(disturb100 P forest1000 P und P water P ele P height100 P distRoad),7.14,0.0019,13,171.13,0,0
p(SURVEY)psi(disturb100 P forest1000 P und P water P ele P height100),7.18,0.0018,12,173.41,0,0
p(SURVEY)psi(forest1000 P ndvi500 P und P water P ele P height100 P distRoad),7.21,0.0018,13,171.2,0.73,1
p(SURVEY)psi(forest1000 P ndvi500 P und P water P ele),7.46,0.0016,11,175.91,-1.06,1
p(SURVEY)psi(disturb100 P forest1000 P ele),7.46,0.0016,9,180.29,0,1
p(SURVEY)psi(forest1000 P ndvi500 P ele),7.46,0.0016,9,180.3,2.68,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P water P ele P distRoad),7.48,0.0016,14,169.21,1.26,1
p(SURVEY)psi(forest1000 P und P ele),7.5,0.0016,9,180.33,3.48,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),7.51,0.0015,14,169.24,1.67,1
p(SURVEY)psi(forest1000 P ndvi500 P und P water P ele P distRoad),7.67,0.0014,12,173.9,0.39,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P water P ele),7.68,0.0014,12,173.91,3.71,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100 P distRoad),7.73,0.0014,13,171.72,5.93,1
p(SURVEY P observer1)psi(forest1000 P und P ele P distRoad),7.82,0.0013,12,174.05,0,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P water P ele),7.82,0.0013,12,174.06,0,1
p(SURVEY)psi(disturb100 P forest1000 P ele P distRoad),7.83,0.0013,10,178.49,0,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P water P ele P distRoad),7.9,0.0013,13,171.89,0,1
p(SURVEY P observer1)psi(forest1000 P und P water P ele),7.91,0.0013,12,174.14,0,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P water P ele P distRoad),7.98,0.0012,13,171.97,0,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100),8.19,0.0011,12,174.42,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P ele P distRoad),8.19,0.0011,14,169.92,1.54,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P water P ele P height100 P distRoad),8.25,0.0011,16,165.39,0,1
p(SURVEY)psi(forest1000 P ndvi500 P ele P distRoad),8.28,0.0011,10,178.94,0.29,0
