Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY)psi(forest1000 P ele),0,0.0406,8,86.01,4,0
p(SURVEY)psi(disturb100 P forest1000 P ele P distRoad),1.36,0.0205,10,83.02,1.42,1
p(SURVEY)psi(forest1000 P water P ele),1.45,0.0196,9,85.3,4.99,0
p(SURVEY)psi(forest1000 P ele P distRoad),1.45,0.0196,9,85.3,3.74,1
p(SURVEY)psi(water P ele P height100),1.78,0.0167,9,85.62,5.52,1
p(SURVEY)psi(forest1000 P ele P height100 P distRoad),1.79,0.0165,10,83.46,5.69,1
p(SURVEY)psi(forest1000 P ele P height100),1.84,0.0161,9,85.69,3.82,0
p(SURVEY)psi(ele P height100),1.85,0.0161,8,87.86,1.44,1
p(SURVEY)psi(ele),1.9,0.0157,7,90.05,5.1,0
p()psi(disturb100 P forest1000 P ele P distRoad),2.01,0.0148,6,92.29,0,1
p(SURVEY)psi(ele P height100 P distRoad),2.13,0.014,9,85.98,4.13,1
p(SURVEY)psi(forest1000 P ndvi500 P water P ele),2.15,0.0139,10,83.81,3.35,1
p(SURVEY)psi(forest1000),2.16,0.0138,7,90.31,3.86,1
p()psi(forest1000 P ele),2.19,0.0136,4,96.66,0,0
p(SURVEY)psi(ele P distRoad),2.23,0.0133,8,88.23,4.08,1
p(SURVEY)psi(disturb100 P forest1000 P ele P height100 P distRoad),2.37,0.0124,11,81.83,4.9,1
p(SURVEY)psi(ndvi500 P water P ele),2.41,0.0121,9,86.26,6,1
p(SURVEY)psi(water P ele),2.54,0.0114,8,88.55,5.37,1
p(SURVEY)psi(disturb100 P ele P distRoad),2.79,0.0101,9,86.63,3.43,0
p(SURVEY)psi(forest1000 P ndvi500 P water P ele P height100),2.79,0.0101,11,82.25,4.7,1
p(SURVEY)psi(disturb100 P forest1000 P ele),2.85,0.0098,9,86.69,5.95,1
p(SURVEY)psi(forest1000 P ndvi500 P ele),2.85,0.0098,9,86.69,3.9,1
p()psi(forest1000 P ele P distRoad),2.89,0.0096,5,95.27,3.68,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P ele),2.9,0.0095,10,84.56,5.95,1
p(SURVEY)psi(forest1000 P und P ele),3.18,0.0083,9,87.03,4.85,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P ele P distRoad),3.2,0.0082,11,82.66,3.92,1
p()psi(ele P height100),3.37,0.0075,4,97.84,2.42,1
p()psi(forest1000 P ndvi500 P water P ele),3.44,0.0073,6,93.72,5.74,1
p()psi(ele P height100 P distRoad),3.53,0.007,5,95.91,5.21,1
p(SURVEY)psi(ndvi500 P water P ele P height100),3.61,0.0067,10,85.27,1.53,1
p(SURVEY)psi(ndvi500 P ele P height100 P distRoad),3.61,0.0067,10,85.27,5.78,1
p(SURVEY)psi(disturb100 P forest1000 P water P ele),3.64,0.0066,10,85.3,2.85,1
p(SURVEY)psi(disturb100 P forest1000 P und P ele P distRoad),3.64,0.0066,11,83.1,5.03,1
p()psi(forest1000 P ele P height100),3.66,0.0065,5,96.04,0,1
p(SURVEY)psi(forest1000 P ndvi500 P ele P height100),3.67,0.0065,10,85.33,2.29,1
p(SURVEY)psi(und P ele P height100),3.72,0.0063,9,87.57,4.12,1
p()psi(ndvi500 P water P ele),3.73,0.0063,5,96.11,3.13,1
p(SURVEY)psi(forest1000 P height100),3.75,0.0062,8,89.76,4.84,1
p()psi(ele P distRoad),3.93,0.0057,4,98.4,2.39,1
p(SURVEY)psi(disturb100 P water P ele P height100),3.96,0.0056,10,85.62,3.09,1
p(SURVEY)psi(disturb100 P ele P height100 P distRoad),3.96,0.0056,10,85.62,3.69,1
p(SURVEY)psi(und P ele P height100 P distRoad),3.96,0.0056,10,85.62,5.37,1
p(SURVEY)psi(water P ele P height100 P distRoad),3.96,0.0056,10,85.62,5.28,1
p(SURVEY)psi(disturb100 P ele P height100),4.02,0.0054,9,87.86,1.19,0
p(SURVEY)psi(disturb100 P forest1000 P ele P height100),4.03,0.0054,10,85.69,5.89,0
p(SURVEY)psi(forest1000 P water P ele P height100),4.03,0.0054,10,85.69,4.72,0
p(SURVEY)psi(forest1000 P und P ele P height100),4.06,0.0053,10,85.72,4.86,1
p()psi(forest1000 P ndvi500 P ele),4.28,0.0048,5,96.66,1.19,1
p(SURVEY)psi(forest1000 P water),4.3,0.0047,8,90.31,5.28,0
p()psi(forest1000),4.33,0.0047,3,100.86,0,0
p(SURVEY)psi(ndvi500 P ele P height100),4.33,0.0046,9,88.18,3.06,1
p()psi(forest1000 P ele P height100 P distRoad),4.34,0.0046,6,94.62,5.33,1
p(SURVEY)psi(forest1000 P ndvi500 P ele P distRoad),4.34,0.0046,10,86.01,5.61,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P water P ele),4.35,0.0046,11,83.81,5.01,1
p(SURVEY)psi(forest1000 P und P ele P distRoad),4.38,0.0046,10,86.04,3.05,1
p(SURVEY)psi(disturb100 P water P ele),4.39,0.0045,9,88.23,1.83,1
p(SURVEY)psi(und P ele P distRoad),4.42,0.0045,9,88.26,4.23,1
p(SURVEY)psi(disturb100 P ele),4.51,0.0043,8,90.52,4.42,0
p(SURVEY)psi(und P ele),4.54,0.0042,8,90.54,0,1
p()psi(disturb100 P forest1000 P und P ele P distRoad),4.54,0.0042,7,92.69,2.51,1
p()psi(water P ele P height100),4.54,0.0042,5,96.93,4.14,1
p(SURVEY)psi(disturb100 P forest1000),4.59,0.0041,8,90.59,4.1,0
p(SURVEY)psi(forest1000 P ndvi500),4.59,0.0041,8,90.59,3.93,1
p(SURVEY)psi(forest1000 P distRoad),4.59,0.0041,8,90.59,3.55,0
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P water P ele P height100),4.59,0.0041,12,81.83,0,1
p()psi(disturb100 P forest1000 P ndvi500 P ele),4.64,0.004,6,94.91,0.86,1
p(SURVEY)psi(und P water P ele P height100),4.69,0.0039,10,86.35,1.44,1
p(SURVEY)psi(ndvi500 P ele P distRoad),4.7,0.0039,9,88.55,4.65,0
p(SURVEY)psi(water P ele P distRoad),4.7,0.0039,9,88.55,4.09,1
p()psi(ele),4.71,0.0038,3,101.25,0,0
p(SURVEY)psi(forest1000 P ndvi500 P und P water P ele),4.76,0.0037,11,84.22,3.01,1
p(SURVEY)psi(forest1000 P ndvi500 P ele P height100 P distRoad),4.77,0.0037,11,84.22,4.74,1
p(SURVEY)psi(forest1000 P und P ele P height100 P distRoad),4.77,0.0037,11,84.22,4.92,1
p(SURVEY)psi(forest1000 P water P ele P height100 P distRoad),4.77,0.0037,11,84.22,5.75,1
p(SURVEY)psi(forest1000 P und),4.89,0.0035,8,90.9,1.07,1
p(SURVEY)psi(disturb100 P ndvi500 P water P ele),4.94,0.0034,10,86.6,5.16,1
p()psi(forest1000 P und P ele),4.94,0.0034,5,97.32,2.2,1
p(SURVEY)psi(ndvi500 P und P water P ele),4.97,0.0034,10,86.63,2.95,1
p(SURVEY)psi(ndvi500 P und P water P height100),4.98,0.0034,10,86.64,1.64,1
p(SURVEY)psi(ndvi500 P und P ele P height100 P distRoad),5.11,0.0032,11,84.57,2.86,0
p(SURVEY)psi(ndvi500 P height100),5.12,0.0031,8,91.13,5.83,1
p()psi(water P ele),5.14,0.0031,4,99.61,0,1
p()psi(disturb100 P forest1000 P ele),5.2,0.003,5,97.58,0,1
p()psi(und P ele),5.2,0.003,4,99.67,2.99,1
p(SURVEY)psi(disturb100 P ndvi500 P ele P height100),5.22,0.003,10,86.88,4.07,1
p()psi(und P ele P height100 P distRoad),5.28,0.0029,6,95.56,4.99,1
p()psi(forest1000 P ndvi500 P water P ele P height100),5.33,0.0028,7,93.48,1.85,0
p(SURVEY)psi(disturb100 P und P ele P distRoad),5.34,0.0028,10,87,5.94,1
p(SURVEY)psi(forest1000 P ndvi500 P und P ele),5.37,0.0028,10,87.03,1.33,1
p(SURVEY)psi(forest1000 P water P ele P distRoad),5.37,0.0028,10,87.03,5.51,1
p()psi(disturb100 P ele P distRoad),5.39,0.0027,5,97.77,5.87,1
p()psi(forest1000 P water P ele P height100),5.42,0.0027,6,95.7,3.73,1
p()psi(disturb100 P ele P height100),5.45,0.0027,5,97.84,0,0
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P ele P distRoad),5.46,0.0027,12,82.69,4.12,1
p()psi(forest1000 P water P ele),5.52,0.0026,5,97.9,0,0
p(SURVEY)psi(disturb100 P und P ele P height100),5.58,0.0025,10,87.24,5.98,1
p(SURVEY)psi(disturb100 P ndvi500 P und P height100),5.61,0.0025,10,87.27,1.38,1
p(SURVEY)psi(disturb100 P forest1000 P height100),5.62,0.0024,9,89.46,4.31,0
p(SURVEY)psi(forest1000 P ndvi500 P height100),5.62,0.0024,9,89.46,5.2,1
p(SURVEY)psi(forest1000 P water P height100),5.62,0.0024,9,89.46,5.53,0
p(SURVEY)psi(ndvi500 P ele),5.63,0.0024,8,91.64,4.55,0
p()psi(ndvi500 P water P ele P height100),5.63,0.0024,6,95.91,5.22,0
p()psi(disturb100 P ele P height100 P distRoad),5.63,0.0024,6,95.91,4.64,1
p(SURVEY)psi(disturb100 P ndvi500 P ele P distRoad),5.64,0.0024,10,87.3,2.43,1
p()psi(disturb100 P forest1000 P ndvi500 P water P ele),5.64,0.0024,7,93.79,1.23,1
p(SURVEY)psi(forest1000 P und P height100),5.64,0.0024,9,89.49,0.79,1
p(SURVEY)psi(disturb100 P forest1000 P und P ele),5.7,0.0024,10,87.36,5.4,1
p()psi(ndvi500 P ele P distRoad),5.71,0.0023,5,98.09,3.7,0
p()psi(ndvi500 P ele P height100),5.77,0.0023,5,98.15,5.93,1
p()psi(und P ele P distRoad),5.77,0.0023,5,98.15,3.44,1
p()psi(disturb100 P forest1000 P ele P height100),5.77,0.0023,6,96.04,0,1
p()psi(forest1000 P ndvi500 P ele P height100),5.77,0.0023,6,96.04,3.63,1
p()psi(forest1000 P und P ele P height100),5.77,0.0023,6,96.04,0,1
p(SURVEY)psi(disturb100 P ndvi500 P water P ele P height100),5.81,0.0022,11,85.27,2.87,1
p(SURVEY)psi(disturb100 P und P ele P height100 P distRoad),5.81,0.0022,11,85.27,4.09,1
p(SURVEY)psi(ndvi500 P water P ele P height100 P distRoad),5.81,0.0022,11,85.27,4.82,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P ele P height100 P distRoad),5.82,0.0022,12,83.06,5.79,1
p()psi(disturb100 P forest1000),5.83,0.0022,4,100.3,2.51,1
p()psi(forest1000 P distRoad),5.83,0.0022,4,100.3,2.75,1
p(SURVEY)psi(disturb100 P forest1000 P water P ele P distRoad),5.84,0.0022,11,85.3,0,1
p()psi(disturb100 P ndvi500 P water P ele),5.84,0.0022,6,96.11,3.03,1
p(SURVEY)psi(forest1000 P water P distRoad),5.89,0.0021,9,89.73,4.29,1
p(SURVEY)psi(disturb100 P forest1000 P und P ele P height100),5.9,0.0021,11,85.36,0,1
p(SURVEY)psi(forest1000 P ndvi500 P und P ele P height100),5.9,0.0021,11,85.36,5,1
p(SURVEY)psi(ndvi500 P und P ele P height100),5.91,0.0021,10,87.57,5.36,1
p(SURVEY)psi(forest1000 P height100 P distRoad),5.91,0.0021,9,89.76,3.7,1
p(SURVEY)psi(und P water P ele),5.94,0.0021,9,89.78,1.6,0
p()psi(forest1000 P ndvi500 P ele P distRoad),5.98,0.002,6,96.25,5.67,0
p()psi(ndvi500 P ele P height100 P distRoad),5.98,0.002,6,96.25,5.54,1
p(SURVEY)psi(forest1000 P und P water P ele),6.02,0.002,10,87.68,5.57,1
p()psi(forest1000 P und P ele P distRoad),6.05,0.002,6,96.32,4.35,1
p()psi(und P ele P height100),6.08,0.0019,5,98.46,0,1
p()psi(forest1000 P ndvi500 P ele P height100 P distRoad),6.1,0.0019,7,94.25,2.3,1
p()psi(forest1000 P water P ele P height100 P distRoad),6.1,0.0019,7,94.25,4.47,1
p(SURVEY)psi(disturb100 P und P ele),6.13,0.0019,9,89.97,3.84,1
p(SURVEY)psi(ndvi500 P und P ele),6.13,0.0019,9,89.97,5.44,1
p(SURVEY)psi(ndvi500 P und P water P ele P height100),6.16,0.0019,11,85.62,3.15,1
p(SURVEY)psi(disturb100 P ndvi500 P und P ele P distRoad),6.16,0.0019,11,85.62,1.41,1
p(SURVEY)psi(disturb100 P water P ele P height100 P distRoad),6.16,0.0019,11,85.62,1.96,1
p(SURVEY)psi(forest1000 P ndvi500 P water),6.18,0.0018,9,90.02,5.6,1
p(SURVEY)psi(forest1000 P ndvi500 P und P ele P distRoad),6.2,0.0018,11,85.65,4.85,1
