Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P water P ele P distRoad),0,0.0557,9,94.8,0,1
p(cloudCover)psi(disturb100 P ndvi100 P water P ele P height100),0.13,0.0521,8,97.09,0,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P water P ele),0.37,0.0462,8,97.33,4.05,1
p(cloudCover)psi(ndvi100 P und P water P height100 P distRoad),0.86,0.0362,8,97.82,4.04,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P water P ele P height100 P distRoad),1.13,0.0316,10,93.75,2.92,1
p(cloudCover)psi(disturb100 P forest500 P water P height100),1.62,0.0248,7,100.72,5.53,1
p()psi(disturb100 P forest500 P ele P height100),1.72,0.0235,6,102.95,1.39,1
p(cloudCover)psi(disturb100 P forest500 P ele P height100),1.73,0.0235,7,100.83,1.06,0
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),2.03,0.0202,9,96.83,0,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele P distRoad),2.3,0.0177,10,94.91,0,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P water P ele P height100),2.49,0.016,9,97.29,0,1
p(cloudCover)psi(disturb100 P ndvi100 P water P ele P height100 P distRoad),3.06,0.0121,9,97.85,0,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele P height100),3.23,0.0111,10,95.85,2.19,1
p(cloudCover)psi(disturb100 P forest500 P und P water P height100 P distRoad),3.4,0.0102,9,98.2,3.02,1
p(cloudCover)psi(disturb100 P water),3.49,0.0097,5,106.82,5.06,0
p(cloudCover)psi(disturb100 P ndvi100 P und P water P ele P height100),3.51,0.0096,9,98.31,2.79,1
p()psi(disturb100 P forest500 P und P water P height100),3.55,0.0095,7,102.65,1.58,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele P height100 P distRoad),3.59,0.0092,11,94.01,1.55,1
p(cloudCover)psi(ndvi100),3.68,0.0089,4,109.1,2.46,0
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P water P height100),3.76,0.0085,8,100.72,5.6,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P ele P height100),3.87,0.008,8,100.83,0,1
p(cloudCover)psi(disturb100 P und P water P ele P distRoad),3.9,0.0079,8,100.86,-1.16,0
p(cloudCover)psi(ndvi100 P height100),4.03,0.0074,5,107.37,2.06,1
p(cloudCover)psi(disturb100 P forest500 P und P water P height100),4.22,0.0068,8,101.18,1.62,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P ele P distRoad),4.24,0.0067,8,101.2,0,1
p(cloudCover)psi(disturb100 P forest500 P und P ele P height100),4.25,0.0066,8,101.21,-0.18,1
p(cloudCover)psi(disturb100),4.31,0.0064,4,109.74,0,0
p(cloudCover)psi(disturb100 P forest500 P ele P height100 P distRoad),4.32,0.0064,8,101.28,1.72,0
p(cloudCover)psi(disturb100 P water P ele P height100),4.32,0.0064,7,103.43,0,0
p(cloudCover)psi(disturb100 P forest500 P ele),4.49,0.0059,6,105.71,0,0
p(cloudCover)psi(disturb100 P und P water),4.52,0.0058,6,105.75,2.29,0
p(cloudCover)psi(disturb100 P forest500 P water P ele),4.56,0.0057,7,103.66,0,0
p(cloudCover)psi(disturb100 P water P height100),4.79,0.0051,6,106.01,5.89,0
p(cloudCover)psi(disturb100 P water P ele),4.85,0.0049,6,106.08,3.03,0
p(cloudCover)psi(forest500 P ndvi100 P und P water P distRoad),4.87,0.0049,8,101.83,4.54,1
p(cloudCover)psi(),4.88,0.0048,3,112.38,0,0
p()psi(disturb100 P water),4.93,0.0047,4,110.35,0,0
p()psi(forest500 P und P height100),4.94,0.0047,5,108.28,4.47,1
p()psi(disturb100 P forest500 P und P ele),5.06,0.0044,6,106.29,2.23,1
p(cloudCover)psi(forest500),5.15,0.0042,4,110.57,0,0
p(cloudCover)psi(disturb100 P ndvi100 P water),5.19,0.0042,6,106.42,0,1
p(cloudCover)psi(disturb100 P und P water P ele P height100),5.2,0.0041,8,102.16,0,0
p()psi(disturb100 P forest500 P ele P height100 P distRoad),5.22,0.0041,7,104.33,5.01,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P height100 P distRoad),5.24,0.0041,10,97.85,-1.2,1
p(cloudCover)psi(disturb100 P forest500 P und P ele P distRoad),5.24,0.0041,8,102.2,1.49,1
p()psi(disturb100 P forest500 P water P ele),5.24,0.0041,6,106.47,0,0
p(cloudCover)psi(ndvi100 P distRoad),5.25,0.004,5,108.59,5.28,1
p()psi(disturb100 P forest500 P und P ele P height100),5.29,0.0039,7,104.4,5.16,1
p(cloudCover)psi(forest500 P und P water P ele),5.32,0.0039,7,104.42,4.54,1
p(cloudCover)psi(disturb100 P water P distRoad),5.33,0.0039,6,106.56,0,0
p(cloudCover)psi(disturb100 P und),5.37,0.0038,5,108.71,2,0
p()psi(disturb100 P forest500 P ele),5.38,0.0038,5,108.72,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P ele),5.41,0.0037,8,102.37,0,0
p(cloudCover)psi(water),5.43,0.0037,4,110.86,0,0
p(cloudCover)psi(forest500 P height100),5.46,0.0036,5,108.8,0,0
p(cloudCover)psi(disturb100 P und P water P ele),5.48,0.0036,7,104.59,2.27,0
p()psi(disturb100),5.49,0.0036,3,112.98,0,0
p()psi(disturb100 P und P water),5.51,0.0035,5,108.85,4.09,0
p()psi(disturb100 P forest500 P und P water P ele P height100),5.54,0.0035,8,102.5,4.97,1
p(cloudCover)psi(ndvi100 P und P distRoad),5.58,0.0034,6,106.81,2.4,1
p(cloudCover)psi(forest500 P ndvi100 P und P water P ele P distRoad),5.59,0.0034,9,100.39,3.67,1
p(cloudCover)psi(disturb100 P forest500 P water),5.59,0.0034,6,106.82,0,0
p(cloudCover)psi(forest500 P distRoad),5.64,0.0033,5,108.97,0,0
p(cloudCover)psi(disturb100 P ndvi100),5.69,0.0032,5,109.03,0,0
p(cloudCover)psi(disturb100 P forest500 P und P ele),5.7,0.0032,7,104.8,0,0
p()psi(disturb100 P water P ele),5.72,0.0032,5,109.06,0,0
p(cloudCover)psi(disturb100 P ndvi100 P und P water P ele P distRoad),5.74,0.0032,9,100.53,2.51,1
p(cloudCover)psi(disturb100 P und P water P height100),5.74,0.0032,7,104.85,1.73,0
p(cloudCover)psi(ndvi100 P und P water P ele P height100 P distRoad),5.75,0.0031,9,100.55,0.8,1
p(cloudCover)psi(disturb100 P ndvi100 P water P ele),5.78,0.0031,7,104.88,0,0
p(cloudCover)psi(und P water P ele P height100),5.78,0.0031,7,104.88,0.95,1
p(cloudCover)psi(disturb100 P water P ele P height100 P distRoad),5.82,0.003,8,102.78,0,0
p(cloudCover)psi(disturb100 P forest500 P und P water P ele),5.82,0.003,8,102.78,0,0
p(cloudCover)psi(disturb100 P forest500),5.82,0.003,5,109.16,0,0
p()psi(disturb100 P water P distRoad),5.96,0.0028,5,109.3,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P height100),5.97,0.0028,9,100.77,0,1
p()psi(disturb100 P forest500 P und P ele P height100 P distRoad),5.99,0.0028,8,102.95,1.95,1
p(cloudCover)psi(forest500 P ndvi100 P und P height100),6.01,0.0028,7,105.12,0,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P ele P height100),6.03,0.0027,9,100.83,0,1
p(cloudCover)psi(ndvi100 P height100 P distRoad),6.04,0.0027,6,107.27,3.33,1
p(cloudCover)psi(disturb100 P ele),6.12,0.0026,5,109.46,0,0
p()psi(disturb100 P water P ele P height100 P distRoad),6.12,0.0026,7,105.23,0,0
p()psi(),6.13,0.0026,2,115.67,5.98,0
p(cloudCover)psi(ndvi100 P ele P height100),6.14,0.0026,6,107.37,5.98,0
p(cloudCover)psi(forest500 P ndvi100 P und P ele),6.18,0.0025,7,105.28,3.55,1
p(cloudCover)psi(disturb100 P und P water P distRoad),6.18,0.0025,7,105.28,1.66,0
p(cloudCover)psi(disturb100 P ndvi100 P und P water P ele P height100 P distRoad),6.18,0.0025,10,98.8,2.41,0
p(cloudCover)psi(disturb100 P forest500 P und P ele P height100 P distRoad),6.22,0.0025,9,101.02,1.58,0
p(cloudCover)psi(disturb100 P distRoad),6.23,0.0025,5,109.57,0,0
p(cloudCover)psi(disturb100 P height100),6.26,0.0024,5,109.59,0,0
p()psi(disturb100 P und),6.26,0.0024,4,111.68,0,0
p(cloudCover)psi(und P water P height100 P distRoad),6.28,0.0024,7,105.39,0,0
p(cloudCover)psi(water P distRoad),6.29,0.0024,5,109.63,0,0
