Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start)psi(ndvi500 P height100 P distRoad),0,0.0564,6,229.02,0,0
p(start)psi(ndvi500 P ele P height100 P distRoad),0.57,0.0424,7,227.46,0,0
p(start)psi(disturb100 P ndvi500 P height100 P distRoad),1.63,0.025,7,228.52,0,0
p(observer1 P start)psi(ndvi500 P height100 P distRoad),1.71,0.024,8,226.46,0,0
p(start)psi(forest500 P ndvi500 P ele P height100 P distRoad),1.88,0.022,8,226.63,0,0
p(start)psi(ndvi500 P water P height100 P distRoad),1.91,0.0217,7,228.81,0,0
p(start)psi(ndvi500 P und P height100 P distRoad),1.94,0.0214,7,228.83,0,0
p(start)psi(ndvi500 P water P ele P height100 P distRoad),2,0.0207,8,226.75,0,0
p(start)psi(disturb100 P ndvi500 P ele P height100 P distRoad),2,0.0207,8,226.75,0,0
p(start)psi(forest500 P ndvi500 P height100 P distRoad),2.1,0.0198,7,228.99,0,0
p(observer1 P start)psi(ndvi500 P ele P height100 P distRoad),2.29,0.0179,9,224.88,0,0
p(start)psi(ndvi500 P und P ele P height100 P distRoad),2.3,0.0178,8,227.05,0,0
p(start)psi(ndvi500 P distRoad),2.81,0.0138,5,233.93,0,0
p(start)psi(ndvi500 P und P water P ele P height100 P distRoad),3.27,0.011,9,225.86,0,0
p(start)psi(forest500 P ndvi500 P und P ele P height100 P distRoad),3.29,0.0109,9,225.88,0,0
p(start)psi(disturb100 P forest500 P ndvi500 P ele P height100 P distRoad),3.3,0.0109,9,225.88,0,0
p()psi(ndvi500 P height100 P distRoad),3.36,0.0105,5,234.48,0,0
p(observer1 P start)psi(disturb100 P ndvi500 P height100 P distRoad),3.38,0.0104,9,225.97,0,0
p(start)psi(disturb100 P ndvi500 P water P ele P height100 P distRoad),3.39,0.0103,9,225.98,0,0
p(start)psi(disturb100 P ndvi500 P water P height100 P distRoad),3.51,0.0097,8,228.26,0,0
p(start)psi(disturb100 P ndvi500 P und P height100 P distRoad),3.64,0.0092,8,228.39,0,0
p(observer1 P start)psi(ndvi500 P water P height100 P distRoad),3.67,0.009,9,226.25,0,0
p(observer1 P start)psi(ndvi500 P und P height100 P distRoad),3.69,0.0089,9,226.28,0,0
p(start)psi(disturb100 P forest500 P ndvi500 P height100 P distRoad),3.71,0.0088,8,228.46,0,0
p(observer1 P start)psi(ndvi500 P water P ele P height100 P distRoad),3.77,0.0086,10,224.17,0,0
p(observer1 P start)psi(disturb100 P ndvi500 P ele P height100 P distRoad),3.78,0.0085,10,224.19,0,0
p(observer1 P start)psi(forest500 P ndvi500 P ele P height100 P distRoad),3.8,0.0085,10,224.2,0,0
p(observer1 P start)psi(forest500 P ndvi500 P height100 P distRoad),3.81,0.0084,9,226.4,0,0
p(start)psi(ndvi500 P und P water P height100 P distRoad),3.82,0.0083,8,228.57,0,0
p(start)psi(ndvi500 P ele P distRoad),3.84,0.0083,6,232.86,0,0
p(start)psi(forest500 P ndvi500 P water P ele P height100 P distRoad),3.88,0.0081,9,226.46,0,0
p(start)psi(forest500 P ndvi500 P water P height100 P distRoad),3.88,0.0081,8,228.63,0,0
p(start)psi(disturb100 P ndvi500 P und P ele P height100 P distRoad),3.96,0.0078,9,226.55,0,0
p(observer1 P start)psi(ndvi500 P und P ele P height100 P distRoad),4.05,0.0074,10,224.46,0,0
p(start)psi(forest500 P ndvi500 P und P height100 P distRoad),4.07,0.0074,8,228.82,0,0
p()psi(ndvi500 P ele P height100 P distRoad),4.12,0.0072,6,233.14,0,0
p()psi(ndvi500 P distRoad),4.17,0.007,4,237.38,0,0
p()psi(forest500 P ndvi500 P ele P height100 P distRoad),4.21,0.0069,7,231.1,0,0
p(start)psi(disturb100 P ndvi500 P distRoad),4.26,0.0067,6,233.28,0,0
p(observer1)psi(ndvi500 P height100 P distRoad),4.42,0.0062,7,231.31,0,0
p(observer1 P start)psi(ndvi500 P distRoad),4.43,0.0061,7,231.33,0,0
p(start)psi(ndvi500 P water P distRoad),4.72,0.0053,6,233.74,0,0
p(start)psi(ndvi500 P und P distRoad),4.75,0.0052,6,233.77,0,0
p()psi(disturb100 P ndvi500 P height100 P distRoad),4.87,0.0049,6,233.88,0,0
p(start)psi(forest500 P ndvi500 P distRoad),4.91,0.0048,6,233.92,5.91,0
p(start)psi(disturb100 P height100 P distRoad),4.91,0.0048,6,233.92,0,0
p(start)psi(disturb100 P forest500 P ndvi500 P und P ele P height100 P distRoad),5,0.0046,10,225.4,0,0
p(observer1 P start)psi(ndvi500 P und P water P ele P height100 P distRoad),5.03,0.0046,11,223.23,0,0
p(start)psi(disturb100 P ndvi500 P ele P distRoad),5.12,0.0043,7,232.02,0,0
p(start)psi(forest500 P ndvi500 P und P water P ele P height100 P distRoad),5.16,0.0043,10,225.56,0,0
p(observer1)psi(ndvi500 P distRoad),5.19,0.0042,6,234.2,0,0
p(start)psi(disturb100 P ndvi500 P und P water P ele P height100 P distRoad),5.2,0.0042,10,225.6,0,0
p(observer1 P start)psi(disturb100 P ndvi500 P water P ele P height100 P distRoad),5.23,0.0041,11,223.43,0,0
p(observer1)psi(ndvi500 P ele P height100 P distRoad),5.23,0.0041,8,229.98,0,0
p(start)psi(disturb100 P forest500 P ndvi500 P water P ele P height100 P distRoad),5.25,0.0041,10,225.66,0,0
p(observer1 P start)psi(forest500 P ndvi500 P und P ele P height100 P distRoad),5.27,0.004,11,223.47,0,0
p(observer1 P start)psi(disturb100 P forest500 P ndvi500 P ele P height100 P distRoad),5.28,0.004,11,223.48,0,0
p()psi(forest500 P ndvi500 P height100 P distRoad),5.3,0.004,6,234.31,0,0
p(observer1 P start)psi(disturb100 P ndvi500 P water P height100 P distRoad),5.31,0.004,10,225.71,0,0
p(start)psi(disturb100 P forest500 P ndvi500 P water P height100 P distRoad),5.38,0.0038,9,227.97,0,0
p()psi(disturb100 P ndvi500 P ele P height100 P distRoad),5.39,0.0038,7,232.28,0,0
p()psi(ndvi500 P und P height100 P distRoad),5.39,0.0038,6,234.41,0,0
p()psi(ndvi500 P water P height100 P distRoad),5.42,0.0038,6,234.44,0,0
p(observer1 P start)psi(disturb100 P ndvi500 P und P height100 P distRoad),5.43,0.0037,10,225.83,0,0
p(observer1 P start)psi(disturb100 P forest500 P ndvi500 P height100 P distRoad),5.46,0.0037,10,225.86,0,0
p()psi(ndvi500 P ele P distRoad),5.46,0.0037,5,236.59,0,0
p()psi(disturb100 P forest500 P ndvi500 P ele P height100 P distRoad),5.48,0.0036,8,230.23,0,0
p(start)psi(disturb100 P ndvi500 P und P water P height100 P distRoad),5.49,0.0036,9,228.08,0,0
p(start)psi(ndvi500 P water P ele P distRoad),5.51,0.0036,7,232.4,0,0
p(observer1 P start)psi(ndvi500 P ele P distRoad),5.52,0.0036,8,230.27,0,0
p(start)psi(forest500 P ndvi500 P ele P distRoad),5.56,0.0035,7,232.46,0,0
p()psi(disturb100 P ndvi500 P distRoad),5.59,0.0034,5,236.71,0,0
p(observer1 P start)psi(forest500 P ndvi500 P water P height100 P distRoad),5.61,0.0034,10,226.01,0,0
p(observer1 P start)psi(ndvi500 P und P water P height100 P distRoad),5.62,0.0034,10,226.02,0,0
p(start)psi(ndvi500 P und P ele P distRoad),5.65,0.0033,7,232.54,0,0
p(observer1)psi(forest500 P ndvi500 P ele P height100 P distRoad),5.69,0.0033,9,228.28,0,0
p(start)psi(disturb100 P forest500 P ndvi500 P und P height100 P distRoad),5.75,0.0032,9,228.34,0,0
p(observer1 P start)psi(disturb100 P ndvi500 P und P ele P height100 P distRoad),5.78,0.0031,11,223.98,0,0
p(observer1 P start)psi(forest500 P ndvi500 P water P ele P height100 P distRoad),5.78,0.0031,11,223.99,0,0
p()psi(forest500 P ndvi500 P und P ele P height100 P distRoad),5.82,0.0031,8,230.57,0,0
p(start)psi(forest500 P ndvi500 P und P water P height100 P distRoad),5.82,0.0031,9,228.41,0,0
p(observer1 P start)psi(forest500 P ndvi500 P und P height100 P distRoad),5.83,0.0031,10,226.23,0,0
p(observer1 P start)psi(disturb100 P ndvi500 P distRoad),5.94,0.0029,8,230.68,0,0
p()psi(ndvi500 P und P ele P height100 P distRoad),5.95,0.0029,7,232.84,0,0
p(observer1)psi(disturb100 P ndvi500 P height100 P distRoad),5.97,0.0028,8,230.72,0,0
p()psi(ndvi500 P water P ele P height100 P distRoad),5.99,0.0028,7,232.88,0,0
p(start)psi(disturb100 P ndvi500 P water P distRoad),6.13,0.0026,7,233.02,0,0
p()psi(forest500 P ndvi500 P distRoad),6.15,0.0026,5,237.27,0,0
p()psi(ndvi500 P water P distRoad),6.18,0.0026,5,237.3,0,0
p()psi(ndvi500 P und P distRoad),6.19,0.0026,5,237.31,0,0
p(start)psi(disturb100 P ele P height100 P distRoad),6.24,0.0025,7,233.13,0,0
p(start)psi(disturb100 P ndvi500 P und P distRoad),6.27,0.0025,7,233.16,0,0
p(start)psi(disturb100 P water P height100 P distRoad),6.33,0.0024,7,233.22,5.92,0
p()psi(forest500 P ndvi500 P water P ele P height100 P distRoad),6.35,0.0024,8,231.1,0,0
p(start)psi(disturb100 P forest500 P ndvi500 P distRoad),6.37,0.0023,7,233.26,0,0
