Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(cloudCover)psi(und P ele P distRoad),0,0.0473,6,194.43,4.01,1
p(cloudCover)psi(disturb500 P ele P distRoad),0.78,0.032,6,195.21,0,0
p(cloudCover)psi(disturb500 P und P water P ele P distRoad),0.79,0.0319,8,190.95,0,1
p(cloudCover)psi(und P water P ele P distRoad),1.4,0.0235,7,193.7,1.54,1
p(start)psi(und P ele P distRoad),1.47,0.0226,6,195.9,1.65,1
p()psi(und P ele P distRoad),1.59,0.0213,5,198.13,5.99,0
p(start)psi(disturb500 P und P water P ele P distRoad),1.69,0.0203,8,191.85,0,1
p(cloudCover)psi(disturb500 P water P ele P distRoad),2.39,0.0143,7,194.69,5.91,1
p()psi(und P water P ele P distRoad),2.48,0.0137,6,196.91,0,0
p(cloudCover)psi(ndvi500 P und P water P ele P distRoad),2.73,0.0121,8,192.89,1.78,1
p(cloudCover)psi(und P ele P height100 P distRoad),2.75,0.012,7,195.05,5.77,1
p(cloudCover)psi(water P ele P height100 P distRoad),3.09,0.0101,7,195.39,6,0
p(start)psi(disturb500 P forest1500 P water P height100 P distRoad),3.14,0.0098,8,193.3,0,1
p(cloudCover)psi(ndvi500 P und P ele P distRoad),3.2,0.0096,7,195.5,5.53,1
p()psi(disturb500 P ele P distRoad),3.25,0.0093,5,199.79,4.69,0
p()psi(disturb500 P forest1500 P und P water P ele P height100),3.31,0.009,8,193.47,2.08,0
p(start)psi(disturb500 P ele P distRoad),3.34,0.0089,6,197.76,2.36,1
p(cloudCover)psi(disturb500 P forest1500 P water P ele P height100 P distRoad),3.43,0.0085,9,191.42,4.81,1
p(cloudCover)psi(disturb500 P ndvi500 P ele P distRoad),3.54,0.0081,7,195.84,3.48,1
p()psi(disturb500 P water P ele P distRoad),3.7,0.0074,6,198.13,0.95,1
p(cloudCover)psi(disturb500 P und P ele P distRoad),3.73,0.0073,7,196.03,4.72,1
p(start)psi(und P water P ele P distRoad),3.81,0.0071,7,196.11,4.29,1
p(cloudCover)psi(water P height100 P distRoad),4.04,0.0063,6,198.47,1.82,1
p()psi(disturb500 P forest1500 P water P height100),4.06,0.0062,6,198.49,-1.15,1
p(cloudCover)psi(disturb500 P forest1500 P water P height100),4.17,0.0059,7,196.47,1.52,1
p(cloudCover)psi(und P water P ele P height100 P distRoad),4.22,0.0057,8,194.38,4.05,1
p(cloudCover)psi(disturb500 P forest1500 P water P distRoad),4.22,0.0057,7,196.52,0,1
p()psi(disturb500 P forest1500 P und P water P height100),4.24,0.0057,7,196.54,2.26,1
p(cloudCover)psi(ndvi500 P und P ele P height100 P distRoad),4.27,0.0056,8,194.43,0,1
p()psi(ndvi500 P und P ele P distRoad),4.3,0.0055,6,198.73,0,1
p()psi(und P ele P height100 P distRoad),4.3,0.0055,6,198.73,0,1
p()psi(forest1500 P water),4.33,0.0054,4,202.96,5.36,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele P height100),4.36,0.0054,10,190.17,0.98,1
p()psi(water P height100 P distRoad),4.41,0.0052,5,200.94,5.7,1
p()psi(disturb500 P forest1500 P ndvi500 P und P water P ele P height100),4.41,0.0052,9,192.41,5.59,1
p(cloudCover)psi(forest1500 P distRoad),4.42,0.0052,5,200.95,1.7,1
p(cloudCover)psi(forest1500 P water P distRoad),4.44,0.0051,6,198.87,1.2,1
p(cloudCover)psi(disturb500 P ndvi500 P water P height100 P distRoad),4.57,0.0048,8,194.73,4.46,1
p(cloudCover)psi(forest1500 P und P height100 P distRoad),4.58,0.0048,7,196.88,5.59,1
p()psi(forest1500 P water P distRoad),4.63,0.0047,5,201.17,5.27,1
p(start)psi(disturb500 P water P ele P distRoad),4.71,0.0045,7,197.01,0.43,1
