Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1 P start)psi(forest1000 P ndvi500 P und P water P distRoad),0,0.1081,10,202.03,5.98,1
p(observer1 P start)psi(forest1000 P ndvi500 P und P water),0.91,0.0687,9,205.12,5.25,1
p(observer1 P start)psi(ndvi500 P water P height100),1.67,0.0468,8,208.05,4.8,1
p(start)psi(ndvi500 P water P height100),1.99,0.0401,6,212.63,3.67,1
p(observer1 P start)psi(ndvi500 P und P water P ele P height100),2.23,0.0354,10,204.27,1.35,1
p(observer1 P start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele P distRoad),3.04,0.0237,12,200.64,0.27,1
p(observer1 P start)psi(ndvi500 P height100 P distRoad),3.55,0.0184,8,209.92,3.9,1
p(start)psi(ndvi500 P und P water P ele P height100),3.96,0.0149,8,210.33,1.48,0
p(start)psi(ndvi500 P height100 P distRoad),3.98,0.0148,6,214.62,5.49,1
p(observer1 P start)psi(forest1000 P ndvi500 P water),4.18,0.0134,8,210.56,0,1
p(observer1 P start)psi(ndvi500 P und P water P height100),4.32,0.0125,9,208.53,1.98,1
p(observer1 P start)psi(forest1000 P ndvi500 P water P height100),4.33,0.0124,9,208.54,0,1
p(start)psi(ndvi500 P und P water P height100),4.34,0.0123,7,212.86,4.51,1
p(observer1 P start)psi(disturb500 P forest1000 P und P distRoad),4.43,0.0118,9,208.64,3.42,1
p(observer1 P start)psi(disturb500 P forest1000 P distRoad),4.47,0.0116,8,210.85,3.01,1
p(start)psi(forest1000 P ndvi500 P water P height100),4.54,0.0112,7,213.06,4.88,1
p(start)psi(forest1000 P ndvi500 P water),4.64,0.0106,6,215.29,0,1
p(start)psi(forest1000 P ndvi500 P und P ele P height100),4.69,0.0103,8,211.07,0,1
p(observer1 P start)psi(disturb500 P ndvi500 P und P height100 P distRoad),4.71,0.0102,10,206.74,0.18,1
p(observer1 P start)psi(forest1000 P ndvi500 P und P water P ele P height100),4.75,0.0101,11,204.58,1.12,1
p(observer1 P start)psi(disturb500 P ndvi500 P und P water P height100 P distRoad),4.79,0.0099,11,204.62,3.31,1
p(observer1 P start)psi(forest1000 P ndvi500 P und),4.93,0.0092,8,211.3,5.58,1
p(observer1 P start)psi(forest1000 P ndvi500 P water P height100 P distRoad),5.11,0.0084,10,207.14,2.01,1
p(start)psi(forest1000 P ndvi500 P water P distRoad),5.16,0.0082,7,213.68,1.58,1
p(start)psi(forest1000 P ndvi500 P und P water),5.2,0.008,7,213.72,2,1
p(observer1 P start)psi(forest1000 P ndvi500 P water P distRoad),5.24,0.0079,9,209.46,0,1
p(observer1 P start)psi(disturb500 P forest1000 P height100),5.27,0.0077,8,211.65,1.24,1
