Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P ele P height100),0,0.1308,14,246.28,0.72,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P und P distRoad),1.42,0.0644,13,249.96,-3.28,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P height100),1.67,0.0567,14,247.95,0.26,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P und),1.94,0.0495,12,252.73,0.64,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ele P height100),1.95,0.0493,13,250.49,0.75,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P water),2.2,0.0436,13,250.74,0.23,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P water P ele P height100),2.29,0.0416,15,246.29,-0.12,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P water P ele),2.36,0.0402,14,248.64,0.21,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P water P ele P height100),2.5,0.0375,14,248.78,-0.56,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P und P water P height100),2.79,0.0325,14,249.06,-0.31,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P und P height100),3.14,0.0272,13,251.68,0.55,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P water P height100 P distRoad),3.51,0.0226,14,249.79,-0.25,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und),3.85,0.0191,13,252.39,-0.24,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P ele P height100),3.88,0.0188,15,247.87,-0.05,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P distRoad),4.02,0.0175,14,250.3,0.11,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P water P distRoad),4.18,0.0162,13,252.72,0.27,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P ndvi500 P water P ele),4.29,0.0153,13,252.83,0.37,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P height100 P distRoad),4.34,0.0149,15,248.34,-1.1,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P water P distRoad),4.46,0.0141,14,250.74,-0.44,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele P height100),4.59,0.0132,16,246.29,-1.21,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P und P water P ele P height100),4.76,0.0121,15,248.76,0.45,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P ele P height100 P distRoad),4.8,0.0119,13,253.34,3.43,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P water),4.81,0.0118,12,255.59,5.41,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P ele P height100),4.92,0.0112,12,255.7,1.66,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P ndvi500 P und P water P ele),5.08,0.0103,14,251.36,0.14,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P und P ele P height100),5.3,0.0092,14,251.58,0.39,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P ndvi500 P ele P height100),5.43,0.0087,13,253.97,0,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P ndvi500 P ele P height100 P distRoad),5.68,0.0077,14,251.96,4.15,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P und P height100 P distRoad),5.69,0.0076,14,251.97,-0.12,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ele),5.72,0.0075,12,256.5,5.79,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P ndvi500 P ele),5.79,0.0072,12,256.57,0,0
p(SURVEY P observer1 P cloudCover)psi(forest500 P ele P height100),5.92,0.0068,12,256.7,-0.28,1
p(SURVEY P observer1 P cloudCover)psi(forest500 P ele),6,0.0065,11,259.01,1.34,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P ndvi500 P ele P distRoad),6.29,0.0056,13,254.83,0,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),6.32,0.0055,15,250.32,-0.83,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P ele),6.47,0.0051,14,252.75,0.38,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500),6.48,0.0051,11,259.48,3.51,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P und P water),6.52,0.005,13,255.06,-0.36,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P height100),6.58,0.0049,12,257.36,5.67,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ele P height100 P distRoad),6.63,0.0048,14,252.91,0,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P height100 P distRoad),6.65,0.0047,16,248.34,0.67,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P water P ele),6.71,0.0046,13,255.25,5.85,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P water P ele P height100),6.87,0.0042,13,255.41,3.85,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P und P water P ele P height100 P distRoad),6.93,0.0041,16,248.63,0.43,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P ele P distRoad),7.03,0.0039,12,257.81,0,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P ele),7.12,0.0037,11,260.13,1.45,0
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P und P water P height100 P distRoad),7.14,0.0037,15,251.14,0.67,1
