Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1 P cloudCover)psi(forest1000 P ndvi100 P water P distRoad),0,0.09,9,70.79,0.42,1
p(observer1)psi(forest1000 P ndvi100 P water P distRoad),0.053,0.0876,8,73.01,1.73,1
p(SURVEY P observer1)psi(forest1000 P ndvi100 P water P distRoad),1.253,0.0481,12,65.44,2.9,1
p(observer1)psi(forest1000 P ndvi100 P water P ele P distRoad),1.307,0.0468,9,72.1,0.49,1
p(observer1 P cloudCover)psi(forest1000 P ndvi100 P water P ele),1.431,0.044,9,72.23,0.45,1
p(observer1 P cloudCover)psi(forest1000 P ndvi100 P water P ele P distRoad),1.836,0.0359,10,70.45,0.1,1
p(observer1 P cloudCover)psi(forest1000 P ndvi100 P distRoad),2.178,0.0303,8,75.13,-3.34,1
p(observer1)psi(forest1000 P ndvi100 P distRoad),2.302,0.0285,7,77.4,-0.15,1
p(observer1)psi(forest1000 P ndvi100),2.316,0.0283,6,79.54,0.78,1
p(observer1 P cloudCover)psi(forest1000 P ndvi100 P water P height100 P distRoad),2.722,0.0231,10,71.33,-1.68,0
p(observer1 P cloudCover)psi(forest1000 P ndvi100),2.835,0.0218,7,77.94,0.78,1
p(observer1 P cloudCover)psi(forest1000 P ndvi100 P ele P distRoad),2.973,0.0204,9,73.77,0.9,1
p(SURVEY P observer1)psi(disturb500 P forest1000 P ndvi100 P water P distRoad),3.117,0.0189,13,65.06,1.06,1
p(observer1)psi(forest1000 P ndvi100 P ele),3.188,0.0183,7,78.29,0.27,1
p(observer1)psi(forest1000 P ndvi100 P water P height100 P distRoad),3.543,0.0153,9,74.34,0.05,1
p(SURVEY P observer1)psi(forest1000 P ndvi100 P ele),3.547,0.0153,11,69.96,0,1
p(observer1 P cloudCover)psi(forest1000 P ndvi100 P ele),3.654,0.0145,8,76.61,0.54,1
p(observer1)psi(forest1000 P ndvi100 P ele P distRoad),3.739,0.0139,8,76.7,0.8,1
p(observer1 P cloudCover)psi(forest1000 P ndvi100 P water P ele P height100 P distRoad),3.945,0.0125,11,70.36,1.69,1
p(observer1)psi(forest1000 P ndvi100 P height100 P distRoad),4.082,0.0117,8,77.04,-2.02,1
p(observer1)psi(forest1000 P ndvi100 P water P height100),4.096,0.0116,8,77.05,-0.24,1
