Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start P cloudCover)psi(forest1500 P ndvi100 P ele P height500),0,0.0367,8,218.17,5.76,1
p(start P cloudCover)psi(forest1500 P ndvi100 P und P ele P height500),0.21,0.033,9,216.22,0,1
p(start P cloudCover)psi(forest1500 P ndvi100 P ele P height500 P distRoad),0.31,0.0314,9,216.31,0,1
p(cloudCover)psi(forest1500 P ndvi100 P water P ele P height500),0.53,0.0281,8,218.7,3.8,1
p(cloudCover)psi(forest1500 P ndvi100 P und P ele P height500),0.67,0.0262,8,218.84,0,1
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P ele P height500),1.07,0.0215,10,214.89,0,1
p(cloudCover)psi(forest1500 P ndvi100 P ele P height500),1.14,0.0208,7,221.45,5.67,1
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P ele P height500 P distRoad),1.16,0.0206,10,214.98,0,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P ele P height500 P distRoad),1.26,0.0195,9,217.27,0,0
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P ele P height500),1.27,0.0195,9,217.27,4.39,1
p(start P cloudCover)psi(forest1500 P ndvi100 P water P ele P height500),1.4,0.0182,9,217.41,5.45,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele P height500),1.6,0.0165,10,215.42,4.47,1
p(cloudCover)psi(forest1500 P ele),1.76,0.0152,5,226.31,5.62,1
p(cloudCover)psi(disturb100 P forest1500 P und P ele P height500),1.86,0.0145,8,220.02,0.85,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P water P height500),1.96,0.0138,8,220.13,5.82,1
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P ele P height500 P distRoad),2.01,0.0135,11,213.63,1.41,1
p(start P cloudCover)psi(forest1500 P ndvi100 P und P water P ele P height500),2.39,0.0111,10,216.22,1.93,1
p(cloudCover)psi(forest1500),2.45,0.0108,4,229.08,4.01,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P height500 P distRoad),2.55,0.0102,10,216.38,4.25,1
p(start P cloudCover)psi(forest1500 P ndvi100 P water P ele P height500 P distRoad),2.57,0.0102,10,216.39,1.84,1
p(start P cloudCover)psi(disturb100 P ndvi100 P ele P height500),2.74,0.0093,8,220.9,0,1
p(start P cloudCover)psi(ndvi100 P und P ele P height500),2.78,0.0092,8,220.94,4.82,1
p(cloudCover)psi(forest1500 P ndvi100 P und P ele P height500 P distRoad),2.84,0.0089,9,218.84,0,1
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele P height500),3.05,0.008,11,214.67,0.37,0
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P water P ele P height500 P distRoad),3.07,0.0079,10,216.89,4.5,1
p(start P cloudCover)psi(forest1500),3.14,0.0076,5,227.68,2.79,0
p(cloudCover)psi(forest1500 P distRoad),3.15,0.0076,5,227.69,3.92,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P height500),3.2,0.0074,8,221.36,1.57,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P height500),3.21,0.0074,7,223.52,5.17,0
p(cloudCover)psi(disturb100 P forest1500),3.26,0.0072,5,227.8,4.81,0
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P height500),3.31,0.007,8,221.48,5.33,0
p(cloudCover)psi(forest1500 P ndvi100 P und P water P ele P height500),3.39,0.0067,9,219.4,5.98,1
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P height500),3.41,0.0067,9,219.42,5.23,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P ele P height500 P distRoad),3.45,0.0065,10,217.27,5.13,1
p(start P cloudCover)psi(disturb100 P forest1500 P und P ele P height500),3.57,0.0062,9,219.58,1.48,1
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele P height500 P distRoad),3.65,0.0059,12,213.05,5.29,1
p(cloudCover)psi(disturb100 P forest1500 P water),3.72,0.0057,6,226.15,0.28,0
p(cloudCover)psi(disturb100 P forest1500 P und P height500),3.78,0.0056,7,224.09,1.68,1
p(cloudCover)psi(forest1500 P und),3.79,0.0055,5,228.33,-0.35,1
p(cloudCover)psi(ndvi100 P und P ele P height500),3.86,0.0053,7,224.17,5.61,1
p(cloudCover)psi(forest1500 P und P ele),3.87,0.0053,6,226.31,0,1
p(cloudCover)psi(forest1500 P ele P height500),3.87,0.0053,6,226.31,1.14,1
p(cloudCover)psi(forest1500 P ele P distRoad),3.87,0.0053,6,226.31,4.87,1
p(start P cloudCover)psi(forest1500 P ndvi100 P und P ele P height500 P distRoad),3.95,0.0051,10,217.77,1.65,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele P height500 P distRoad),3.95,0.0051,11,215.57,0,1
p(cloudCover)psi(forest1500 P und P water P height500 P distRoad),3.96,0.0051,8,222.12,1.9,1
p(cloudCover)psi(forest1500 P water P ele),4,0.005,6,226.43,0,1
p(start P cloudCover)psi(ndvi100 P ele P height500),4.06,0.0048,7,224.37,2.02,1
p(cloudCover)psi(forest1500 P ndvi100 P water P distRoad),4.09,0.0047,7,224.4,3.26,1
p(start P cloudCover)psi(disturb100 P forest1500 P und P height500),4.11,0.0047,8,222.28,2.38,1
p(start P cloudCover)psi(forest1500 P distRoad),4.15,0.0046,6,226.58,4.42,0
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P height500 P distRoad),4.15,0.0046,8,222.32,5.12,0
p(cloudCover)psi(disturb100 P forest1500 P water P distRoad),4.21,0.0045,7,224.52,0,1
p(start P cloudCover)psi(ndvi100 P und P ele P height500 P distRoad),4.22,0.0044,9,220.23,0,1
p(start P cloudCover)psi(disturb100 P ndvi100 P water P ele P height500),4.25,0.0044,9,220.25,1.8,1
p(start P cloudCover)psi(forest1500 P ele),4.27,0.0044,6,226.7,0,1
p(start P cloudCover)psi(disturb100 P forest1500 P water),4.31,0.0042,7,224.62,0.47,1
p(cloudCover)psi(forest1500 P und P distRoad),4.48,0.0039,6,226.91,1.79,1
p(cloudCover)psi(disturb100 P forest1500 P und P height500 P distRoad),4.51,0.0039,8,222.67,5.5,1
p(cloudCover)psi(forest1500 P ndvi100),4.54,0.0038,5,229.08,0,1
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P height500 P distRoad),4.55,0.0038,9,220.56,5.01,0
p(cloudCover)psi(forest1500 P ndvi100 P und P distRoad),4.56,0.0038,7,224.87,4.23,1
p(cloudCover)psi(forest1500 P und P height500 P distRoad),4.56,0.0038,7,224.87,4.18,1
p(cloudCover)psi(disturb100 P forest1500 P und),4.56,0.0038,6,226.99,0,1
p(cloudCover)psi(forest1500 P ndvi100 P ele),4.59,0.0037,6,227.02,5.22,1
p(cloudCover)psi(ndvi100 P water P ele P height500),4.59,0.0037,7,224.9,1.63,0
p(cloudCover)psi(disturb100 P forest1500 P distRoad),4.63,0.0036,6,227.06,0,1
p(start P cloudCover)psi(forest1500 P und),4.68,0.0035,6,227.12,5.22,1
p(start P cloudCover)psi(disturb100 P forest1500 P height500),4.71,0.0035,7,225.02,0,0
p(cloudCover)psi(forest1500 P und P water P ele),4.71,0.0035,7,225.02,4.25,0
p(start P cloudCover)psi(forest1500 P ndvi100 P und P water P ele P height500 P distRoad),4.75,0.0034,11,216.37,4.12,1
p(cloudCover)psi(forest1500 P water),4.75,0.0034,5,229.3,1.49,1
