Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1)psi(forest1000 P distRoad),0,0.0914,10,341.83,0,0
p(SURVEY P observer1)psi(forest1000 P water P distRoad),1.44,0.0445,11,341.07,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P distRoad),1.6,0.041,11,341.23,0,0
p(SURVEY P observer1)psi(forest1000 P und P distRoad),2.06,0.0326,11,341.69,0,0
p(SURVEY P observer1)psi(forest1000 P height100 P distRoad),2.12,0.0317,11,341.75,0,0
p(SURVEY P observer1)psi(forest1000 P ele P distRoad),2.13,0.0316,11,341.76,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P distRoad),2.17,0.031,11,341.8,0,0
p(SURVEY P observer1)psi(forest1000),3.13,0.0191,9,347.14,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P distRoad),3.2,0.0184,12,340.61,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P water P distRoad),3.21,0.0183,12,340.62,0,0
p(SURVEY P observer1)psi(forest1000 P water P height100 P distRoad),3.46,0.0162,12,340.87,0,0
p(SURVEY P observer1)psi(distRoad),3.5,0.0159,9,347.52,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P water P distRoad),3.55,0.0155,12,340.96,0,0
p(SURVEY P observer1)psi(forest1000 P und P water P distRoad),3.62,0.015,12,341.03,0,0
p(SURVEY P observer1)psi(forest1000 P water P ele P distRoad),3.62,0.0149,12,341.03,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P und P distRoad),3.71,0.0143,12,341.12,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P height100 P distRoad),3.78,0.0138,12,341.19,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ele P distRoad),3.82,0.0136,12,341.22,5.69,0
p(SURVEY P observer1)psi(forest1000 P ele),3.9,0.013,10,345.73,0,0
p(SURVEY P observer1)psi(forest1000 P und P height100 P distRoad),4.2,0.0112,12,341.61,6,0
p(SURVEY P observer1)psi(forest1000 P und P ele P distRoad),4.22,0.0111,12,341.63,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P distRoad),4.24,0.011,12,341.65,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P height100 P distRoad),4.26,0.0109,12,341.67,4.66,0
p(SURVEY P observer1)psi(water P distRoad),4.27,0.0108,10,346.1,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P ele P distRoad),4.28,0.0108,12,341.69,5.53,0
p(SURVEY P observer1)psi(forest1000 P ele P height100 P distRoad),4.28,0.0107,12,341.69,0,0
p(SURVEY P observer1)psi(forest1000 P water),4.52,0.0096,10,346.35,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P water P distRoad),4.65,0.0089,13,339.82,0,0
p(SURVEY P observer1)psi(forest1000 P height100),4.86,0.0081,10,346.69,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500),5.02,0.0074,10,346.86,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P height100 P distRoad),5.23,0.0067,13,340.39,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P distRoad),5.26,0.0066,13,340.42,0,0
p(SURVEY P observer1)psi(forest1000 P und),5.3,0.0064,10,347.14,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000),5.31,0.0064,10,347.14,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P water P height100 P distRoad),5.31,0.0064,13,340.48,0,0
p(SURVEY P observer1)psi(ndvi500 P distRoad),5.33,0.0064,10,347.17,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P ele P distRoad),5.42,0.0061,13,340.59,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P und P water P distRoad),5.44,0.006,13,340.61,0,0
p(SURVEY P observer1)psi(ele P distRoad),5.44,0.006,10,347.28,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P water P ele P distRoad),5.44,0.006,13,340.61,5.22,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P water P height100 P distRoad),5.47,0.0059,13,340.63,0,0
p(SURVEY P observer1)psi(forest1000 P water P ele),5.53,0.0058,11,345.16,0,0
p(SURVEY P observer1)psi(height100 P distRoad),5.55,0.0057,10,347.38,5.77,0
p(SURVEY P observer1)psi(forest1000 P und P water P height100 P distRoad),5.66,0.0054,13,340.83,0,0
p(SURVEY P observer1)psi(disturb100 P distRoad),5.66,0.0054,10,347.49,0,0
p(SURVEY P observer1)psi(und P distRoad),5.67,0.0054,10,347.5,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P ele),5.69,0.0053,11,345.32,3.47,0
p(SURVEY P observer1)psi(forest1000 P water P ele P height100 P distRoad),5.69,0.0053,13,340.85,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P water P distRoad),5.73,0.0052,13,340.89,5.85,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P water P ele P distRoad),5.73,0.0052,13,340.9,0,0
p(SURVEY P observer1)psi(forest1000 P und P water P ele P distRoad),5.82,0.005,13,340.99,0,0
p(SURVEY P observer1)psi(forest1000 P ele P height100),5.83,0.005,11,345.46,0,0
p(SURVEY P observer1)psi(ndvi500 P water P distRoad),5.89,0.0048,11,345.52,5.57,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P und P height100 P distRoad),5.91,0.0048,13,341.08,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P und P ele P distRoad),5.95,0.0047,13,341.12,5.63,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ele P height100 P distRoad),6.02,0.0045,13,341.18,0,0
p(SURVEY P observer1)psi(forest1000 P und P ele),6.03,0.0045,11,345.66,0,0
p(SURVEY P observer1)psi(forest1000 P water P height100),6.03,0.0045,11,345.66,0,0
p(SURVEY P observer1)psi(),6.03,0.0045,8,352.21,0,0
p(SURVEY P observer1)psi(disturb100 P forest1000 P ele),6.1,0.0043,11,345.73,5.78,0
p(SURVEY P observer1)psi(water P height100 P distRoad),6.19,0.0041,11,345.82,5.73,0
p(SURVEY P observer1)psi(water P ele P distRoad),6.21,0.0041,11,345.84,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P height100 P distRoad),6.34,0.0038,13,341.5,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P water),6.37,0.0038,11,346,0,0
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P ele P distRoad),6.38,0.0038,13,341.54,0,0
p(SURVEY P observer1)psi(forest1000 P und P ele P height100 P distRoad),6.39,0.0037,13,341.56,5.6,0
