Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele P height100),0,0.1416,9,157.46,1.53,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),0.16,0.1306,9,157.62,1.49,1
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele),0.42,0.1146,8,160.04,5.98,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele),0.53,0.1088,12,151.38,5.94,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele P height100),1,0.0857,10,156.28,0,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele P height100 P distRoad),1.83,0.0566,11,154.9,3.18,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele P height100),1.88,0.0554,13,150.48,0,1
p()psi(disturb500 P ndvi500 P und P water P ele P height100),3.35,0.0266,8,162.96,2.12,1
p()psi(disturb500 P forest500 P ndvi500 P und P ele),3.65,0.0228,7,165.42,0,0
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele P height100 P distRoad),3.75,0.0217,10,159.02,1.9,1
p()psi(disturb500 P forest500 P ndvi500 P und P ele P height100),4.28,0.0166,8,163.9,1.85,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P ele P height100),4.38,0.0158,9,161.84,5.73,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele P distRoad),4.5,0.0149,13,153.11,5.37,1
p()psi(disturb500 P ndvi500 P und P water P ele P height100 P distRoad),4.72,0.0134,9,162.17,4.99,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P ele),5.64,0.0084,11,158.72,0.38,1
p()psi(disturb500 P forest500 P ndvi500 P und P ele P height100 P distRoad),5.67,0.0083,9,163.12,3.24,0
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P ele),5.83,0.0077,8,165.45,0,0
p(cloudCover)psi(disturb500 P ndvi500 P und P water P ele P height100),5.88,0.0075,9,163.34,0,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele P height100 P distRoad),5.91,0.0074,14,152.25,4.88,1
p()psi(disturb500 P forest500 P ndvi500 P und P ele P distRoad),6.54,0.0054,8,166.16,2.53,1
p(SURVEY)psi(disturb500 P ndvi500 P und P water P ele P height100 P distRoad),6.77,0.0048,13,155.38,-0.6,1
p()psi(disturb500 P ndvi500 P und P ele),6.87,0.0046,6,170.76,0.03,1
p(cloudCover)psi(disturb500 P ndvi500 P und P ele),7.16,0.0039,7,168.93,4.95,0
p()psi(disturb500 P forest500 P ndvi500 P ele),7.27,0.0037,6,171.16,5.98,1
p()psi(disturb500 P und P water P ele P height100),7.65,0.0031,7,169.41,0.81,1
p(SURVEY)psi(disturb500 P ndvi500 P und P water P ele P height100),7.66,0.0031,12,158.51,4.93,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P ele P height100),7.76,0.0029,12,158.61,5.6,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P ele),7.85,0.0028,7,169.61,4.89,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P ele P height100),7.87,0.0028,8,167.49,0,1
p()psi(disturb500 P ndvi500 P und P ele P height100),7.93,0.0027,7,169.69,1.72,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P ele P height100 P distRoad),8.32,0.0022,10,163.6,5.71,1
p(cloudCover)psi(disturb500 P ndvi500 P und P water P ele),8.68,0.0018,8,168.3,1.55,1
p()psi(disturb500 P forest500 P ndvi500 P ele P height100),8.73,0.0018,7,170.5,5.64,1
p()psi(disturb500 P forest500 P ndvi500 P ele P distRoad),8.73,0.0018,7,170.5,0,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P water P ele),8.83,0.0017,8,168.45,3.45,1
p(SURVEY)psi(disturb500 P ndvi500 P und P ele),8.84,0.0017,10,164.12,0.34,0
p()psi(disturb500 P water P ele P height100 P distRoad),9,0.0016,7,170.76,1.42,0
p()psi(disturb500 P und P water P ele P height100 P distRoad),9.11,0.0015,8,168.72,4.6,1
p()psi(disturb500 P und P water P ele),9.21,0.0014,6,173.09,3.36,1
p(cloudCover)psi(disturb500 P ndvi500 P und P water P ele P height100 P distRoad),9.21,0.0014,10,164.49,3.3,1
p(cloudCover)psi(disturb500 P und P water P ele P height100),9.22,0.0014,8,168.84,0,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P ele P distRoad),9.25,0.0014,12,160.1,4.83,1
p(cloudCover)psi(disturb500 P ndvi500 P und P water P height100 P distRoad),9.31,0.0013,9,166.77,2.16,1
p()psi(disturb500 P forest500 P ndvi500 P water P ele),9.4,0.0013,7,171.16,5.71,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P water P ele P height100),9.45,0.0013,9,166.9,0,1
p()psi(disturb500 P ndvi500 P und P water P height100 P distRoad),9.45,0.0013,8,169.07,0.96,1
p()psi(disturb500 P water P ele P height100),9.46,0.0013,6,173.34,0,1
p()psi(disturb500 P forest500 P ndvi500 P water P ele P height100),9.52,0.0012,8,169.14,3.18,1
p()psi(disturb500 P ndvi500 P ele P height100),9.58,0.0012,6,173.47,1.8,0
p(cloudCover)psi(disturb500 P und P water P ele),9.68,0.0011,7,171.44,4.83,0
p(cloudCover)psi(disturb500 P ndvi500 P und P ele P height100 P distRoad),9.75,0.0011,9,167.21,3.68,0
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P ele),9.76,0.0011,10,165.04,4.44,1
p()psi(disturb500 P forest500 P und P water P ele P height100),9.8,0.0011,8,169.41,4.5,1
p(cloudCover)psi(disturb500 P ndvi500 P water P height100 P distRoad),9.83,0.001,8,169.45,0,0
p(cloudCover)psi(disturb500 P ndvi500 P ele P height100),9.84,0.001,7,171.6,0,1
p(cloudCover)psi(disturb500 P ndvi500 P und P ele P height100),9.86,0.001,8,169.48,1.4,1
