Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(cloudCover)psi(forest1500 P ndvi100 P water P ele P distRoad),0,0.578,8,159.7,1.72,1
p(cloudCover)psi(forest1500 P und P water P ele P distRoad),4.84,0.0514,8,164.54,0,0
p(cloudCover)psi(forest1500 P water P ele P distRoad),5,0.0473,7,166.85,0,0
p(cloudCover)psi(water P ele P distRoad),5.87,0.0307,6,169.84,0,0
p(cloudCover)psi(disturb500 P und P water P ele P distRoad),5.95,0.0295,8,165.65,1.69,1
p(cloudCover)psi(disturb500 P forest1500 P water P ele P distRoad),6.38,0.0238,8,166.08,4.08,1
p(cloudCover)psi(forest1500 P water P ele P height100 P distRoad),6.76,0.0196,8,166.46,0,0
p(cloudCover)psi(forest1500 P und P water P ele P height100 P distRoad),6.85,0.0188,9,164.38,0,0
p(cloudCover)psi(und P water P ele P distRoad),6.97,0.0177,7,168.81,0,0
p(cloudCover)psi(disturb500 P forest1500 P und P water P ele P distRoad),7,0.0174,9,164.54,0,0
p(cloudCover)psi(disturb500 P water P ele P distRoad),7.47,0.0138,7,169.31,4.24,1
p(cloudCover)psi(forest1500 P ele P distRoad),7.51,0.0135,6,171.48,0,0
p(cloudCover)psi(water P ele P height100 P distRoad),7.85,0.0114,7,169.69,0,0
p(cloudCover)psi(forest1500 P ele P height100 P distRoad),8.5,0.0082,7,170.34,0,0
p(cloudCover)psi(disturb500 P water P ele P height100 P distRoad),8.7,0.0075,8,168.4,0,1
p(cloudCover)psi(und P water P ele P height100 P distRoad),8.75,0.0073,8,168.44,0,0
p(cloudCover)psi(disturb500 P forest1500 P water P ele P height100 P distRoad),8.93,0.0067,9,166.46,0,0
p(cloudCover)psi(disturb500 P forest1500 P und P water P ele P height100 P distRoad),9.03,0.0063,10,164.38,0,0
p(cloudCover)psi(disturb500 P forest1500 P water P ele),9.41,0.0052,7,171.25,3.95,1
p(cloudCover)psi(disturb500 P ndvi100 P water P ele P distRoad),9.43,0.0052,8,169.12,5.53,1
p(cloudCover)psi(ele P distRoad),9.54,0.0049,5,175.61,5.88,0
p(cloudCover)psi(forest1500 P und P ele P distRoad),9.63,0.0047,7,171.47,5.88,0
p(cloudCover)psi(forest1500 P ele),10,0.0039,5,176.08,0,0
p(cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),10.22,0.0035,9,167.76,0,1
p(cloudCover)psi(disturb500 P ele P distRoad),10.23,0.0035,6,174.2,5.83,0
p(cloudCover)psi(forest1500 P und P ele P height100 P distRoad),10.6,0.0029,8,170.29,0,0
p(cloudCover)psi(disturb500 P forest1500 P ele P height100 P distRoad),10.63,0.0028,8,170.33,0,0
p(cloudCover)psi(disturb500 P und P water P ele P height100 P distRoad),10.91,0.0025,9,168.44,0,0
p(cloudCover)psi(forest1500 P water P ele),11.08,0.0023,6,175.04,0,0
p(cloudCover)psi(forest1500 P ele P height100),11.15,0.0022,6,175.11,0,0
p(cloudCover)psi(und P ele P distRoad),11.39,0.0019,6,175.35,0,0
