Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1 P cloudCover)psi(und P ele P height100),0,0.0302,8,327.44,-0.06,0
p(observer1 P start P cloudCover)psi(disturb500 P und P ele P height100),0.04,0.0296,10,323.13,-0.61,1
p(observer1 P start P cloudCover)psi(forest1000 P ndvi100 P und P ele P distRoad),0.66,0.0217,11,321.55,3.39,1
p(observer1 P cloudCover)psi(forest1000 P und P water P ele P distRoad),0.75,0.0207,10,323.84,0.21,1
p(observer1 P start P cloudCover)psi(und P ele P height100 P distRoad),0.96,0.0186,10,324.06,1.29,1
p(observer1 P start P cloudCover)psi(disturb500 P und P ele),0.96,0.0186,9,326.24,0.41,1
p(observer1 P cloudCover)psi(forest1000 P und P ele P distRoad),1.04,0.0179,9,326.32,-0.08,1
p(observer1 P start P cloudCover)psi(disturb500 P ndvi100 P und P ele P height100),1.09,0.0175,11,321.98,0.67,1
p(observer1 P cloudCover)psi(ele P distRoad),1.53,0.014,7,331.11,-0.29,1
p(observer1 P cloudCover)psi(forest1000 P und P ele P height100 P distRoad),1.67,0.0131,10,324.77,-0.28,1
p(observer1 P start P cloudCover)psi(disturb500 P ndvi100 P und P ele P height100 P distRoad),1.69,0.0129,12,320.36,0.72,1
p(observer1 P cloudCover)psi(und P ele P height100 P distRoad),1.97,0.0113,9,327.25,0.88,1
p(observer1 P start P cloudCover)psi(disturb500 P und P ele P distRoad),2.04,0.0109,10,325.14,0.43,1
p(observer1 P start P cloudCover)psi(forest1000 P und P ele P height100),2.08,0.0107,10,325.17,0.34,1
p(observer1 P start P cloudCover)psi(ndvi100 P und P ele P height100),2.08,0.0107,10,325.17,0.38,1
p(observer1 P start P cloudCover)psi(forest1000 P und P ele P distRoad),2.13,0.0104,10,325.22,-0.46,1
p(observer1 P cloudCover)psi(forest1000 P und P ele P height100),2.16,0.0102,9,327.44,1.3,1
p(observer1 P cloudCover)psi(und P water P ele P height100),2.16,0.0102,9,327.44,0.47,1
p(observer1 P cloudCover)psi(disturb500 P und P ele P height100),2.16,0.0102,9,327.44,0.31,1
p(observer1 P cloudCover)psi(ndvi100 P und P ele P height100),2.16,0.0102,9,327.44,0.46,1
p(observer1 P start P cloudCover)psi(forest1000 P und P water P ele P height100 P distRoad),2.25,0.0098,12,320.92,-0.18,1
p(observer1 P start P cloudCover)psi(disturb500 P ndvi100 P ele P height100 P distRoad),2.26,0.0097,11,323.15,-5.78,1
p(observer1 P start P cloudCover)psi(forest1000 P und P ele P height100 P distRoad),2.26,0.0097,11,323.15,0.58,1
p(observer1 P cloudCover)psi(forest1000 P ele P height100 P distRoad),2.27,0.0097,9,327.55,0.18,1
p(observer1 P cloudCover)psi(disturb500 P und P ele P height100 P distRoad),2.31,0.0095,10,325.4,0.53,1
p(observer1 P cloudCover)psi(ndvi100 P und P ele P height100 P distRoad),2.31,0.0095,10,325.4,0.54,0
p(observer1 P cloudCover)psi(und P water P ele P height100 P distRoad),2.31,0.0095,10,325.4,0.8,1
p(observer1 P cloudCover)psi(disturb500 P ndvi100 P und P ele P height100 P distRoad),2.34,0.0094,11,323.23,0.87,1
p(observer1 P start P cloudCover)psi(forest1000 P und P water P ele P distRoad),2.37,0.0092,11,323.26,1.13,1
p(observer1 P cloudCover)psi(disturb500 P forest1000 P und P ele P height100 P distRoad),2.4,0.0091,11,323.29,0.73,1
p(observer1 P cloudCover)psi(forest1000 P ele P distRoad),2.44,0.0089,8,329.88,-0.37,1
p(observer1 P start P cloudCover)psi(forest1000 P und P water P ele),2.48,0.0088,10,325.57,-0.22,1
p(observer1 P cloudCover)psi(disturb500 P und P water P ele P height100),2.53,0.0085,10,325.62,-1.94,1
p(observer1 P cloudCover)psi(disturb500 P ndvi100 P und P ele P height100),2.56,0.0084,10,325.65,-0.07,1
