Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start)psi(forest1000 P ndvi500 P water P ele P height100),0,0.0543,8,194.8,1.79,1
p()psi(forest1000 P ndvi500 P water P ele P height100),0.19,0.0494,7,197.14,5.25,1
p()psi(forest1000 P ndvi500 P und P water P ele P height100),0.76,0.0372,8,195.56,1,1
p(observer1)psi(forest1000 P ndvi500 P water P ele P height100),1.27,0.0287,9,193.92,0,1
p(observer1)psi(forest1000 P ndvi500 P water P ele P height100 P distRoad),1.4,0.027,10,191.85,1.48,1
p()psi(disturb100 P forest1000 P ndvi500 P water P ele P height100 P distRoad),1.61,0.0243,9,194.25,1.37,1
p()psi(forest1000 P ndvi500 P water P ele P height100 P distRoad),1.62,0.0241,8,196.43,0,1
p(start)psi(disturb100 P forest1000 P ndvi500 P water P ele),1.74,0.0228,8,196.54,1.32,1
p(start)psi(disturb100 P forest1000 P ndvi500 P water P ele P height100 P distRoad),2,0.02,10,192.45,0,1
p(observer1)psi(forest1000 P ndvi500 P water P ele),2.23,0.0178,8,197.04,2.98,1
p(cloudCover)psi(forest1000 P ndvi500 P water P ele P height100),2.23,0.0178,8,197.04,1.47,1
p(start)psi(forest1000 P ndvi500 P water P ele P height100 P distRoad),2.25,0.0176,9,194.89,5.84,0
p(start)psi(forest1000 P ndvi500 P und P water P ele P height100),2.33,0.0169,9,194.97,1.13,1
p()psi(disturb100 P forest1000 P ndvi500 P water P ele P height100),2.33,0.0169,8,197.14,5.63,1
p(SURVEY)psi(forest1000 P ndvi500 P water P ele P height100),2.37,0.0166,11,190.63,1.62,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P water P ele P height100 P distRoad),2.38,0.0165,13,186.18,1.8,1
p(start)psi(disturb100 P forest1000 P water P ele),2.72,0.0139,7,199.67,1.52,1
p(start)psi(disturb100 P forest1000 P ndvi500 P water P ele P height100),2.75,0.0137,9,195.4,0,1
p(SURVEY)psi(forest1000 P ndvi500 P und P water P ele),2.87,0.013,11,191.12,0,1
p(observer1)psi(disturb100 P forest1000 P ndvi500 P water P ele P height100),2.89,0.0128,10,193.35,-0.69,1
p(cloudCover)psi(forest1000 P ndvi500 P water P ele P height100 P distRoad),3.05,0.0118,9,195.69,4.57,1
p()psi(forest1000 P water P ele P distRoad),3.05,0.0118,6,202.12,2.02,1
p(SURVEY)psi(forest1000 P ndvi500 P und P water P ele P height100),3.15,0.0112,12,189.19,3.1,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P water P ele P height100),3.19,0.011,13,186.99,0,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P water P ele P height100 P distRoad),3.22,0.0108,14,184.76,2.93,1
p()psi(forest1000 P ndvi500 P und P water P ele),3.48,0.0095,7,200.42,2.38,1
p(start)psi(forest1000 P water P ele P distRoad),3.52,0.0094,7,200.46,1.54,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P water P ele P distRoad),3.66,0.0087,12,189.69,0.95,1
p(start)psi(forest1000 P ndvi500 P und P water P ele),3.85,0.0079,8,198.66,0,1
p(SURVEY)psi(forest1000 P ndvi500 P water P ele P height100 P distRoad),3.88,0.0078,12,189.91,5.62,1
p(SURVEY P observer1)psi(forest1000 P ndvi500 P und P water P ele P height100),3.94,0.0076,14,185.47,2.18,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),4.2,0.0066,9,196.85,1.96,1
p(start)psi(forest1000 P ndvi500 P water P ele P distRoad),4.27,0.0064,8,199.08,0,0
p(start)psi(forest1000 P water P ele P height100 P distRoad),4.36,0.0061,8,199.17,1.71,1
