Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P distRoad),0,0.0459,14,336.18,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P distRoad),0.55,0.0349,13,338.99,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P height100 P distRoad),0.9,0.0292,14,337.08,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P water P distRoad),1.39,0.0229,15,335.29,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500),1.72,0.0194,13,340.16,0,0
p(SURVEY P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P distRoad),1.78,0.0188,12,342.47,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P height100 P distRoad),1.89,0.0178,13,340.34,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500 P distRoad),2.1,0.016,11,345.01,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P ele P distRoad),2.27,0.0147,15,336.18,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P height100 P distRoad),2.29,0.0146,15,336.19,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P water P distRoad),2.36,0.0141,14,338.54,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P ele P distRoad),2.6,0.0125,14,338.79,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P water P height100 P distRoad),2.62,0.0124,15,336.52,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P und P distRoad),2.68,0.012,14,338.86,0,0
p(SURVEY P start P cloudCover)psi(disturb500 P forest500 P ndvi500),2.68,0.012,11,345.58,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500 P height100 P distRoad),2.68,0.012,12,343.37,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P und P height100 P distRoad),3.01,0.0102,15,336.91,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P ele P height100 P distRoad),3.04,0.01,15,336.94,0,0
p(SURVEY P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P water P distRoad),3.35,0.0086,13,341.79,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P ele),3.37,0.0085,14,339.55,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P water P height100 P distRoad),3.45,0.0082,14,339.63,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P height100),3.48,0.008,12,344.17,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P distRoad),3.53,0.0079,16,335.12,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500),3.65,0.0074,12,344.33,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P water),3.66,0.0073,14,339.85,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P water P ele P distRoad),3.69,0.0073,16,335.28,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P distRoad),3.7,0.0072,12,344.39,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P height100),3.74,0.0071,13,342.18,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P height100),3.75,0.007,14,339.94,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P und P height100 P distRoad),3.83,0.0068,14,340.01,5.37,0
p(SURVEY P start P cloudCover)psi(forest500 P height100 P distRoad),3.85,0.0067,11,346.76,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P und),3.89,0.0066,14,340.07,0,0
p(SURVEY P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P distRoad),3.92,0.0065,13,342.36,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ele P height100 P distRoad),3.92,0.0065,14,340.1,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500 P water P distRoad),4,0.0062,12,344.69,0,0
p(SURVEY P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P ele P distRoad),4.02,0.0061,13,342.47,5.89,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P ele),4.11,0.0059,13,342.56,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P height100 P distRoad),4.12,0.0058,16,335.72,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P water P height100 P distRoad),4.13,0.0058,16,335.72,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500 P und P distRoad),4.16,0.0057,12,344.84,0,0
p(SURVEY P observer1 P start P cloudCover)psi(ndvi500 P ele),4.17,0.0057,12,344.85,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500 P ele P distRoad),4.18,0.0057,12,344.87,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P height100 P distRoad),4.22,0.0056,14,340.41,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ele P height100),4.25,0.0055,13,342.7,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P ele P height100 P distRoad),4.26,0.0055,16,335.86,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P distRoad),4.29,0.0054,13,342.73,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500),4.31,0.0053,10,349.43,0,0
p(SURVEY P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P height100 P distRoad),4.33,0.0053,13,342.77,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P ndvi500 P ele),4.41,0.0051,13,342.85,0,0
p(SURVEY P observer1 P start P cloudCover)psi(ndvi500 P ele P distRoad),4.42,0.005,13,342.87,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P und P water P distRoad),4.43,0.005,15,338.33,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P water P ele P distRoad),4.45,0.005,15,338.35,0,0
p(SURVEY P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P ele),4.45,0.005,12,345.14,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500 P water P height100 P distRoad),4.51,0.0048,13,342.95,0,0
p(SURVEY P start P cloudCover)psi(forest500 P height100),4.59,0.0046,10,349.7,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P ele P height100),4.6,0.0046,14,340.78,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500 P height100),4.61,0.0046,11,347.52,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P und P water P height100 P distRoad),4.66,0.0045,16,336.26,0,0
p(SURVEY P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P water),4.67,0.0044,12,345.36,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500 P und P height100 P distRoad),4.71,0.0044,13,343.16,0,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P und P ele P distRoad),4.71,0.0043,15,338.62,0,0
p(SURVEY P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P height100),4.74,0.0043,12,345.43,0,0
p(SURVEY P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P und),4.76,0.0042,12,345.45,5.72,0
p(SURVEY P observer1 P start P cloudCover)psi(forest500 P ndvi500 P water P ele P height100 P distRoad),4.78,0.0042,16,336.38,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500 P ele P height100 P distRoad),4.82,0.0041,13,343.26,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500),4.94,0.0039,12,345.62,0,0
p(SURVEY P observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P water P height100),5.02,0.0037,15,338.92,0,0
p(SURVEY P start P cloudCover)psi(forest500 P ndvi500 P ele),5.04,0.0037,11,347.95,0,0
