Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start)psi(disturb100 P forest1500 P ndvi500 P water),0,0.2829,7,451.84,3.5,1
p(start)psi(disturb100 P forest1500 P ndvi500 P water P ele),1.92,0.1082,8,451.62,3.47,1
p(start)psi(disturb100 P forest1500 P ndvi500 P water P height100),2.14,0.0969,8,451.84,4.03,1
p(start)psi(disturb100 P forest1500 P ndvi500 P water P distRoad),2.67,0.0745,8,452.37,5.05,1
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water),3.09,0.0602,8,452.8,0,1
p(start)psi(forest1500 P ndvi500 P water P height100 P distRoad),3.21,0.0567,8,452.91,1.44,1
p(start)psi(forest1500 P ndvi500 P water P ele P height100),3.74,0.0435,8,453.45,4.33,1
p(start)psi(disturb100 P forest1500 P ndvi500 P water P ele P distRoad),3.85,0.0413,9,451.39,0,1
p(start)psi(disturb100 P forest1500 P ndvi500 P water P height100 P distRoad),4.83,0.0253,9,452.37,4.05,1
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P height100),5.62,0.017,9,453.16,4.37,1
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),5.64,0.0169,9,453.17,3.63,1
p(start)psi(disturb100 P forest1500 P ndvi500 P water P ele P height100),5.64,0.0169,9,453.17,0,1
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P distRoad),5.73,0.0161,9,453.27,1.21,1
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele P distRoad),6.03,0.0139,10,451.39,0,1
p(start)psi(disturb100 P forest1500 P ndvi500 P water P ele P height100 P distRoad),6.03,0.0139,10,451.39,3.55,1
p(start)psi(ndvi500 P water),6.87,0.0091,5,462.95,0,0
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P height100 P distRoad),7.01,0.0085,10,452.37,3.53,1
p(start)psi(forest1500 P ndvi500 P water),7.3,0.0074,6,461.27,0,0
p(start)psi(disturb100 P ndvi500 P water),7.48,0.0067,6,461.45,0,0
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele P height100),7.82,0.0057,10,453.17,4.49,1
p(start)psi(forest1500 P ndvi500 P water P distRoad),8.1,0.0049,7,459.94,0,0
p(start)psi(ndvi500 P water P distRoad),8.68,0.0037,6,462.65,0,0
p(start)psi(ndvi500 P water P height100),8.73,0.0036,6,462.7,0,0
p(start)psi(ndvi500 P water P ele),8.91,0.0033,6,462.88,0,0
p(start)psi(forest1500 P ndvi500 P und P water),8.92,0.0033,7,460.77,0,0
p(start)psi(ndvi500 P und P water),8.98,0.0032,6,462.94,5.71,0
p(start)psi(disturb100 P ndvi500 P water P distRoad),9.07,0.003,7,460.91,0,0
p(start)psi(forest1500 P ndvi500 P water P height100),9.18,0.0029,7,461.02,0,0
p(start)psi(forest1500 P ndvi500 P water P ele),9.33,0.0027,7,461.18,0,0
p(start)psi(disturb100 P ndvi500 P water P ele),9.56,0.0024,7,461.4,0,0
p(start)psi(disturb100 P ndvi500 P water P height100),9.6,0.0023,7,461.44,5.77,0
p(start)psi(disturb100 P ndvi500 P und P water),9.6,0.0023,7,461.45,4.58,0
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele P height100 P distRoad),10.02,0.0019,11,453.17,0,1
p(start)psi(ndvi500 P water P height100 P distRoad),10.24,0.0017,7,462.08,0,0
p(start)psi(forest1500 P ndvi500 P water P ele P distRoad),10.24,0.0017,8,459.94,5.16,0
p(start)psi(forest1500 P ndvi500 P und P water P distRoad),10.76,0.0013,8,460.46,3.85,0
p(start)psi(forest1500 P ndvi500 P und P water P height100),10.77,0.0013,8,460.47,0,0
p(start)psi(ndvi500 P water P ele P height100),10.79,0.0013,7,462.64,0,0
p(start)psi(ndvi500 P water P ele P distRoad),10.8,0.0013,7,462.64,5.31,0
p(start)psi(ndvi500 P und P water P distRoad),10.8,0.0013,7,462.64,5.2,0
p(start)psi(ndvi500 P und P water P height100),10.85,0.0012,7,462.7,0,0
p(start)psi(disturb100 P ndvi500 P water P height100 P distRoad),11.01,0.0011,8,460.71,0,0
p(start)psi(ndvi500 P und P water P ele),11.03,0.0011,7,462.88,5.68,0
p(start)psi(forest1500 P ndvi500 P und P water P ele),11.06,0.0011,8,460.76,5.97,0
p(start)psi(disturb100 P ndvi500 P water P ele P distRoad),11.2,0.001,8,460.9,0,0
p(start)psi(disturb100 P ndvi500 P und P water P distRoad),11.2,0.001,8,460.9,0,0
