Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p()psi(disturb100 P forest1500 P ele),0,0.04,5,126,4.75,0
p(start)psi(disturb100 P forest1500 P ele),0.28,0.0348,6,124.17,2.08,0
p()psi(disturb100 P water P ele),0.53,0.0307,5,126.53,4.31,1
p()psi(disturb100 P forest1500 P water P ele),0.6,0.0296,6,124.5,0,1
p(start)psi(disturb100 P forest1500 P water P ele),0.77,0.0272,7,122.54,0,1
p(cloudCover)psi(disturb100 P forest1500 P ele),1.08,0.0233,6,124.97,3.21,1
p(cloudCover)psi(disturb100 P water P ele),1.17,0.0223,6,125.06,3.71,1
p()psi(disturb100 P ndvi100 P water P ele),1.29,0.0209,6,125.19,4.35,1
p(start)psi(disturb100 P water P ele),1.48,0.0191,6,125.37,3.17,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P ele),1.49,0.019,8,121.12,0,1
p(start)psi(disturb100 P forest1500 P water P ele P distRoad),1.67,0.0173,8,121.3,0,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P water P ele),1.76,0.0166,9,119.22,5.72,1
p()psi(disturb100 P forest1500 P ndvi100 P und P water P ele),1.96,0.015,8,121.58,3.4,1
p()psi(disturb100 P forest1500 P und P ele),1.97,0.0149,6,125.87,0.98,1
p(observer1)psi(disturb100 P forest1500 P water P ele),2.04,0.0144,8,121.67,4.37,1
p(observer1)psi(disturb100 P forest1500 P water P ele P height100),2.08,0.0142,9,119.54,3.31,1
p(observer1)psi(disturb100 P forest1500 P water P ele P distRoad),2.08,0.0142,9,119.54,2.13,1
p()psi(disturb100 P forest1500 P ndvi100 P water P ele P distRoad),2.11,0.0139,8,121.73,0,1
p()psi(disturb100 P forest1500 P und P water P ele),2.17,0.0135,7,123.93,5.99,1
p()psi(disturb100 P forest1500 P water P ele P height100),2.17,0.0135,7,123.93,5.44,1
p()psi(disturb100 P ele),2.18,0.0135,4,130.27,3.58,0
p(cloudCover)psi(disturb100 P forest1500 P und P ele),2.44,0.0118,7,124.21,3.25,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P water P ele P height100),2.54,0.0112,10,117.82,0,1
p()psi(disturb100 P und P water P ele),2.64,0.0107,6,126.53,5.64,1
p(observer1)psi(disturb100 P forest1500 P und P water P ele),2.66,0.0106,9,120.13,5.29,1
p(observer1)psi(disturb100 P forest1500 P ele),2.75,0.0101,7,124.52,0,1
p()psi(disturb100 P forest1500 P ndvi100 P ele),2.77,0.01,6,126.66,0,1
p(start)psi(disturb100 P forest1500 P und P ele),2.79,0.0099,7,124.56,4.91,1
p()psi(disturb100 P forest1500 P ndvi100 P water P ele P height100),2.86,0.0096,8,122.48,2.75,1
p()psi(disturb100 P forest1500 P und P water P ele P height100),2.86,0.0096,8,122.48,5.5,1
p()psi(disturb100 P forest1500 P und P water P ele P distRoad),2.86,0.0096,8,122.48,5.39,1
p()psi(disturb100 P forest1500 P ndvi100 P und P ele),2.87,0.0095,7,124.64,4.77,1
p()psi(disturb100 P forest1500 P ndvi100 P water P ele),2.87,0.0095,7,124.64,2.56,1
p(start)psi(disturb100 P forest1500 P water P ele P height100),2.91,0.0093,8,122.54,2.06,1
p(observer1)psi(disturb100 P water P ele),2.97,0.009,7,124.74,1.8,1
p(observer1)psi(disturb100 P und P water P ele),3.1,0.0085,8,122.73,1.63,1
p(observer1 P cloudCover)psi(disturb100 P water P ele),3.14,0.0083,8,122.76,1.29,1
p()psi(disturb100 P forest1500 P ele P height100),3.16,0.0082,6,127.05,4.94,0
p(cloudCover)psi(disturb100 P forest1500 P water P ele),3.2,0.0081,7,124.97,1.56,0
p(cloudCover)psi(disturb100 P und P water P ele),3.27,0.0078,7,125.03,1.12,1
p(cloudCover)psi(disturb100 P water P ele P distRoad),3.29,0.0077,7,125.06,5.09,1
p(start)psi(disturb100 P forest1500 P und P water P ele P height100),3.31,0.0076,9,120.77,0.62,0
p(observer1 P cloudCover)psi(disturb100 P und P water P ele),3.34,0.0075,9,120.8,1.01,1
p()psi(disturb100 P water P ele P height100),3.42,0.0072,6,127.31,0,1
p()psi(disturb100 P ndvi100 P water P ele P height100),3.42,0.0072,7,125.19,5.35,1
p()psi(disturb100 P und P water P ele P height100),3.42,0.0072,7,125.19,3.31,1
p()psi(disturb100 P und P water P ele P distRoad),3.42,0.0072,7,125.19,5.31,1
p(start)psi(disturb100 P forest1500 P ele P height100),3.43,0.0072,7,125.2,0,0
p(start)psi(disturb100 P forest1500 P und P water P ele),3.59,0.0067,8,123.21,0,0
