Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1)psi(forest500 P ele P distRoad),0,0.2092,11,292.7,0.37,1
p(SURVEY P observer1)psi(forest500 P ndvi500 P water P distRoad),2.22,0.0689,12,292.7,4.94,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P ele),3.14,0.0435,12,293.62,0.5,1
p(SURVEY P observer1)psi(forest500 P ndvi500 P und P water P ele),3.23,0.0416,13,291.47,1.02,1
p(SURVEY P observer1)psi(forest500 P ndvi500 P und P water P distRoad),3.24,0.0414,13,291.48,0,1
p(SURVEY P observer1)psi(disturb100 P forest500 P water P ele P distRoad),3.25,0.0411,13,291.49,4.32,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P water P ele),3.28,0.0406,13,291.52,0.31,1
p(SURVEY P observer1)psi(forest500 P ele P height100 P distRoad),3.36,0.039,12,293.84,1.72,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P distRoad),4.28,0.0245,12,294.77,0.88,1
p(SURVEY P observer1)psi(forest500 P ndvi500 P distRoad),4.35,0.0238,11,297.05,1.39,1
p(SURVEY P observer1)psi(forest500 P und P ele P height100 P distRoad),4.39,0.0233,13,292.63,1.44,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P water P distRoad),4.53,0.0218,13,292.77,1.43,1
p(SURVEY P observer1)psi(forest500 P ndvi500 P water P ele P height100 P distRoad),4.64,0.0206,14,290.61,0,1
p(SURVEY P observer1)psi(forest500 P und P ele P distRoad),5,0.0172,12,295.48,1.85,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P und P water P ele P height100),5.35,0.0144,15,289.05,4.33,1
p(SURVEY P observer1)psi(disturb100 P forest500 P und P water P ele P distRoad),5.42,0.0139,14,291.4,0,1
p(SURVEY P observer1)psi(disturb100 P forest500 P water P ele P height100 P distRoad),5.42,0.0139,14,291.4,2.33,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P und P water P distRoad),5.5,0.0134,14,291.48,4.27,1
p(SURVEY P observer1)psi(disturb100 P forest500 P und P ele P distRoad),5.53,0.0132,13,293.77,0,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P water P ele P height100),5.54,0.0131,14,291.52,4.31,1
p(SURVEY P observer1)psi(forest500 P ndvi500 P water P ele P height100),5.64,0.0125,13,293.88,5.24,1
p(SURVEY P observer1)psi(disturb100 P forest500),6.29,0.009,10,301.2,5.46,1
p(SURVEY P observer1)psi(forest500 P ndvi500 P water P ele P distRoad),6.41,0.0085,13,294.65,4.8,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P water P ele P height100 P distRoad),6.46,0.0083,15,290.15,3.1,1
