Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p()psi(disturb100 P ndvi500 P und P ele),0,0.0463,6,307.2,0,1
p(start)psi(disturb100 P ndvi500 P und P ele P distRoad),0.36,0.0388,8,303.29,5.36,1
p(observer1)psi(disturb100 P ndvi500 P und P ele),0.42,0.0375,8,303.35,5.76,1
p(SURVEY)psi(disturb100 P ndvi500 P und P ele),0.59,0.0345,10,299.17,1.06,1
p(observer1 P cloudCover)psi(disturb100 P ndvi500 P und P ele),1.54,0.0215,9,302.3,4.89,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P ele),1.58,0.021,11,297.96,0.29,1
p(observer1)psi(disturb100 P ndvi500 P und P height100 P distRoad),1.61,0.0207,9,302.38,2,1
p(start)psi(disturb100 P ndvi500 P und P ele P height100 P distRoad),1.88,0.0181,9,302.64,0,1
p(SURVEY)psi(disturb100 P ndvi500 P und P height100 P distRoad),2,0.017,11,298.38,1.51,1
p()psi(disturb100 P ndvi500 P und P water P height100 P distRoad),2.11,0.0161,8,305.04,1.45,1
p(start)psi(disturb100 P ndvi500 P und P ele),2.12,0.0161,7,307.19,3.27,1
p()psi(disturb100 P forest1000 P ndvi500 P und P ele),2.12,0.016,7,307.2,1.46,1
p()psi(disturb100 P ndvi500 P und P water P ele),2.12,0.016,7,307.2,4.81,1
p()psi(disturb100 P ndvi500 P und P height100 P distRoad),2.36,0.0142,7,307.43,4.87,1
p(observer1)psi(disturb100 P ndvi500 P und P water P ele P distRoad),2.44,0.0137,10,301.03,2.22,1
p(observer1)psi(disturb100 P ndvi500 P und P water P height100 P distRoad),2.49,0.0134,10,301.07,0.5,1
p(observer1)psi(disturb100 P ndvi500 P und P water P ele),2.59,0.0127,9,303.35,0,1
p(observer1)psi(disturb100 P ndvi500 P und P ele P height100),2.59,0.0127,9,303.35,3.35,1
p(start)psi(disturb100 P ndvi500 P und P water P height100 P distRoad),2.75,0.0117,9,303.51,0,1
p(observer1 P cloudCover)psi(disturb100 P ndvi500 P und P height100 P distRoad),2.79,0.0115,10,301.38,1.73,1
p(SURVEY)psi(disturb100 P ndvi500 P und P water P ele),2.79,0.0115,11,299.17,3.78,1
p(SURVEY)psi(disturb100 P ndvi500 P und P ele P height100),2.79,0.0115,11,299.17,0,1
p(cloudCover)psi(disturb100 P ndvi500 P und P ele P height100),2.92,0.0108,8,305.85,1.96,1
p(start)psi(disturb100 P ndvi500 P und P water P ele),2.97,0.0105,8,305.9,2.18,1
p()psi(disturb100 P forest1000 P ndvi500 P und P ele P height100 P distRoad),3.06,0.01,9,303.83,1.45,0
p()psi(disturb100 P forest1000 P ndvi500 P und P water P ele),3.08,0.0099,8,306.01,2.38,1
p(cloudCover)psi(disturb100 P ndvi500 P und P ele),3.1,0.0098,7,308.17,3.06,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100 P distRoad),3.12,0.0097,10,301.7,0,1
p(cloudCover)psi(disturb100 P ndvi500 P und P height100 P distRoad),3.17,0.0095,8,306.1,1.92,1
p(observer1)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100 P distRoad),3.18,0.0094,11,299.57,0,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P ele),3.29,0.0089,8,306.22,1.78,1
p()psi(disturb100 P ndvi500 P und P ele P height100),3.3,0.0089,7,308.37,0,1
p(start)psi(disturb100 P ndvi500 P und P height100 P distRoad),3.33,0.0088,8,306.26,0.93,1
p(observer1 P cloudCover)psi(disturb100 P ndvi500 P und P water P ele),3.72,0.0072,10,302.3,0,1
p(observer1 P cloudCover)psi(disturb100 P ndvi500 P und P ele P height100),3.72,0.0072,10,302.3,5.54,1
p(observer1 P cloudCover)psi(disturb100 P ndvi500 P und P water P height100 P distRoad),3.75,0.0071,11,300.13,0.54,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100 P distRoad),3.92,0.0065,10,302.5,1.7,1
p(observer1)psi(disturb100 P forest1000 P ndvi500 P und P height100 P distRoad),4.06,0.0061,10,302.64,4.19,1
p(cloudCover)psi(disturb100 P ndvi500 P und P water P ele),4.08,0.006,8,307.01,5.24,0
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P height100 P distRoad),4.15,0.0058,9,304.91,3.41,1
p(cloudCover)psi(disturb100 P ndvi500 P und P water P height100 P distRoad),4.16,0.0058,9,304.93,2.55,1
p()psi(disturb100 P ndvi500 P und P water P ele P height100),4.27,0.0055,8,307.2,-0.28,1
p()psi(disturb100 P ndvi500 P und P water P ele P distRoad),4.27,0.0055,8,307.2,0,1
p()psi(disturb100 P ndvi500 P und P ele P distRoad),4.32,0.0053,7,309.39,2.41,1
p(observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100 P distRoad),4.45,0.005,12,298.61,1.69,1
p()psi(disturb100 P forest1000 P ndvi500 P und P height100 P distRoad),4.51,0.0049,8,307.43,4.56,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P height100 P distRoad),4.59,0.0047,11,300.97,1.53,1
p(start)psi(disturb100 P ndvi500 P und P ele P height100),4.7,0.0044,8,307.63,0,1
p()psi(disturb100 P forest1000 P ndvi500 P ele P height100 P distRoad),4.74,0.0043,8,307.67,4,1
p(observer1)psi(disturb100 P ndvi500 P und P ele P distRoad),4.75,0.0043,9,305.52,4.97,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P ele P distRoad),4.76,0.0043,9,305.52,2.31,1
p(observer1)psi(disturb100 P ndvi500 P und P water P ele P height100),4.77,0.0043,10,303.35,5.33,1
p(observer1)psi(disturb100 P forest1000 P ndvi500 P ele P height100 P distRoad),4.81,0.0042,10,303.39,5.29,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100 P distRoad),4.82,0.0042,13,296.74,4.79,1
p()psi(disturb100 P und P ele P distRoad),4.85,0.0041,6,312.05,5.04,1
p(observer1)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100),4.9,0.004,10,303.49,1.84,1
p(SURVEY)psi(disturb100 P ndvi500 P und P ele P distRoad),4.95,0.0039,11,301.34,2.19,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P height100 P distRoad),4.96,0.0039,9,305.73,3.01,1
p(observer1)psi(disturb100 P und P water P ele P height100),4.99,0.0038,9,305.76,2.8,1
p(SURVEY)psi(disturb100 P ndvi500 P und P water P ele P height100),5.01,0.0038,12,299.17,2.09,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P ele P distRoad),5.01,0.0038,12,299.17,1.93,1
p(SURVEY)psi(disturb100 P ndvi500 P und P water P ele P distRoad),5.01,0.0038,12,299.17,2.85,1
p(observer1)psi(disturb100 P ndvi500 P ele P height100 P distRoad),5.03,0.0037,9,305.8,2.09,1
p(start)psi(disturb100 P ndvi500 P und P water P ele P distRoad),5.05,0.0037,9,305.81,3.3,1
p(observer1)psi(disturb100 P forest1000 P ndvi500 P und P ele),5.12,0.0036,9,305.88,0,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),5.15,0.0035,9,305.92,0.8,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P ele P height100 P distRoad),5.21,0.0034,12,299.37,2.18,1
p(SURVEY)psi(disturb100 P und P ele P height100),5.29,0.0033,10,303.87,5.13,1
p(observer1)psi(disturb100 P ndvi500 P und P ele P height100 P distRoad),5.35,0.0032,10,303.94,0.71,1
p(observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele P distRoad),5.38,0.0032,12,299.54,0,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P ele P distRoad),5.38,0.0031,9,306.15,0,1
p(observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P height100 P distRoad),5.4,0.0031,11,301.78,5.8,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P height100 P distRoad),5.43,0.0031,12,299.59,0,1
p()psi(disturb100 P ndvi500 P und P ele P height100 P distRoad),5.45,0.003,8,308.37,5.77,0
p(start)psi(disturb100 P ndvi500 P und P water P ele P height100),5.46,0.003,9,306.22,4.77,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P ele P height100),5.51,0.003,9,306.27,3.48,1
p(start)psi(disturb100 P und P ele P height100),5.53,0.0029,7,310.6,3.38,1
p(observer1)psi(disturb100 P forest1000 P ndvi500 P height100 P distRoad),5.59,0.0028,9,306.36,4.63,1
p()psi(disturb100 P und P ele),5.62,0.0028,5,314.93,-0.77,1
p(observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P ele P distRoad),5.66,0.0027,11,302.04,5.17,1
p(observer1 P cloudCover)psi(disturb100 P ndvi500 P und P water P ele P distRoad),5.68,0.0027,11,302.06,3.8,1
p(SURVEY)psi(disturb100 P ndvi500 P und P ele P height100 P distRoad),5.7,0.0027,12,299.86,-0.89,1
p()psi(disturb100 P ndvi500 P ele P height100 P distRoad),5.84,0.0025,7,310.91,0,1
p()psi(disturb100 P ndvi500 P ele),5.85,0.0025,5,315.15,0,1
p(observer1 P cloudCover)psi(disturb100 P ndvi500 P und P ele P distRoad),5.89,0.0024,10,304.47,2.72,1
p()psi(disturb100 P forest1000 P ndvi500 P water P height100 P distRoad),5.91,0.0024,8,308.84,0,1
p(observer1 P cloudCover)psi(disturb100 P ndvi500 P und P water P ele P height100),5.92,0.0024,11,302.3,-0.13,1
p()psi(disturb100 P ndvi500 P und P distRoad),5.96,0.0024,6,313.15,1.77,0
p(cloudCover)psi(disturb100 P ndvi500 P und P water P ele P distRoad),6.02,0.0023,9,306.78,2.29,1
p(observer1)psi(disturb100 P und P ele),6.04,0.0023,7,311.11,-0.05,1
p()psi(disturb100 P forest1000 P ndvi500 P height100 P distRoad),6.07,0.0022,7,311.14,3.28,1
p(observer1 P cloudCover)psi(forest1000 P und P ele),6.14,0.0021,8,309.07,0.54,1
