Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start P cloudCover)psi(und P water P ele P distRoad),0,0.3712,8,0,1.66,1
p(start P cloudCover)psi(ele P distRoad),4.26,0.0441,6,8.53,5.99,1
p(start P cloudCover)psi(distRoad),4.6,0.0372,5,10.98,4.45,1
p(start P cloudCover)psi(),4.94,0.0314,4,13.4,1.54,1
p(start P cloudCover)psi(ndvi500 P ele P distRoad),4.97,0.031,7,7.11,0,1
p(start P cloudCover)psi(und P ele P distRoad),6.45,0.0147,7,8.6,1.44,0
p(cloudCover)psi(),6.5,0.0144,3,17.03,5.09,0
p(start P cloudCover)psi(forest1500 P ndvi500 P und P water P ele P height100 P distRoad),6.55,0.0141,11,0,4.28,1
p(start P cloudCover)psi(ndvi500 P water P ele P distRoad),6.75,0.0127,8,6.75,0,0
p(cloudCover)psi(forest1500),6.99,0.0113,4,15.45,0.2,1
p(start P cloudCover)psi(water P ele P distRoad),7.26,0.0098,7,9.41,0,1
p(start P cloudCover)psi(water),7.37,0.0093,5,13.75,3.37,1
p(cloudCover)psi(forest1500 P distRoad),7.56,0.0085,5,13.94,5.48,1
p(start P cloudCover)psi(water P distRoad),7.6,0.0083,6,11.87,0,1
p(cloudCover)psi(ele),8.17,0.0063,4,16.63,4.69,0
p(cloudCover)psi(distRoad),8.24,0.006,4,16.7,5.88,1
p(start P cloudCover)psi(forest1500 P und),8.29,0.0059,6,12.56,1.13,1
p(start P cloudCover)psi(und),8.32,0.0058,5,14.7,-2.84,1
p(cloudCover)psi(height100),8.33,0.0058,4,16.79,3.85,0
p(cloudCover)psi(ndvi500),8.5,0.0053,4,16.96,4.87,0
p(cloudCover)psi(water),8.55,0.0052,4,17.01,5.84,0
p(cloudCover)psi(und),8.56,0.0051,4,17.03,0,1
p(start P cloudCover)psi(und P distRoad),8.65,0.0049,6,12.92,1.53,0
p(cloudCover)psi(forest1500 P ndvi500),8.84,0.0045,5,15.21,0,1
p(cloudCover)psi(forest1500 P ele),8.84,0.0045,5,15.21,4.36,0
p(cloudCover)psi(height100 P distRoad),8.84,0.0045,5,15.21,3.83,1
p(cloudCover)psi(forest1500 P ele P distRoad),8.94,0.0042,6,13.21,0,1
p(start P cloudCover)psi(ndvi500 P distRoad),8.94,0.0042,6,13.21,1.75,0
p(cloudCover)psi(forest1500 P height100 P distRoad),9.14,0.0039,6,13.4,3.82,1
p(cloudCover)psi(ele P height100),9.29,0.0036,5,15.66,5.94,1
p(cloudCover)psi(forest1500 P water P ele),9.32,0.0035,6,13.59,1.22,1
p(start P cloudCover)psi(ndvi500 P ele),9.4,0.0034,6,13.67,3.81,1
p(start P cloudCover)psi(ndvi500),9.49,0.0032,5,15.87,1.91,0
p(cloudCover)psi(disturb500 P forest1500 P distRoad),9.5,0.0032,6,13.77,4.37,1
p(cloudCover)psi(forest1500 P und P distRoad),9.5,0.0032,6,13.77,4.87,1
p(cloudCover)psi(forest1500 P water P distRoad),9.5,0.0032,6,13.77,3.44,1
p(start P cloudCover)psi(forest1500 P distRoad),9.55,0.0031,6,13.82,0,1
p(cloudCover)psi(disturb500),9.58,0.0031,4,18.05,0,0
p(cloudCover)psi(forest1500 P water),9.61,0.003,5,15.98,2.07,1
p(cloudCover)psi(forest1500 P height100),9.61,0.003,5,15.98,0,0
p(start P cloudCover)psi(und P water),9.64,0.003,6,13.91,0.23,0
p(cloudCover)psi(forest1500 P und),9.69,0.0029,5,16.07,-0.96,1
p(cloudCover)psi(ndvi500 P height100),9.8,0.0028,5,16.18,0,1
p(cloudCover)psi(forest1500 P ndvi500 P distRoad),9.83,0.0027,6,14.1,5.3,1
p(cloudCover)psi(ele P height100 P distRoad),9.83,0.0027,6,14.1,5.36,1
p(start P cloudCover)psi(und P ele),9.96,0.0025,6,14.23,-0.86,1
p(start P cloudCover)psi(ndvi500 P und P ele),9.98,0.0025,7,12.12,1.78,0
p(cloudCover)psi(ele P distRoad),10.06,0.0024,5,16.43,5.74,0
p(start P cloudCover)psi(forest1500 P water P distRoad),10.13,0.0023,7,12.27,1.56,1
p(cloudCover)psi(water P ele P height100),10.14,0.0023,6,14.41,5.02,1
p(cloudCover)psi(water P ele),10.16,0.0023,5,16.54,3.78,0
p(cloudCover)psi(water P height100),10.17,0.0023,5,16.54,5.52,1
p(cloudCover)psi(ndvi500 P ele),10.22,0.0022,5,16.59,5.68,1
p(cloudCover)psi(ndvi500 P distRoad),10.24,0.0022,5,16.62,0,1
p(start P cloudCover)psi(forest1500),10.24,0.0022,5,16.62,0,1
p(start P cloudCover)psi(disturb500 P forest1500 P height100),10.25,0.0022,7,12.39,1.5,1
p(cloudCover)psi(und P ele),10.25,0.0022,5,16.63,1.04,0
p(cloudCover)psi(und P height100),10.25,0.0022,5,16.63,3.85,1
p(start P cloudCover)psi(ele),10.25,0.0022,5,16.63,5.17,1
p(start P cloudCover)psi(forest1500 P ele P distRoad),10.26,0.0022,7,12.4,3.83,1
p(cloudCover)psi(forest1500 P ele P height100),10.29,0.0022,6,14.56,1.93,1
