Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1)psi(disturb100 P ndvi100 P ele),0,0.0434,7,95.96,-0.11,1
p(SURVEY P observer1)psi(disturb100 P ndvi100 P ele),0.43,0.035,11,87.7,-1.09,0
p(observer1)psi(forest1500 P ndvi100 P ele),0.52,0.0335,7,96.48,0.9,1
p(SURVEY P observer1)psi(forest1500 P ndvi100 P ele),0.83,0.0286,11,88.1,-0.04,1
p(observer1)psi(water P ele),1.18,0.0241,6,99.26,0.56,1
p(SURVEY P observer1)psi(water P ele),1.19,0.024,10,90.66,0.04,1
p(observer1)psi(disturb100 P forest1500 P ndvi100 P ele P distRoad),2.14,0.0149,9,93.79,0.5,1
p(SURVEY P observer1)psi(ndvi100),2.21,0.0144,9,93.87,-2.62,1
p(observer1)psi(ndvi100),2.34,0.0135,5,102.53,-0.88,1
p(observer1)psi(ndvi100 P distRoad),2.39,0.0132,6,100.47,0.17,1
p(SURVEY P observer1)psi(forest1500 P ndvi100 P und P water P height100),2.52,0.0123,13,85.33,0.19,1
p(observer1)psi(disturb100 P forest1500 P ndvi100 P ele),2.66,0.0115,8,96.48,-0.51,1
p(observer1)psi(forest1500 P ndvi100 P ele P height100),2.66,0.0115,8,96.48,-0.06,1
p(observer1)psi(forest1500 P ndvi100 P und P ele),2.68,0.0114,8,96.49,0.19,1
p(SURVEY P observer1)psi(disturb100 P forest1500 P ndvi100 P ele P distRoad),2.72,0.0112,13,85.52,0.5,1
p(SURVEY P observer1)psi(disturb100 P forest1500 P ndvi100 P ele P height100),2.72,0.0111,13,85.53,-0.74,1
p(observer1)psi(ndvi100 P height100 P distRoad),2.76,0.0109,7,98.72,-0.1,1
p(observer1)psi(forest1500 P ndvi100 P und P water P height100),2.82,0.0106,9,94.47,2.8,1
p(observer1)psi(forest1500 P ndvi100 P ele P distRoad),2.83,0.0105,8,96.65,0.2,1
p(SURVEY P observer1)psi(ndvi100 P distRoad),2.83,0.0105,10,92.3,-0.34,1
p(SURVEY P observer1)psi(forest1500 P ndvi100 P und P ele),2.94,0.01,12,87.99,-0.42,1
p(observer1)psi(forest1500 P water P ele),2.96,0.0099,7,98.92,0.1,1
p(SURVEY P observer1)psi(disturb100 P forest1500 P ndvi100 P ele),3.06,0.0094,12,88.1,2.56,1
p(SURVEY P observer1)psi(forest1500 P ndvi100 P ele P height100),3.06,0.0094,12,88.1,0.02,1
p(SURVEY P observer1)psi(forest1500 P ndvi100 P water P ele),3.25,0.0086,12,88.3,-1.47,1
