Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und),0,0.1245,13,687.88,-0.2,1
p(SURVEY P observer1 P start)psi(forest1500 P ndvi500 P und P water P height100),1.08,0.0726,14,686.7,0,1
p(SURVEY P observer1 P start)psi(ndvi500 P und P water P ele P height100),1.08,0.0726,14,686.7,4.95,1
p(SURVEY P observer1 P start)psi(ndvi500 P und P water P height100 P distRoad),1.08,0.0726,14,686.7,-0.35,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P ele),2.26,0.0402,14,687.88,-0.46,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P height100),2.26,0.0402,14,687.88,0.33,0
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P distRoad),2.26,0.0402,14,687.88,0.67,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),3.36,0.0232,15,686.7,-0.93,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P water P height100),3.36,0.0232,15,686.7,0,1
p(SURVEY P observer1 P start)psi(disturb500 P ndvi500 P und P water P ele P height100),3.36,0.0232,15,686.7,5.8,0
p(SURVEY P observer1 P start)psi(forest1500 P ndvi500 P und P water P ele P height100),3.36,0.0232,15,686.7,5.26,1
p(SURVEY P observer1 P start)psi(disturb500 P ndvi500 P und P water P height100 P distRoad),3.36,0.0232,15,686.7,3.82,1
p(SURVEY P observer1 P start)psi(ndvi500 P und P water P ele P height100 P distRoad),3.36,0.0232,15,686.7,5.22,1
p(SURVEY P observer1 P start)psi(forest1500 P water P height100),3.6,0.0206,12,693.73,0,0
p(SURVEY P observer1 P start)psi(ndvi500 P water P height100),3.6,0.0206,12,693.73,0.26,1
p(SURVEY P observer1 P start)psi(water P ele P height100),3.6,0.0206,12,693.73,4.82,1
p(SURVEY P observer1 P start)psi(water P height100 P distRoad),3.6,0.0206,12,693.73,2.54,1
p(SURVEY P observer1 P start)psi(water P height100),4.12,0.0159,11,696.46,1.24,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P ele P height100),4.54,0.0128,15,687.88,2.49,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P ele P distRoad),4.54,0.0128,15,687.88,1.81,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P height100 P distRoad),4.54,0.0128,15,687.88,2.61,1
p(SURVEY P observer1 P start)psi(ndvi500 P und P water),4.68,0.012,12,694.8,0,0
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500),4.81,0.0112,12,694.94,0.8,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele P height100),5.67,0.0073,16,686.7,2.36,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele P distRoad),5.67,0.0073,16,686.7,0.56,1
