Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1)psi(und),0,0.0871,9,721.08,4.43,0
p(SURVEY P observer1)psi(disturb100 P und),2.18,0.0293,10,721.08,5.31,1
p(SURVEY P observer1)psi(forest100 P und),2.18,0.0293,10,721.08,4.1,1
p(SURVEY P observer1)psi(ndvi100 P und),2.18,0.0293,10,721.08,5.66,1
p(SURVEY P observer1)psi(forest100 P water),2.18,0.0293,10,721.08,1.21,1
p(SURVEY P observer1)psi(und P water),2.18,0.0293,10,721.08,0.88,1
p(SURVEY P observer1)psi(und P ele),2.18,0.0293,10,721.08,4.51,1
p(SURVEY P observer1)psi(water P ele),2.18,0.0293,10,721.08,5.77,1
p(SURVEY P observer1)psi(und P height100),2.18,0.0293,10,721.08,3.99,1
p(SURVEY P observer1)psi(und P distRoad),2.18,0.0293,10,721.08,4.68,1
p(SURVEY P observer1)psi(disturb100 P forest100 P und),4.38,0.0097,11,721.08,5.47,1
p(SURVEY P observer1)psi(disturb100 P ndvi100 P und),4.38,0.0097,11,721.08,2.41,1
p(SURVEY P observer1)psi(forest100 P ndvi100 P und),4.38,0.0097,11,721.08,3.93,1
p(SURVEY P observer1)psi(disturb100 P forest100 P water),4.38,0.0097,11,721.08,1.83,1
p(SURVEY P observer1)psi(forest100 P ndvi100 P water),4.38,0.0097,11,721.08,0.55,1
p(SURVEY P observer1)psi(disturb100 P und P water),4.38,0.0097,11,721.08,4.91,1
p(SURVEY P observer1)psi(forest100 P und P water),4.38,0.0097,11,721.08,4.45,0
p(SURVEY P observer1)psi(ndvi100 P und P water),4.38,0.0097,11,721.08,3.91,1
p(SURVEY P observer1)psi(forest100 P ndvi100 P ele),4.38,0.0097,11,721.08,-0.41,1
p(SURVEY P observer1)psi(disturb100 P und P ele),4.38,0.0097,11,721.08,0,1
p(SURVEY P observer1)psi(forest100 P und P ele),4.38,0.0097,11,721.08,5.63,1
p(SURVEY P observer1)psi(ndvi100 P und P ele),4.38,0.0097,11,721.08,5.74,1
p(SURVEY P observer1)psi(disturb100 P water P ele),4.38,0.0097,11,721.08,1.79,1
p(SURVEY P observer1)psi(forest100 P water P ele),4.38,0.0097,11,721.08,0,1
p(SURVEY P observer1)psi(ndvi100 P water P ele),4.38,0.0097,11,721.08,1.78,1
p(SURVEY P observer1)psi(und P water P ele),4.38,0.0097,11,721.08,4.24,1
p(SURVEY P observer1)psi(disturb100 P und P height100),4.38,0.0097,11,721.08,4.25,1
p(SURVEY P observer1)psi(forest100 P und P height100),4.38,0.0097,11,721.08,5.23,1
p(SURVEY P observer1)psi(ndvi100 P und P height100),4.38,0.0097,11,721.08,5.32,1
p(SURVEY P observer1)psi(forest100 P water P height100),4.38,0.0097,11,721.08,1.55,1
p(SURVEY P observer1)psi(und P water P height100),4.38,0.0097,11,721.08,3.99,1
p(SURVEY P observer1)psi(forest100 P ele P height100),4.38,0.0097,11,721.08,-0.84,1
p(SURVEY P observer1)psi(und P ele P height100),4.38,0.0097,11,721.08,0,1
p(SURVEY P observer1)psi(water P ele P height100),4.38,0.0097,11,721.08,2.19,1
p(SURVEY P observer1)psi(disturb100 P und P distRoad),4.38,0.0097,11,721.08,5.02,1
