Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(cloudCover)psi(forest500 P ndvi500 P und),0,0.0336,6,615.96,0,0
p(cloudCover)psi(forest500 P ndvi500),0.043,0.0329,5,618.11,0,0
p(cloudCover)psi(forest500 P ndvi500 P water),0.429,0.0271,6,616.39,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500),0.818,0.0223,6,616.78,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P water),0.91,0.0213,7,614.75,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und),0.992,0.0205,7,614.83,0,0
p(cloudCover)psi(forest500 P water),1.057,0.0198,5,619.13,0,0
p(cloudCover)psi(forest500 P ndvi500 P und P water),1.066,0.0197,7,614.9,0,0
p(cloudCover)psi(forest500 P ndvi500 P und P height500),1.639,0.0148,7,615.48,0,0
p(cloudCover)psi(forest500 P und),1.642,0.0148,5,619.71,0,0
p(cloudCover)psi(forest500),1.655,0.0147,4,621.81,0,0
p(cloudCover)psi(forest500 P ndvi500 P height500),1.678,0.0145,6,617.64,0,0
p(cloudCover)psi(forest500 P ndvi500 P und P ele),1.702,0.0143,7,615.54,0,0
p(cloudCover)psi(forest500 P und P water),1.704,0.0143,6,617.67,0,0
p(cloudCover)psi(forest500 P water P height500),1.765,0.0139,6,617.73,5.95,0
p(cloudCover)psi(forest500 P height500),1.954,0.0126,5,620.02,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water),1.954,0.0126,8,613.65,0,0
p(cloudCover)psi(forest500 P ndvi500 P distRoad),1.955,0.0126,6,617.92,0,0
p(cloudCover)psi(forest500 P und P height500),1.958,0.0126,6,617.92,0,0
p(cloudCover)psi(forest500 P ndvi500 P und P distRoad),1.959,0.0126,7,615.8,0,0
p(cloudCover)psi(forest500 P ndvi500 P water P height500),2.03,0.0122,7,615.87,0,0
p(cloudCover)psi(forest500 P ndvi500 P ele),2.072,0.0119,6,618.03,0,0
p(cloudCover)psi(forest500 P ndvi500 P water P ele),2.342,0.0104,7,616.18,0,0
p(cloudCover)psi(forest500 P ndvi500 P water P distRoad),2.372,0.0103,7,616.21,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P distRoad),2.376,0.0102,7,616.21,0,0
p(cloudCover)psi(forest500 P und P water P height500),2.382,0.0102,7,616.22,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P water P distRoad),2.404,0.0101,8,614.1,0,0
p(cloudCover)psi(forest500 P water P ele),2.459,0.0098,6,618.42,5.95,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und P distRoad),2.524,0.0095,8,614.22,0,0
p(cloudCover)psi(forest500 P water P distRoad),2.614,0.0091,6,618.58,0,0
p(cloudCover)psi(forest500 P ndvi500 P und P water P ele),2.63,0.009,8,614.32,0,0
p(cloudCover)psi(forest500 P ndvi500 P und P water P height500),2.641,0.009,8,614.33,0,0
p(cloudCover)psi(forest500 P und P distRoad),2.69,0.0087,6,618.65,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P height500),2.721,0.0086,7,616.56,0,0
p(cloudCover)psi(forest500 P und P water P ele),2.816,0.0082,7,616.65,0,0
p(cloudCover)psi(forest500 P und P ele),2.833,0.0081,6,618.79,0,0
p(cloudCover)psi(forest500 P distRoad),2.834,0.0081,5,620.9,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P water P height500),2.84,0.0081,8,614.53,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und P height500),2.921,0.0078,8,614.61,0,0
p(cloudCover)psi(forest500 P und P ele P distRoad),2.941,0.0077,7,616.78,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P ele),2.943,0.0077,7,616.78,0,0
p(cloudCover)psi(forest500 P und P height500 P distRoad),2.95,0.0077,7,616.79,0,0
p(cloudCover)psi(forest500 P und P water P distRoad),2.961,0.0076,7,616.8,0,0
p(cloudCover)psi(forest500 P ndvi500 P und P water P distRoad),2.974,0.0076,8,614.67,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und P ele),2.976,0.0076,8,614.67,0,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P water P ele),2.998,0.0075,8,614.69,0,0
p(cloudCover)psi(forest500 P height500 P distRoad),3.02,0.0074,6,618.98,0,0
p(cloudCover)psi(forest500 P und P water P ele P distRoad),3.081,0.0072,8,614.77,0,0
