Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P und P ele),0,0.2662,13,720.27,3.45,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P ele),0.52,0.2057,14,718.52,-0.42,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),2.26,0.0859,14,720.27,0.7,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P und P ele P height100),2.26,0.0859,14,720.27,0.11,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P und P ele P distRoad),2.26,0.0859,14,720.27,3.69,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P ele P height100),2.8,0.0656,15,718.53,-0.15,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P und P water P ele P height100),4.89,0.0231,15,720.61,1.09,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele P height100),5.1,0.0208,16,718.52,0.08,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P ele P height100 P distRoad),5.13,0.0205,16,718.55,1.42,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P water P ele),6.43,0.0107,13,726.7,0.69,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),6.92,0.0084,15,722.64,0.37,0
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P water P ele),7.11,0.0076,14,725.12,0.07,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele P height100 P distRoad),7.43,0.0065,17,718.52,0.86,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P ele P height100 P distRoad),8.23,0.0043,14,726.24,1.29,1
p(SURVEY P observer1 P start)psi(forest1500 P ndvi100 P water),8.47,0.0038,12,730.99,-0.02,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P water P ele P height100),8.57,0.0037,14,726.58,1.25,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P water P ele P distRoad),8.9,0.0031,14,726.91,1.19,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele P distRoad),9.05,0.0029,16,722.47,0.29,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P und P water P ele P distRoad),9.38,0.0024,15,725.11,1.31,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P ele P height100 P distRoad),9.39,0.0024,15,725.12,0.39,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P water P ele P height100),9.43,0.0024,15,725.16,1.19,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P water P ele P distRoad),9.44,0.0024,15,725.17,1.4,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P ele P distRoad),9.86,0.0019,15,725.59,-3.69,1
p(SURVEY P observer1 P start)psi(forest1500 P ndvi100 P water P height100),10.25,0.0016,13,730.52,4.8,1
p(SURVEY P observer1 P start)psi(forest1500 P ndvi100 P water P ele P height100 P distRoad),10.26,0.0016,15,725.99,1.37,1
p(SURVEY P observer1 P start)psi(forest1500 P water),10.33,0.0015,11,735.07,4.29,0
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P und P ele P height100 P distRoad),10.44,0.0014,15,726.16,1.35,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P water P ele P height100 P distRoad),10.44,0.0014,15,726.17,0.59,1
p(SURVEY P observer1)psi(forest1500 P ndvi100 P ele P height100 P distRoad),10.46,0.0014,13,730.74,0.55,1
p(SURVEY P observer1)psi(forest1500 P water),10.5,0.0014,10,737.43,2.37,0
p(SURVEY P observer1)psi(water P ele),10.66,0.0013,10,737.59,5.04,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und),10.68,0.0013,13,730.96,4.93,1
p(SURVEY P observer1 P start)psi(forest1500 P ndvi100 P water P distRoad),10.71,0.0013,13,730.98,3.56,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P water),10.72,0.0013,13,730.99,0.38,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P distRoad),10.72,0.0013,13,730.99,-0.57,1
p(SURVEY P observer1 P start)psi(forest1500 P water P height100),10.92,0.0011,12,733.43,3.78,0
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P ele),10.94,0.0011,12,733.45,3.46,1
p(SURVEY P observer1 P start)psi(water P ele),11.02,0.0011,11,735.75,5.48,1
p(SURVEY P observer1)psi(forest1500 P water P height100),11.08,0.001,11,735.82,5.13,0
p(SURVEY P observer1 P start)psi(forest1500 P ndvi100 P ele P height100 P distRoad),11.14,0.001,14,729.15,-0.14,1
p(SURVEY P observer1)psi(forest1500),11.23,0.001,9,740.35,0,0
p(SURVEY P observer1)psi(forest1500 P ele P distRoad),11.36,9e-04,11,736.1,5.55,0
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P ele),11.39,9e-04,13,731.66,5.22,1
p(SURVEY P observer1 P start)psi(forest1500 P und P water),11.42,9e-04,12,733.93,2.58,0
p(SURVEY P observer1 P start)psi(forest1500 P und P water P height100),11.53,8e-04,13,731.8,2.3,0
p(SURVEY P observer1)psi(forest1500 P und P water),11.6,8e-04,11,736.33,2.66,0
p(SURVEY P observer1 P start)psi(forest1500 P water P height100 P distRoad),11.63,8e-04,13,731.9,4.87,0
p(SURVEY P observer1 P start)psi(forest1500),11.67,8e-04,10,738.61,0,0
p(SURVEY P observer1)psi(forest1500 P und P water P height100),11.71,8e-04,12,734.22,3.94,0
p(SURVEY P observer1)psi(forest1500 P water P height100 P distRoad),11.71,8e-04,12,734.22,0,0
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P water P ele P height100 P distRoad),11.72,8e-04,16,725.14,1.6,1
p(SURVEY P observer1)psi(forest1500 P und P water P height100 P distRoad),11.77,7e-04,13,732.04,0,0
p(SURVEY P observer1 P start)psi(forest1500 P ele P distRoad),11.93,7e-04,12,734.44,5.25,0
p(SURVEY P observer1 P start)psi(forest1500 P und P water P height100 P distRoad),11.94,7e-04,14,729.95,3.79,0
