Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p()psi(ndvi500 P water P ele P height500),0,0.1427,6,280.62,4.46,1
p()psi(ndvi500 P ele P height500),1.76,0.0592,5,284.49,0.19,1
p(cloudCover)psi(ndvi500 P water P ele P height500),1.89,0.0554,7,280.39,0,1
p()psi(ndvi500 P und P water P ele P height500),2.12,0.0493,7,280.62,4.23,1
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele P height500),2.82,0.0349,9,277,0,1
p()psi(ndvi500 P ele P height500 P distRoad),2.87,0.034,6,283.48,0,1
p(start)psi(disturb500 P forest500 P ndvi500 P und P water P ele P height500),3.72,0.0222,10,275.72,5.47,1
p(cloudCover)psi(ndvi500 P ele P height500),3.72,0.0222,6,284.34,3.78,1
p(start)psi(ndvi500 P ele P height500),3.77,0.0217,6,284.39,1.88,1
p(start)psi(disturb500 P forest500 P ndvi500 P water P ele P height500),3.86,0.0207,9,278.05,5.39,1
p()psi(disturb500 P ndvi500 P ele P height500),3.87,0.0206,6,284.49,4.3,1
p()psi(ndvi500 P und P ele P height500),3.87,0.0206,6,284.49,1.62,1
p()psi(forest500 P ndvi500 P height500 P distRoad),3.87,0.0206,6,284.49,4.94,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P water P ele P height500),4.01,0.0192,9,278.2,5.9,1
p(cloudCover)psi(ndvi500 P und P water P ele P height500),4.04,0.019,8,280.39,2.26,0
p(start)psi(ndvi500 P und P water P ele P height500),4.15,0.0179,8,280.5,0,0
p()psi(disturb500 P forest500 P ndvi500 P water P height500 P distRoad),4.27,0.0169,8,280.62,2.29,1
p()psi(disturb500 P ndvi500 P und P water P ele P height500 P distRoad),4.32,0.0164,9,278.51,1.53,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele P height500),4.93,0.0121,10,276.93,0,1
p(start)psi(ndvi500 P ele P height500 P distRoad),4.96,0.012,7,283.45,4.12,1
p()psi(disturb500 P ndvi500 P water P ele P height500),5.19,0.0106,7,283.69,4.89,1
p(cloudCover)psi(forest500 P ndvi500 P height500 P distRoad),5.69,0.0083,7,284.18,0,0
p(cloudCover)psi(disturb500 P ndvi500 P ele P height500),5.83,0.0077,7,284.32,1.66,1
p(cloudCover)psi(disturb500 P ndvi500 P ele P height500 P distRoad),5.89,0.0075,8,282.24,1.59,1
p(start)psi(ndvi500 P und P ele P height500),5.9,0.0075,7,284.39,4.79,1
p(start)psi(ndvi500 P water P ele P height500),5.9,0.0075,7,284.39,1.74,1
p(start)psi(disturb500 P ndvi500 P ele P height500),5.93,0.0074,7,284.42,2.58,0
p(start)psi(forest500 P ndvi500 P height500 P distRoad),5.98,0.0072,7,284.47,3.41,1
p()psi(disturb500 P ndvi500 P und P ele P height500),5.99,0.0071,7,284.49,2.21,1
p()psi(disturb500 P ndvi500 P ele P height500 P distRoad),5.99,0.0071,7,284.49,4.51,1
p()psi(disturb500 P forest500 P und P water P ele P height500 P distRoad),6.01,0.0071,9,280.2,5.01,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P ele P height500 P distRoad),6.06,0.0069,9,280.25,5.92,1
p()psi(disturb500 P ndvi500 P und P ele P height500 P distRoad),6.12,0.0067,8,282.47,0.7,1
p(cloudCover)psi(disturb500 P ndvi500 P und P water P ele P height500 P distRoad),6.17,0.0065,10,278.17,5.35,1
p()psi(disturb500 P forest500 P ndvi500 P water P ele P height500 P distRoad),6.22,0.0064,9,280.41,5.47,1
p()psi(disturb500 P forest500 P water P height500),6.42,0.0058,6,287.03,-0.42,1
p()psi(disturb500 P water P ele P height500),6.42,0.0058,6,287.03,5.7,1
p()psi(disturb500 P forest500 P und P water P ele P distRoad),6.53,0.0055,8,282.88,5.93,1
p()psi(disturb500 P und P water P ele P height500),6.59,0.0053,7,285.08,5.71,1
p()psi(disturb500 P forest500 P water P height500 P distRoad),6.59,0.0053,7,285.08,3.47,1
p()psi(disturb500 P forest500 P und P water P height500),6.97,0.0044,7,285.46,0.69,1
p(cloudCover)psi(disturb500 P forest500 P und P water P ele P distRoad),6.97,0.0044,9,281.16,2.53,1
p()psi(disturb500 P forest500 P ndvi500 P ele P height500),6.98,0.0043,7,285.47,0,1
p(start)psi(disturb500 P ndvi500 P ele P height500 P distRoad),7.08,0.0041,8,283.43,3.97,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P water P height500 P distRoad),7.15,0.004,9,281.34,1.32,1
p(start)psi(disturb500 P ndvi500 P und P ele P height500 P distRoad),7.21,0.0039,9,281.4,5.46,1
p()psi(ele P distRoad),7.29,0.0037,4,292.1,3.65,1
p()psi(disturb500 P forest500 P ndvi500 P und P ele P height500),7.34,0.0036,8,283.69,1.68,1
p()psi(ndvi500 P height500 P distRoad),7.35,0.0036,5,290.07,4.81,1
p()psi(ndvi500 P und P distRoad),7.72,0.003,5,290.44,4.41,0
p()psi(forest500 P ndvi500 P water P distRoad),7.95,0.0027,6,288.57,0.86,0
p(start)psi(disturb500 P forest500 P und P water P ele P distRoad),8,0.0026,9,282.19,3.4,1
p(start)psi(disturb500 P forest500 P ndvi500 P ele P height500),8.07,0.0025,8,284.42,5.65,1
p(start)psi(disturb500 P ndvi500 P und P ele P height500),8.07,0.0025,8,284.42,5.82,1
p()psi(disturb500 P forest500 P ndvi500 P water P ele P height500),8.14,0.0024,8,284.49,1.12,1
p()psi(disturb500 P ndvi500 P und P water P ele P height500),8.14,0.0024,8,284.49,1.82,1
p()psi(disturb500 P forest500 P ndvi500 P ele P height500 P distRoad),8.14,0.0024,8,284.49,0,0
p()psi(ndvi500 P water P ele P distRoad),8.14,0.0024,6,288.76,4.33,1
p()psi(disturb500 P ndvi500 P und P height500 P distRoad),8.15,0.0024,7,286.65,1.44,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P ele P height500),8.21,0.0024,8,284.56,5.49,1
p(cloudCover)psi(disturb500 P forest500 P water P height500),8.24,0.0023,7,286.73,5.55,1
p(cloudCover)psi(disturb500 P water P ele P height500),8.36,0.0022,7,286.85,3.44,1
p(cloudCover)psi(disturb500 P forest500 P und P water P height500),8.4,0.0021,8,284.75,2.66,1
