Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start P cloudCover)psi(disturb100 P forest500 P ele),0,0.1264,7,130.44,5.18,1
p(start P cloudCover)psi(disturb100 P forest500 P und P water P ele P height500),0.54,0.0964,10,124.49,3.44,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P und P water P ele P height500),1.46,0.061,12,120.98,-0.37,1
p(start P cloudCover)psi(disturb100 P forest500 P und P height500 P distRoad),1.94,0.048,9,128.07,0.78,1
p(start P cloudCover)psi(disturb100 P forest500 P und P ele),2.03,0.0458,8,130.32,3.5,1
p(start P cloudCover)psi(disturb100 P forest500 P ele P height500),2.19,0.0423,8,130.49,2.28,1
p(observer1 P start P cloudCover)psi(disturb100 P height500),3.1,0.0268,8,131.39,0.53,1
p(start P cloudCover)psi(disturb100 P forest500 P ele P height500 P distRoad),3.63,0.0206,9,129.77,0,0
p(observer1 P start P cloudCover)psi(disturb100 P water P height500 P distRoad),3.72,0.0197,10,127.67,0.6,1
p(start P cloudCover)psi(disturb100 P forest500 P und P ele P height500),4.14,0.0159,9,130.28,1.97,1
p(start P cloudCover)psi(disturb100 P forest500 P water P ele P height500),4.31,0.0147,9,130.44,4.93,1
p(observer1 P start P cloudCover)psi(disturb100 P und P height500),4.39,0.0141,9,130.52,-0.98,1
p(start P cloudCover)psi(disturb100 P forest500 P water P height500 P distRoad),4.54,0.013,9,130.67,1.69,1
p(start P cloudCover)psi(disturb100 P forest500 P water P ele P height500 P distRoad),4.72,0.012,10,128.67,2.48,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500),4.78,0.0116,7,135.22,5.46,1
p(start P cloudCover)psi(disturb100 P height500),4.88,0.011,6,137.45,1.79,1
p(start P cloudCover)psi(disturb100 P forest500 P und P ele P height500 P distRoad),4.91,0.0109,10,128.86,4,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P und P ele P height500),4.97,0.0106,11,126.71,0.9,1
p(start P cloudCover)psi(disturb100 P ndvi500 P height500),5.36,0.0087,7,135.8,4.13,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P height500),5.36,0.0087,10,129.31,3.29,1
p(start P cloudCover)psi(disturb100 P und P height500),5.43,0.0084,7,135.87,4.32,0
p(start P cloudCover)psi(disturb100 P ele P height500),5.62,0.0076,7,136.06,4.52,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P ele),5.66,0.0075,9,131.79,5.88,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500),5.74,0.0072,8,134.03,0,1
p(start P cloudCover)psi(disturb100 P water P height500 P distRoad),5.74,0.0072,8,134.03,1.55,1
p(observer1 P start P cloudCover)psi(ndvi500 P ele),5.81,0.0069,8,134.1,5.74,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und),5.85,0.0068,10,129.8,0,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P water),5.85,0.0068,10,129.8,5.97,1
p(start P cloudCover)psi(disturb100 P ndvi500 P height500 P distRoad),6.14,0.0059,8,134.43,0.65,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P height500),6.19,0.0057,9,132.32,0.64,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P und),6.23,0.0056,9,132.37,5.39,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500),6.37,0.0052,9,132.5,3.6,1
p(start P cloudCover)psi(disturb100 P forest500 P und P height500),6.47,0.005,8,134.76,1.56,0
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P ele P distRoad),6.55,0.0048,10,130.5,0,1
p(start P cloudCover)psi(disturb100 P und P ele P height500),6.56,0.0048,8,134.86,5.7,1
p(start P cloudCover)psi(disturb100 P height500 P distRoad),6.62,0.0046,7,137.05,3.62,1
p(observer1 P start P cloudCover)psi(ndvi500 P ele P distRoad),6.67,0.0045,9,132.8,5.65,1
p(start P cloudCover)psi(forest500 P und P water P ele P height500),6.77,0.0043,9,132.9,0.13,0
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P height500),6.82,0.0042,11,128.56,3.85,1
p(start P cloudCover)psi(disturb100 P forest500 P water P height500),6.86,0.0041,8,135.16,0,1
p(start P cloudCover)psi(disturb100 P water P height500),7.02,0.0038,7,137.46,5.07,0
p(start P cloudCover)psi(disturb100 P ndvi500 P und P height500),7.02,0.0038,8,135.32,4.35,1
p(start P cloudCover)psi(disturb100 P ndvi500 P ele),7.21,0.0034,7,137.65,0,1
p(start P cloudCover)psi(disturb100 P forest500 P und P water P ele P height500 P distRoad),7.25,0.0034,11,128.99,4.48,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P und P ele),7.25,0.0034,10,131.2,0.44,1
p(start P cloudCover)psi(disturb100 P ndvi500 P und P water P height500),7.36,0.0032,9,133.5,-0.05,1
p(start P cloudCover)psi(ndvi500 P ele),7.45,0.003,6,140.01,4.21,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P height500 P distRoad),7.56,0.0029,11,129.31,3.35,1
p(start P cloudCover)psi(disturb100 P und P height500 P distRoad),7.57,0.0029,8,135.87,1.61,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P height500),7.6,0.0028,8,135.89,5.92,0
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),7.61,0.0028,10,131.56,1.87,0
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P water P ele P height500),7.63,0.0028,11,129.38,4.49,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P water P ele),7.65,0.0028,10,131.6,1.37,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und),7.65,0.0028,8,135.95,3.06,1
p(start P cloudCover)psi(forest500 P ndvi500 P distRoad),7.66,0.0027,7,138.1,4.23,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P ele P height500 P distRoad),7.69,0.0027,12,127.22,1.99,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P und P height500),7.73,0.0026,10,131.68,5,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P height500 P distRoad),7.73,0.0026,10,131.68,2.67,1
p(start P cloudCover)psi(disturb100 P ndvi500 P und P height500 P distRoad),7.8,0.0026,9,133.94,2.06,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P ele P height500),7.84,0.0025,10,131.79,5.15,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P distRoad),7.9,0.0024,9,134.03,0.43,1
p(start P cloudCover)psi(forest500 P water P height500),7.98,0.0023,7,138.42,3.17,1
p(start P cloudCover)psi(disturb100 P und P water P height500),8,0.0023,8,136.3,1.75,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P ele),8.02,0.0023,9,134.16,4.18,1
p(observer1 P start P cloudCover)psi(ndvi500 P water P ele),8.02,0.0023,9,134.16,4.49,1
p(observer1 P start P cloudCover)psi(ndvi500 P ele P height500),8.02,0.0023,9,134.16,5.98,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water),8.05,0.0023,11,129.8,1.32,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P distRoad),8.05,0.0023,11,129.8,5.08,1
p(start P cloudCover)psi(disturb100 P ndvi500 P ele P distRoad),8.15,0.0021,8,136.44,3.09,0
p(start P cloudCover)psi(forest500 P und P distRoad),8.19,0.0021,7,138.63,2.16,0
p(start P cloudCover)psi(ndvi500 P ele P distRoad),8.29,0.002,7,138.73,4.19,0
p(start P cloudCover)psi(forest500 P ndvi500 P height500),8.33,0.002,7,138.77,4.51,1
p(start P cloudCover)psi(forest500 P ndvi500 P und),8.38,0.0019,7,138.82,0,0
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P ele P height500 P distRoad),8.49,0.0018,11,130.24,3.27,1
p(observer1 P start P cloudCover)psi(disturb100 P ele P height500),8.5,0.0018,9,134.63,4.79,1
p(observer1 P start P cloudCover)psi(disturb100),8.53,0.0018,7,138.97,4.91,1
p(observer1 P start P cloudCover)psi(ndvi500 P ele P height500 P distRoad),8.73,0.0016,10,132.68,5.94,1
p(start P cloudCover)psi(forest500 P water P height500 P distRoad),8.75,0.0016,8,137.04,1.61,0
p(start P cloudCover)psi(disturb100 P ndvi500 P und P ele),8.78,0.0016,8,137.08,5.9,0
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P ele),8.8,0.0016,10,132.75,2.02,1
p(observer1 P start P cloudCover)psi(ndvi500 P und P ele),8.8,0.0015,9,134.94,1.75,1
p(start P cloudCover)psi(disturb100 P forest500 P und P water P ele),8.83,0.0015,9,134.96,1.89,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P height500),8.94,0.0014,9,135.08,0.85,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P distRoad),8.96,0.0014,10,132.91,5.65,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P water),9.01,0.0014,9,135.14,4.56,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P water P height500),9.01,0.0014,10,132.96,4.16,1
p(observer1 P start P cloudCover)psi(disturb100 P height500 P distRoad),9.02,0.0014,9,135.15,0.17,1
p(observer1 P start P cloudCover)psi(ele P distRoad),9.02,0.0014,8,137.32,0,1
p(start P cloudCover)psi(forest500),9.04,0.0014,5,143.71,4.73,0
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P height500),9.04,0.0014,12,128.56,3.36,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P distRoad),9.06,0.0014,9,135.19,2.31,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P height500),9.09,0.0013,9,135.22,3.44,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P height500 P distRoad),9.09,0.0013,9,135.22,1.91,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P ele),9.19,0.0013,8,137.49,4.13,1
p(start P cloudCover)psi(disturb100 P ndvi500 P water P ele),9.19,0.0013,8,137.49,2.89,1
p(observer1 P start P cloudCover)psi(ndvi500),9.22,0.0013,7,139.66,2.25,1
p(start P cloudCover)psi(disturb100 P ele),9.23,0.0013,6,141.79,5.7,0
p(start P cloudCover)psi(disturb100 P und P ele),9.24,0.0012,7,139.68,4.85,1
p(observer1 P start P cloudCover)psi(disturb100 P water),9.25,0.0012,8,137.54,5.56,1
p(start P cloudCover)psi(disturb100 P und P ele P height500 P distRoad),9.27,0.0012,9,135.4,1.65,1
p(start P cloudCover)psi(ndvi500 P und P ele),9.29,0.0012,7,139.73,0,0
p(start P cloudCover)psi(disturb100 P forest500 P height500),9.3,0.0012,7,139.74,0,0
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P ele P height500 P distRoad),9.33,0.0012,11,131.08,2.79,1
p(start P cloudCover)psi(disturb100 P ndvi500 P ele P height500),9.35,0.0012,8,137.65,1.56,0
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500),9.35,0.0012,8,137.65,3.16,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P water),9.36,0.0012,9,135.49,-0.42,1
p(start P cloudCover)psi(forest500 P ndvi500 P ele),9.36,0.0012,7,139.8,4.22,0
p(start P cloudCover)psi(ndvi500 P water P ele),9.36,0.0012,7,139.8,2.59,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P und P ele P height500),9.45,0.0011,11,131.2,4.11,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P height500 P distRoad),9.48,0.0011,12,129.01,4.81,1
p(start P cloudCover)psi(disturb100 P forest500 P height500 P distRoad),9.5,0.0011,8,137.79,5.36,1
p(start P cloudCover)psi(disturb100 P forest500 P distRoad),9.52,0.0011,7,139.96,0.23,1
p(observer1 P start P cloudCover)psi(height500),9.52,0.0011,7,139.96,0.21,0
p(start P cloudCover)psi(ndvi500 P ele P height500),9.52,0.0011,7,139.96,5.99,1
p(start P cloudCover)psi(disturb100 P forest500 P und P water),9.55,0.0011,8,137.85,0.78,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P ele P height500),9.6,0.001,10,133.55,5.51,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P und P water),9.61,0.001,10,133.56,-0.43,1
p(observer1 P start P cloudCover)psi(ndvi500 P und P ele P height500),9.63,0.001,10,133.58,1.96,1
p(observer1 P start P cloudCover)psi(distRoad),9.64,0.001,7,140.08,0,1
p(observer1 P start P cloudCover)psi(disturb100 P distRoad),9.68,0.001,8,137.98,-0.34,1
p(start P cloudCover)psi(forest500 P water),9.7,0.001,6,142.26,5.7,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P ele),9.76,0.001,9,135.9,0.05,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P distRoad),9.79,9e-04,9,135.92,3.6,0
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P water P ele),9.8,9e-04,11,131.55,0.73,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele P distRoad),9.81,9e-04,11,131.56,1.93,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P water P ele P height500 P distRoad),9.81,9e-04,13,127.1,1.13,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water),9.81,9e-04,9,135.95,3.35,1
p(observer1 P start P cloudCover)psi(disturb100 P und P height500 P distRoad),9.82,9e-04,10,133.77,0,1
p(start P cloudCover)psi(disturb100 P water P ele),9.83,9e-04,7,140.26,1.96,0
p(start P cloudCover)psi(forest500 P ndvi500 P und P height500),9.85,9e-04,8,138.15,0,1
p(start P cloudCover)psi(forest500 P ndvi500 P height500 P distRoad),9.85,9e-04,8,138.15,4.82,1
p(start P cloudCover)psi(disturb100 P forest500 P water P ele),9.88,9e-04,8,138.17,1.2,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P water P height500 P distRoad),9.89,9e-04,11,131.64,2.33,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P und P water P height500),9.91,9e-04,11,131.66,4.99,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P und P ele),9.93,9e-04,10,133.88,5.13,1
p(observer1 P start P cloudCover)psi(water P height500 P distRoad),9.94,9e-04,9,136.07,0.49,1
p(observer1 P start P cloudCover)psi(ndvi500 P water P ele P distRoad),9.94,9e-04,10,133.89,2.96,1
p(observer1 P start P cloudCover)psi(disturb100 P water P ele P height500),9.96,9e-04,10,133.91,1.13,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P ele P height500),9.99,9e-04,9,136.13,0,1
p(observer1 P start P cloudCover)psi(ndvi500 P und P ele P distRoad),10,9e-04,10,133.95,-1.93,1
p(start P cloudCover)psi(forest500 P ndvi500 P und P water),10.01,8e-04,8,138.31,4.89,1
p(observer1 P start P cloudCover)psi(disturb100 P water P ele P distRoad),10.04,8e-04,10,133.99,2.02,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P ele P height500),10.04,8e-04,11,131.79,0,1
p(start P cloudCover)psi(forest500 P und P water P height500),10.07,8e-04,8,138.37,-2.37,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P water P distRoad),10.08,8e-04,10,134.03,0,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P water P ele P height500),10.09,8e-04,12,129.61,2.35,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P water P ele P height500 P distRoad),10.12,8e-04,12,129.65,1.89,1
p(observer1 P start P cloudCover)psi(ndvi500 P water P ele P height500),10.13,8e-04,10,134.08,4.4,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P ele),10.13,8e-04,11,131.88,0,1
p(start P cloudCover)psi(disturb100 P water P ele P height500),10.14,8e-04,8,138.44,2.28,0
p(start P cloudCover)psi(forest500 P ndvi500 P und P ele),10.14,8e-04,8,138.44,5.85,1
p(start P cloudCover)psi(disturb100 P ndvi500 P water P ele P distRoad),10.2,8e-04,9,136.33,0,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P ele P height500),10.2,8e-04,10,134.16,5.81,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P ele P distRoad),10.2,8e-04,10,134.16,1.43,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P water),10.21,8e-04,8,138.51,4,1
p(start P cloudCover)psi(disturb100 P ndvi500 P ele P height500 P distRoad),10.22,8e-04,9,136.35,4.88,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ele P height500 P distRoad),10.23,8e-04,11,131.98,5.41,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P height500),10.25,8e-04,9,136.39,2.69,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P distRoad),10.27,7e-04,12,129.8,5.49,1
p(start P cloudCover)psi(disturb100),10.3,7e-04,5,144.98,5.88,1
p(start P cloudCover)psi(ele P distRoad),10.4,7e-04,6,142.96,5.22,0
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P water P ele P distRoad),10.41,7e-04,11,132.16,1.42,1
p(observer1 P start P cloudCover)psi(ele),10.42,7e-04,7,140.86,3.7,1
p(start P cloudCover)psi(ndvi500 P ele P height500 P distRoad),10.44,7e-04,8,138.73,5.82,0
p(observer1 P start P cloudCover)psi(ndvi500 P water P ele P height500 P distRoad),10.44,7e-04,11,132.18,0.52,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P water P height500),10.52,7e-04,11,132.27,2.41,1
p(start P cloudCover)psi(disturb100 P ele P distRoad),10.53,7e-04,7,140.97,0,1
p(start P cloudCover)psi(disturb100 P forest500 P und P water P height500 P distRoad),10.54,6e-04,10,134.49,5.45,1
p(observer1 P start P cloudCover)psi(water P ele P height500 P distRoad),10.57,6e-04,10,134.52,4.71,1
p(observer1 P start P cloudCover)psi(disturb100 P water P height500),10.6,6e-04,9,136.73,0,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P water P height500),10.62,6e-04,10,134.57,5.46,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P und P distRoad),10.62,6e-04,10,134.57,0,1
p(observer1 P start P cloudCover)psi(disturb100 P ele P distRoad),10.64,6e-04,9,136.77,2.93,1
p(observer1 P start P cloudCover)psi(ele P height500 P distRoad),10.65,6e-04,9,136.78,5.61,1
p(start P cloudCover)psi(height500),10.66,6e-04,5,145.33,2.03,0
p(start P cloudCover)psi(forest500 P ndvi500 P und P ele P distRoad),10.67,6e-04,9,136.8,2,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500),10.68,6e-04,8,138.97,4.93,1
p(observer1 P start P cloudCover)psi(disturb100 P und),10.68,6e-04,8,138.97,5.43,1
p(observer1 P start P cloudCover)psi(disturb100 P ele),10.68,6e-04,8,138.97,5.38,1
p(observer1 P start P cloudCover)psi(und P height500),10.68,6e-04,8,138.98,0.77,1
p(start P cloudCover)psi(ele P height500),10.71,6e-04,6,143.27,0.38,0
p(start P cloudCover)psi(disturb100 P ndvi500 P und P ele P height500),10.72,6e-04,9,136.85,2.27,1
p(start P cloudCover)psi(disturb100 P ndvi500 P und P ele P distRoad),10.72,6e-04,9,136.85,5.79,1
p(start P cloudCover)psi(forest500 P ndvi500 P und P ele P height500),10.74,6e-04,9,136.87,2.36,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P water P height500 P distRoad),10.74,6e-04,11,132.49,0.27,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P distRoad),10.75,6e-04,8,139.04,5.3,1
p(start P cloudCover)psi(disturb100 P ndvi500 P und P water P ele),10.75,6e-04,9,136.88,4.15,1
p(observer1 P start P cloudCover)psi(und P distRoad),10.75,6e-04,8,139.05,0,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P und P water P height500),10.8,6e-04,11,132.55,1.67,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P water P ele P height500 P distRoad),10.81,6e-04,12,130.34,2.94,1
p(start P cloudCover)psi(forest500 P und),10.86,6e-04,6,143.42,0,0
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P ele P height500 P distRoad),10.86,6e-04,10,134.81,4.17,1
p(start P cloudCover)psi(distRoad),10.89,5e-04,5,145.56,1.17,1
p(start P cloudCover)psi(disturb100 P ndvi500),10.95,5e-04,6,143.51,5.09,1
p(start P cloudCover)psi(ndvi500),10.95,5e-04,5,145.62,1.63,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P und),10.99,5e-04,9,137.13,0.15,1
p(observer1 P start P cloudCover)psi(disturb100 P ele P height500 P distRoad),11,5e-04,10,134.95,0,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P ele P distRoad),11,5e-04,11,132.75,1.37,1
p(observer1 P start P cloudCover)psi(ndvi500 P und),11.01,5e-04,8,139.3,5.47,1
p(start P cloudCover)psi(forest500 P ndvi500 P ele P height500),11.01,5e-04,8,139.31,5.23,1
p(start P cloudCover)psi(forest500 P ndvi500 P water),11.08,5e-04,7,141.52,2.43,1
p(start P cloudCover)psi(disturb100 P ndvi500 P water),11.11,5e-04,7,141.55,4.25,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P und P height500),11.13,5e-04,10,135.08,1.28,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P water P distRoad),11.16,5e-04,11,132.91,4.51,1
p(start P cloudCover)psi(forest500 P water P ele P height500),11.17,5e-04,8,139.47,2.79,0
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P height500 P distRoad),11.18,5e-04,13,128.47,4.36,1
p(start P cloudCover)psi(disturb100 P forest500 P und P water P height500),11.2,5e-04,9,137.33,4.83,1
p(observer1 P start P cloudCover)psi(ndvi500 P und P ele P height500 P distRoad),11.21,5e-04,11,132.96,4.41,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P height500 P distRoad),11.22,5e-04,10,135.17,0,1
p(start P cloudCover)psi(ndvi500 P und P ele P height500),11.23,5e-04,8,139.52,0,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P water P height500 P distRoad),11.23,5e-04,12,130.76,0.36,1
p(start P cloudCover)psi(disturb100 P water),11.24,5e-04,6,143.8,4.1,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P height500 P distRoad),11.24,5e-04,10,135.19,5.53,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P water P distRoad),11.25,5e-04,9,137.38,4.76,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P und P ele P distRoad),11.25,5e-04,11,133,0,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P ele P distRoad),11.26,5e-04,10,135.21,0,1
p(start P cloudCover)psi(forest500 P water P ele P height500 P distRoad),11.26,5e-04,9,137.39,1.62,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P water P height500),11.29,4e-04,10,135.24,2.05,1
p(start P cloudCover)psi(disturb100 P ndvi500 P water P ele P height500),11.3,4e-04,9,137.43,5.42,1
p(observer1 P start P cloudCover)psi(forest500 P ndvi500 P water P ele),11.32,4e-04,10,135.27,5.04,1
p(observer1 P start P cloudCover)psi(disturb100 P und P water P height500),11.33,4e-04,10,135.28,-0.81,1
p(observer1 P start P cloudCover)psi(disturb100 P ndvi500 P und P water P ele),11.35,4e-04,11,133.1,5.28,1
p(observer1 P start P cloudCover)psi(ndvi500 P water),11.36,4e-04,8,139.66,0,1
p(start P cloudCover)psi(forest500 P und P water P ele),11.41,4e-04,8,139.7,1.56,0
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P water),11.41,4e-04,9,137.54,5.78,1
p(observer1 P start P cloudCover)psi(disturb100 P und P water),11.41,4e-04,9,137.54,0,1
p(observer1 P start P cloudCover)psi(disturb100 P water P ele),11.41,4e-04,9,137.54,0,1
p(observer1 P start P cloudCover)psi(disturb100 P water P distRoad),11.41,4e-04,9,137.54,0.28,1
p(observer1 P start P cloudCover)psi(ndvi500 P und P water P ele),11.42,4e-04,10,135.37,0,1
p(observer1 P start P cloudCover)psi(ndvi500 P height500),11.42,4e-04,8,139.72,3,1
p(start P cloudCover)psi(disturb100 P distRoad),11.42,4e-04,6,143.99,4.74,1
p(observer1 P start P cloudCover)psi(ndvi500 P distRoad),11.42,4e-04,8,139.72,0,1
p(start P cloudCover)psi(water P height500 P distRoad),11.44,4e-04,7,141.88,1.08,1
