Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),0,0.4359,12,50.66,1.68,1
p(SURVEY P start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),1.21,0.2376,13,49.64,0,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),2.59,0.1195,12,53.25,3.43,1
p(SURVEY P start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),3.81,0.065,13,52.23,0,1
p(SURVEY P start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),3.97,0.06,13,52.39,3.51,1
p(SURVEY P start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),5.65,0.0259,13,54.07,0,1
p(SURVEY P start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),7.13,0.0124,13,55.55,1.38,1
p(SURVEY P start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),7.76,0.009,13,56.18,3.09,1
p(SURVEY P start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),8.03,0.0079,13,56.45,4.33,1
p(SURVEY P start)psi(disturb100 P forest500 P ndvi500 P und P water P ele),8.39,0.0066,13,56.81,5.63,1
p(SURVEY)psi(disturb100 P forest100 P ndvi500 P und P water P ele),9.03,0.0048,12,59.69,3.82,1
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P water P ele),9.06,0.0047,12,59.72,4.59,1
p(SURVEY)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),9.15,0.0045,12,59.81,0,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele),9.87,0.0031,12,60.53,1.48,1
p(SURVEY)psi(disturb100 P forest500 P ndvi500 P und P water P ele),10.36,0.0025,12,61.02,0,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),13.19,6e-04,12,63.85,0,0
p(SURVEY P start)psi(disturb100 P forest100 P ndvi100 P und P water P ele),21.64,0,13,70.06,4.68,0
p(SURVEY P start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),21.64,0,13,70.06,0,1
p(SURVEY P start)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),21.64,0,13,70.06,3.91,0
p(SURVEY P start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),21.64,0,13,70.06,3.15,0
p(SURVEY P start)psi(disturb100 P forest500 P ndvi100 P und P water P ele),21.64,0,13,70.06,5.83,1
p(SURVEY P start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),21.64,0,13,70.06,3.6,0
p(SURVEY P start)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),21.64,0,13,70.06,4.1,1
p(SURVEY P start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),21.64,0,13,70.06,0,0
p(SURVEY)psi(disturb100 P forest100 P ndvi100 P und P water P ele),22.64,0,12,73.3,0,0
p(SURVEY)psi(disturb500 P forest100 P ndvi100 P und P water P ele),22.64,0,12,73.3,5.1,0
p(SURVEY)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),22.64,0,12,73.3,4.73,0
p(SURVEY)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),22.64,0,12,73.3,4.85,1
p(SURVEY)psi(disturb100 P forest500 P ndvi100 P und P water P ele),22.64,0,12,73.3,0,0
p(SURVEY)psi(disturb500 P forest500 P ndvi100 P und P water P ele),22.64,0,12,73.3,0,0
p(SURVEY)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),22.64,0,12,73.3,0,0
p(SURVEY)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),22.64,0,12,73.3,4.28,1
