Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),0,0.5241,11,247.81,3.59,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),2.09,0.1844,15,240.89,0.73,1
p(observer1 P start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),3.67,0.0836,11,251.48,-1.15,1
p(SURVEY P observer1 P start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),4.95,0.0441,15,243.75,1.8,1
p(SURVEY P observer1 P start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),5.45,0.0343,15,244.26,0,1
p(observer1 P start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),5.9,0.0274,11,253.71,4.61,1
p(observer1 P start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),6.37,0.0216,11,254.19,5.93,1
p(SURVEY P observer1 P start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.79,0.0176,15,245.59,1.58,1
p(observer1 P start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),7.43,0.0127,11,255.25,0.33,1
p(SURVEY P observer1 P start)psi(disturb100 P forest500 P ndvi500 P und P water P ele),7.56,0.012,15,246.36,5.94,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),7.58,0.0118,15,246.39,-0.69,1
p(observer1 P start)psi(disturb100 P forest500 P ndvi500 P und P water P ele),8.58,0.0072,11,256.39,0,1
p(SURVEY P observer1 P start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),8.92,0.006,15,247.73,0.6,1
p(SURVEY P observer1 P start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),9.38,0.0048,15,248.19,0.81,1
p(observer1 P start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),9.94,0.0036,11,257.75,0.28,1
p(observer1 P start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),10.13,0.0033,11,257.94,0,1
p(SURVEY P observer1 P start)psi(disturb100 P forest100 P ndvi100 P und P water P ele),17.27,1e-04,15,256.07,5.59,1
p(SURVEY P observer1 P start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),17.27,1e-04,15,256.07,5.01,1
p(SURVEY P observer1 P start)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),17.27,1e-04,15,256.07,5.35,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),17.27,1e-04,15,256.07,0,1
p(SURVEY P observer1 P start)psi(disturb100 P forest500 P ndvi100 P und P water P ele),17.27,1e-04,15,256.07,4.64,1
p(SURVEY P observer1 P start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),17.27,1e-04,15,256.07,4.6,1
p(SURVEY P observer1 P start)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),17.27,1e-04,15,256.07,0,1
p(SURVEY P observer1 P start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),17.27,1e-04,15,256.07,0,1
p(observer1 P start)psi(disturb100 P forest100 P ndvi100 P und P water P ele),17.6,1e-04,11,265.42,5.19,1
p(observer1 P start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),17.6,1e-04,11,265.42,5.03,1
p(observer1 P start)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),17.6,1e-04,11,265.42,2.86,1
p(observer1 P start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),17.6,1e-04,11,265.42,0,1
p(observer1 P start)psi(disturb100 P forest500 P ndvi100 P und P water P ele),17.6,1e-04,11,265.42,3.04,1
p(observer1 P start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),17.6,1e-04,11,265.42,5.99,1
p(observer1 P start)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),17.6,1e-04,11,265.42,0,1
p(observer1 P start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),17.6,1e-04,11,265.42,0,1
