Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY)psi(disturb100 P forest500 P ndvi500 P und P water P ele),0,0.3051,12,59.63,1.46,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele),0.56,0.2304,12,60.19,0,1
p(SURVEY)psi(disturb100 P forest500 P ndvi100 P und P water P ele),1.66,0.1329,12,61.29,-1.88,1
p(SURVEY)psi(disturb100 P forest100 P ndvi500 P und P water P ele),2.22,0.1006,12,61.85,0.61,1
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P water P ele),2.38,0.0929,12,62.01,2.48,1
p(SURVEY)psi(disturb500 P forest100 P ndvi100 P und P water P ele),3.24,0.0603,12,62.87,0.08,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),4.52,0.0319,12,64.15,3.42,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),5.71,0.0175,12,65.34,1.31,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),6.84,0.01,12,66.47,-0.3,1
p(SURVEY)psi(disturb500 P forest500 P ndvi100 P und P water P ele),7.58,0.0069,12,67.21,0.17,1
p(SURVEY)psi(disturb100 P forest100 P ndvi100 P und P water P ele),8.61,0.0041,12,68.24,0.9,1
p(SURVEY)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),8.92,0.0035,12,68.55,-0.33,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),8.92,0.0035,12,68.55,0.49,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),14.57,2e-04,12,74.2,-0.24,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),17.57,0,12,77.2,0.31,1
p(SURVEY)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),20.77,0,12,80.4,-0.28,1
