Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele),0,0.2311,8,149.33,5.77,1
p(start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),0.29,0.2002,9,147.46,1.8,1
p(start)psi(disturb100 P forest500 P ndvi500 P und P water P ele),1.33,0.1187,9,148.5,0,1
p()psi(disturb100 P forest500 P ndvi500 P und P water P ele),2.27,0.0744,8,151.6,4.06,1
p(start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),2.46,0.0674,9,149.63,0,1
p()psi(disturb100 P forest100 P ndvi500 P und P water P ele),3,0.0516,8,152.33,0.76,1
p()psi(disturb500 P forest100 P ndvi500 P und P water P ele),3.14,0.048,8,152.47,3.41,1
p(start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),3.16,0.0476,9,150.33,5.47,1
p()psi(disturb100 P forest1500 P ndvi500 P und P water P ele),3.57,0.0387,8,152.9,1.82,1
p()psi(disturb100 P forest1000 P ndvi500 P und P water P ele),3.71,0.0361,8,153.05,1.29,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),3.97,0.0318,9,151.13,4.87,1
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),6.05,0.0112,9,153.22,0,0
p()psi(disturb500 P forest500 P ndvi100 P und P water P ele),6.6,0.0085,8,155.93,3.52,1
p()psi(disturb500 P forest1500 P ndvi100 P und P water P ele),7.26,0.0061,8,156.59,4.72,0
p(start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),7.72,0.0049,9,154.88,3.82,1
p(start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),8.09,0.004,9,155.26,1.79,1
p(start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),8.09,0.004,9,155.26,3.02,1
p(start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),8.09,0.004,9,155.26,0,1
p()psi(disturb500 P forest1500 P ndvi500 P und P water P ele),8.29,0.0037,8,157.62,1.81,1
p()psi(disturb500 P forest1000 P ndvi500 P und P water P ele),9.67,0.0018,8,159,4.95,1
p(start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),9.97,0.0016,9,157.13,0,1
p(start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),10.57,0.0012,9,157.74,-0.37,1
p(start)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),11.63,7e-04,9,158.79,5.11,1
p(start)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),12.11,5e-04,9,159.28,4.55,1
p()psi(disturb100 P forest100 P ndvi100 P und P water P ele),12.77,4e-04,8,162.11,0,0
p()psi(disturb100 P forest1000 P ndvi100 P und P water P ele),13.13,3e-04,8,162.46,0,0
p(start)psi(disturb100 P forest100 P ndvi100 P und P water P ele),13.26,3e-04,9,160.42,4.82,1
p()psi(disturb100 P forest500 P ndvi100 P und P water P ele),13.97,2e-04,8,163.3,0,0
p()psi(disturb100 P forest1500 P ndvi100 P und P water P ele),14.04,2e-04,8,163.37,0,0
p(start)psi(disturb100 P forest500 P ndvi100 P und P water P ele),14.5,2e-04,9,161.67,5.98,1
p()psi(disturb500 P forest100 P ndvi100 P und P water P ele),14.77,1e-04,8,164.1,0,0
p()psi(disturb500 P forest1000 P ndvi100 P und P water P ele),15.46,1e-04,8,164.79,0,1
