Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY)psi(disturb100 P forest100 P ndvi500 P und P water P ele),0,0.4635,12,86.61,0,1
p(SURVEY)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),3.14,0.0963,12,89.75,1.27,1
p(SURVEY P start)psi(disturb100 P forest500 P ndvi500 P und P water P ele),3.59,0.077,13,87.96,4.67,1
p(SURVEY P start)psi(disturb100 P forest100 P ndvi100 P und P water P ele),4.01,0.0625,13,88.37,4.59,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),4.61,0.0462,12,91.22,2.74,1
p(SURVEY P start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),5.37,0.0316,13,89.74,4.96,1
p(SURVEY P start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),5.52,0.0294,13,89.89,-0.4,0
p(SURVEY)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),6.72,0.0161,12,93.33,1.29,0
p(SURVEY)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),6.73,0.016,12,93.34,2.26,0
p(SURVEY)psi(disturb100 P forest500 P ndvi100 P und P water P ele),6.85,0.0151,12,93.45,0.4,0
p(SURVEY)psi(disturb100 P forest100 P ndvi100 P und P water P ele),6.85,0.0151,12,93.46,1.24,0
p(SURVEY)psi(disturb100 P forest500 P ndvi500 P und P water P ele),7,0.014,12,93.61,2.24,0
p(SURVEY)psi(disturb500 P forest500 P ndvi100 P und P water P ele),7.06,0.0136,12,93.67,4.79,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P water P ele),7.36,0.0117,12,93.97,5.25,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),7.59,0.0104,12,94.2,4.69,0
p(SURVEY)psi(disturb500 P forest100 P ndvi100 P und P water P ele),7.59,0.0104,12,94.2,5.11,0
p(SURVEY P start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),7.88,0.009,13,92.25,1.58,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),8.18,0.0078,12,94.79,5.18,0
p(SURVEY P start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),8.29,0.0073,13,92.66,5.07,0
p(SURVEY P start)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),8.39,0.007,13,92.76,0,1
p(SURVEY P start)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),8.41,0.0069,13,92.78,0,1
p(SURVEY P start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),8.55,0.0064,13,92.92,2.02,0
p(SURVEY P start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),8.93,0.0053,13,93.29,4.36,0
p(SURVEY P start)psi(disturb100 P forest500 P ndvi100 P und P water P ele),9.05,0.005,13,93.41,2.51,0
p(SURVEY P start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),9.11,0.0049,13,93.48,3.99,0
p(SURVEY P start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),9.36,0.0043,13,93.73,1.94,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),9.91,0.0033,12,96.52,2.38,1
p(SURVEY P start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),12.06,0.0011,13,96.42,3.37,1
p(SURVEY P start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),12.44,9e-04,13,96.81,1.16,1
p(SURVEY P start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),12.84,8e-04,13,97.21,1.3,0
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele),13.4,6e-04,12,100.01,3.76,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),13.4,6e-04,12,100.01,1.62,1
