Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),0,0.375,14,169.24,1.67,1
p(SURVEY P observer1)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),0.99,0.2292,14,170.22,1.25,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),1.31,0.1951,12,175.05,1.76,1
p(SURVEY P observer1)psi(disturb500 P forest500 P ndvi500 P und P water P ele),2.95,0.0858,14,172.19,0.32,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),5.5,0.024,12,179.24,0.85,1
p(SURVEY P observer1)psi(disturb100 P forest100 P ndvi500 P und P water P ele),5.66,0.0221,14,174.9,0,1
p(SURVEY)psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.58,0.0139,12,180.33,0,1
p(SURVEY P observer1)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),6.7,0.0131,14,175.94,0,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),6.79,0.0126,14,176.03,1.28,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P und P water P ele),7.08,0.0109,14,176.32,1.12,1
p(SURVEY)psi(disturb100 P forest500 P ndvi500 P und P water P ele),7.19,0.0103,12,180.93,0.13,1
p(SURVEY)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),7.74,0.0078,12,181.48,0,1
p(SURVEY)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),17.92,0,12,191.67,-0.87,1
p(SURVEY)psi(disturb100 P forest100 P ndvi100 P und P water P ele),18.58,0,12,192.33,-0.37,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),21.78,0,12,195.52,3.84,0
p(SURVEY)psi(disturb500 P forest500 P ndvi100 P und P water P ele),21.78,0,12,195.52,2.21,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),21.78,0,12,195.52,2.92,1
p(SURVEY)psi(disturb100 P forest500 P ndvi100 P und P water P ele),22.4,0,12,196.14,3.34,1
p(SURVEY)psi(disturb500 P forest100 P ndvi100 P und P water P ele),23.01,0,12,196.75,3.69,1
p(SURVEY P observer1)psi(disturb100 P forest100 P ndvi100 P und P water P ele),23.78,0,14,193.02,1.64,1
p(SURVEY P observer1)psi(disturb500 P forest100 P ndvi100 P und P water P ele),23.78,0,14,193.02,1.94,1
p(SURVEY P observer1)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),23.78,0,14,193.02,1.66,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),23.78,0,14,193.02,1.52,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi100 P und P water P ele),23.78,0,14,193.02,1.82,1
p(SURVEY P observer1)psi(disturb500 P forest500 P ndvi100 P und P water P ele),23.78,0,14,193.02,1.55,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),23.78,0,14,193.02,1.94,1
p(SURVEY P observer1)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),23.78,0,14,193.02,1.5,1
p(SURVEY P observer1)psi(disturb500 P forest100 P ndvi500 P und P water P ele),24.34,0,14,193.58,1.23,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),24.81,0,12,198.55,1.08,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),24.81,0,12,198.55,1.73,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele),24.81,0,12,198.55,0.18,1
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P water P ele),24.81,0,12,198.55,-2.41,1
