Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele),0,0.135,12,94.62,3.74,1
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele),0.3,0.1164,8,103.68,2.44,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),0.43,0.1089,9,101.65,5.66,1
p(cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),0.81,0.0899,9,102.04,0,1
p()psi(disturb500 P forest1500 P ndvi500 P und P water P ele),0.94,0.0845,8,104.33,5.13,1
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P water P ele),1.49,0.064,12,96.11,4.01,1
p()psi(disturb100 P forest500 P ndvi500 P und P water P ele),2.04,0.0487,8,105.43,4.59,1
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),2.86,0.0322,9,104.09,4.73,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),3.75,0.0207,12,98.37,5.63,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),3.76,0.0205,9,104.99,5.07,1
p()psi(disturb100 P forest1500 P ndvi500 P und P water P ele),3.78,0.0204,8,107.17,0,0
p(SURVEY)psi(disturb100 P forest500 P ndvi500 P und P water P ele),3.92,0.019,12,98.54,3.97,1
p()psi(disturb100 P forest1000 P ndvi500 P und P water P ele),4.04,0.0179,8,107.43,4.32,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),4.08,0.0175,12,98.7,2.93,1
p()psi(disturb500 P forest1000 P ndvi500 P und P water P ele),4.34,0.0154,8,107.73,4.55,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),5.08,0.0106,9,106.31,0,0
p()psi(disturb100 P forest1500 P ndvi100 P und P water P ele),5.09,0.0106,8,108.48,3.8,1
p(cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),5.12,0.0104,9,106.34,0,1
p()psi(disturb100 P forest500 P ndvi100 P und P water P ele),5.13,0.0104,8,108.52,0.58,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),5.25,0.0098,9,106.47,5.54,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),5.27,0.0097,12,99.89,0.64,0
p(SURVEY)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),5.36,0.0093,12,99.98,0,0
p()psi(disturb100 P forest100 P ndvi500 P und P water P ele),5.36,0.0093,8,108.75,2.38,1
p()psi(disturb500 P forest500 P ndvi100 P und P water P ele),5.45,0.0088,8,108.84,0.1,1
p()psi(disturb500 P forest1500 P ndvi100 P und P water P ele),5.52,0.0086,8,108.9,3.4,0
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),5.72,0.0077,9,106.94,2.32,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),5.91,0.007,12,100.54,4.07,1
p(SURVEY)psi(disturb100 P forest500 P ndvi100 P und P water P ele),6.12,0.0063,12,100.74,2.23,1
p(cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.16,0.0062,9,107.39,0,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),6.26,0.0059,9,107.48,4.29,1
p(SURVEY)psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.27,0.0059,12,100.89,3.87,1
p(SURVEY)psi(disturb500 P forest500 P ndvi100 P und P water P ele),6.42,0.0054,12,101.04,-6.36,1
p(cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),6.52,0.0052,9,107.75,-0.78,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),6.57,0.0051,9,107.79,4.31,0
p()psi(disturb100 P forest100 P ndvi100 P und P water P ele),6.84,0.0044,8,110.22,3.27,1
p(SURVEY)psi(disturb100 P forest100 P ndvi100 P und P water P ele),7.04,0.004,12,101.66,1.84,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),7.09,0.0039,12,101.71,4.38,0
p(SURVEY)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),7.11,0.0039,12,101.73,3.52,1
p()psi(disturb500 P forest1000 P ndvi100 P und P water P ele),7.39,0.0034,8,110.78,1.33,1
p()psi(disturb500 P forest100 P ndvi100 P und P water P ele),7.43,0.0033,8,110.82,-0.63,1
p(SURVEY)psi(disturb500 P forest100 P ndvi100 P und P water P ele),7.62,0.003,12,102.24,-4.84,1
p(cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),7.69,0.0029,9,108.92,1.15,1
p(cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),7.74,0.0028,9,108.96,0.03,1
p()psi(disturb100 P forest1000 P ndvi100 P und P water P ele),8.33,0.0021,8,111.72,0,1
p(cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),9.18,0.0014,9,110.41,-0.78,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),10.19,8e-04,9,111.42,4.61,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),11.16,5e-04,12,105.78,4,1
p()psi(disturb500 P forest100 P ndvi500 P und P water P ele),12.5,3e-04,8,115.89,0,1
