Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),0,0.1912,12,84.6,2.96,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),0.73,0.1324,12,85.33,3.65,1
p(SURVEY)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),1.02,0.1145,12,85.62,2.08,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),1.41,0.0945,12,86.01,5.59,1
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P water P ele),1.76,0.0794,12,86.35,2.26,0
p()psi(disturb100 P forest1000 P ndvi500 P und P water P ele),1.83,0.0764,8,95.2,0,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele),2.1,0.067,12,86.69,4.55,1
p(SURVEY)psi(disturb100 P forest500 P ndvi500 P und P water P ele),2.43,0.0567,12,87.03,5.32,1
p()psi(disturb100 P forest1500 P ndvi500 P und P water P ele),2.47,0.0556,8,95.84,1.73,0
p(SURVEY)psi(disturb100 P forest100 P ndvi500 P und P water P ele),3.41,0.0348,12,88,3.99,1
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele),4.21,0.0233,8,97.58,0,1
p()psi(disturb100 P forest500 P ndvi500 P und P water P ele),4.28,0.0225,8,97.64,4.04,0
p()psi(disturb500 P forest1000 P ndvi500 P und P water P ele),5.16,0.0145,8,98.52,0,1
p()psi(disturb100 P forest100 P ndvi500 P und P water P ele),5.22,0.0141,8,98.59,2.35,1
p()psi(disturb500 P forest1500 P ndvi500 P und P water P ele),5.71,0.011,8,99.07,3.75,1
p()psi(disturb500 P forest100 P ndvi500 P und P water P ele),6.07,0.0092,8,99.43,0,1
p(SURVEY)psi(disturb100 P forest100 P ndvi100 P und P water P ele),13.51,2e-04,12,98.1,2.95,1
p(SURVEY)psi(disturb500 P forest100 P ndvi100 P und P water P ele),13.51,2e-04,12,98.1,4.43,1
p(SURVEY)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),13.51,2e-04,12,98.1,0,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),13.51,2e-04,12,98.1,2.73,1
p(SURVEY)psi(disturb100 P forest500 P ndvi100 P und P water P ele),13.51,2e-04,12,98.1,4.51,0
p(SURVEY)psi(disturb500 P forest500 P ndvi100 P und P water P ele),13.51,2e-04,12,98.1,3.96,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),13.51,2e-04,12,98.1,5.28,0
p(SURVEY)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),13.51,2e-04,12,98.1,5.44,1
p()psi(disturb100 P forest100 P ndvi100 P und P water P ele),14.6,1e-04,8,107.96,0,1
p()psi(disturb500 P forest100 P ndvi100 P und P water P ele),14.6,1e-04,8,107.96,0,1
p()psi(disturb100 P forest1500 P ndvi100 P und P water P ele),14.6,1e-04,8,107.96,0,1
p()psi(disturb500 P forest1500 P ndvi100 P und P water P ele),14.6,1e-04,8,107.96,0,1
p()psi(disturb100 P forest500 P ndvi100 P und P water P ele),14.6,1e-04,8,107.96,0,1
p()psi(disturb500 P forest500 P ndvi100 P und P water P ele),14.6,1e-04,8,107.96,0,1
p()psi(disturb100 P forest1000 P ndvi100 P und P water P ele),14.6,1e-04,8,107.96,0,1
p()psi(disturb500 P forest1000 P ndvi100 P und P water P ele),14.6,1e-04,8,107.96,0,1
