Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),0,0.3115,9,194.09,0,1
p()psi(disturb100 P forest100 P ndvi100 P und P water P ele),1.87,0.1221,8,198.13,0,1
p()psi(disturb500 P forest100 P ndvi100 P und P water P ele),2.47,0.0905,8,198.73,1.59,1
p(start)psi(disturb100 P forest100 P ndvi100 P und P water P ele),3.89,0.0446,9,197.98,5.69,1
p(start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),4.25,0.0373,9,198.34,5.65,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),4.77,0.0287,9,198.86,0,1
p()psi(disturb100 P forest1500 P ndvi100 P und P water P ele),4.8,0.0283,8,201.06,0,1
p(cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),4.86,0.0275,9,198.95,0,1
p(start)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),4.99,0.0256,9,199.09,3.16,1
p()psi(disturb500 P forest100 P ndvi500 P und P water P ele),5.14,0.0239,8,201.4,0,1
p(cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),5.33,0.0217,9,199.42,4.34,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),5.54,0.0196,9,199.63,0,1
p()psi(disturb500 P forest1000 P ndvi500 P und P water P ele),6.04,0.0152,8,202.29,2.12,1
p(start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),6.09,0.0149,9,200.18,4.36,1
p()psi(disturb500 P forest1500 P ndvi100 P und P water P ele),6.26,0.0136,8,202.51,4.09,1
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele),6.26,0.0136,8,202.51,0,1
p(cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.42,0.0126,9,200.51,0,1
p(start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),6.7,0.0109,9,200.79,2.06,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),6.88,0.01,9,200.97,2.36,1
p()psi(disturb500 P forest1500 P ndvi500 P und P water P ele),6.92,0.0098,8,203.17,0,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),6.99,0.0094,9,201.09,3.86,1
p(start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),7.06,0.0091,9,201.16,5.96,1
p()psi(disturb100 P forest100 P ndvi500 P und P water P ele),7.14,0.0088,8,203.39,4.25,1
p(start)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),7.41,0.0077,9,201.5,1.58,1
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),7.48,0.0074,9,201.58,0,1
p()psi(disturb100 P forest500 P ndvi500 P und P water P ele),7.57,0.0071,8,203.83,0,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),7.61,0.0069,9,201.7,0,1
p()psi(disturb100 P forest1000 P ndvi500 P und P water P ele),7.68,0.0067,8,203.93,4.02,1
p(start)psi(disturb100 P forest500 P ndvi100 P und P water P ele),7.78,0.0064,9,201.87,1.15,1
p(start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),7.85,0.0061,9,201.95,0,1
p(start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),7.9,0.006,9,202,1.57,1
p(start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),7.9,0.006,9,202,5.13,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),8.08,0.0055,9,202.18,0,1
p(start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),8.25,0.005,9,202.34,3.34,1
p(start)psi(disturb100 P forest500 P ndvi500 P und P water P ele),8.25,0.005,9,202.35,4.43,1
p()psi(disturb100 P forest1500 P ndvi500 P und P water P ele),8.85,0.0037,8,205.1,2.49,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),8.87,0.0037,9,202.96,2.88,1
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),9.54,0.0026,9,203.63,4.63,1
p(cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),12.88,5e-04,9,206.98,4.51,1
p(cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),12.88,5e-04,9,206.98,0,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),12.88,5e-04,9,206.98,0,1
p(cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),12.88,5e-04,9,206.98,0,0
p(cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),12.88,5e-04,9,206.98,0,0
p(cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),12.88,5e-04,9,206.98,0,1
p()psi(disturb100 P forest500 P ndvi100 P und P water P ele),13,5e-04,8,209.25,4.94,1
p()psi(disturb500 P forest500 P ndvi100 P und P water P ele),13,5e-04,8,209.25,0,1
p()psi(disturb100 P forest1000 P ndvi100 P und P water P ele),13,5e-04,8,209.25,0,1
p()psi(disturb500 P forest1000 P ndvi100 P und P water P ele),13,5e-04,8,209.25,0,1
