Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),0,0.504,15,250.32,-0.83,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),1.04,0.299,15,251.36,0.57,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),3.24,0.1,15,253.56,-0.56,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),5.39,0.034,15,255.7,0,1
p(SURVEY P observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),6.17,0.023,15,256.49,0,0
p(SURVEY P observer1 P cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),7.09,0.015,15,257.41,0,0
p(SURVEY P observer1 P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),7.35,0.013,15,257.67,0,0
p(SURVEY P observer1 P cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),7.44,0.012,15,257.76,0,0
p(SURVEY P observer1 P cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),22.31,0,15,272.63,5.79,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),22.31,0,15,272.63,5.49,1
p(SURVEY P observer1 P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),22.31,0,15,272.63,0,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),22.31,0,15,272.63,3.96,1
p(SURVEY P observer1 P cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),22.31,0,15,272.63,0,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),22.31,0,15,272.63,5.87,1
p(SURVEY P observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),22.31,0,15,272.63,0,1
p(SURVEY P observer1 P cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),22.31,0,15,272.63,0,1
