Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),0,0.2725,10,75.88,0.49,1
p(observer1 P cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),0.15,0.2532,11,73.83,-0.09,1
p(observer1)psi(disturb500 P forest500 P ndvi100 P und P water P ele),2.19,0.0913,10,78.07,-0.54,1
p(observer1 P cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),2.54,0.0765,11,76.22,-0.04,1
p(observer1 P cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),2.79,0.0675,11,76.47,0.2,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi100 P und P water P ele),2.91,0.0636,14,69.87,0.69,1
p(observer1)psi(disturb100 P forest500 P ndvi100 P und P water P ele),3.02,0.0601,10,78.91,2.77,1
p(SURVEY P observer1)psi(disturb500 P forest500 P ndvi100 P und P water P ele),3.85,0.0397,14,70.81,2.01,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),6.01,0.0135,14,72.97,0.99,0
p(observer1)psi(disturb100 P forest100 P ndvi100 P und P water P ele),6.21,0.0122,10,82.09,0.16,1
p(observer1 P cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),6.87,0.0088,11,80.55,0.79,1
p(observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),7.05,0.008,11,80.73,4.91,1
p(observer1)psi(disturb500 P forest100 P ndvi100 P und P water P ele),7.58,0.0062,10,83.46,-0.93,1
p(observer1)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),8.16,0.0046,10,84.04,0.69,1
p(observer1)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),8.18,0.0046,10,84.06,-1,1
p(observer1 P cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),8.71,0.0035,11,82.39,1.85,1
p(observer1)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),9.47,0.0024,10,85.35,1.19,1
p(observer1)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),9.68,0.0022,10,85.56,2.64,1
p(observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),9.86,0.002,11,83.54,2.18,1
p(observer1)psi(disturb100 P forest100 P ndvi500 P und P water P ele),10.36,0.0015,10,86.24,5.18,1
p(observer1 P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),10.37,0.0015,11,84.05,5.34,1
p(SURVEY P observer1)psi(disturb100 P forest100 P ndvi500 P und P water P ele),10.6,0.0014,14,77.56,2.33,1
p(observer1 P cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),11.7,8e-04,11,85.38,1.13,1
p(observer1 P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),11.9,7e-04,11,85.58,1.2,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P und P water P ele),12.92,4e-04,14,79.87,1.33,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),12.96,4e-04,11,86.64,1.44,1
p(observer1)psi(disturb100 P forest500 P ndvi500 P und P water P ele),13.16,4e-04,10,89.04,5.34,1
