Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),0,0.1762,9,253.37,0,1
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),1.79,0.072,12,248.55,0,0
p(start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),1.97,0.0659,9,255.34,5.05,1
p(SURVEY P start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),2.2,0.0587,13,246.72,0,1
p(SURVEY)psi(disturb100 P forest100 P ndvi500 P und P water P ele),2.49,0.0507,12,249.26,5.05,1
p(SURVEY)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),2.56,0.0491,12,249.32,3.65,1
p()psi(disturb100 P forest500 P ndvi500 P und P water P ele),2.65,0.0468,8,258.18,1.88,0
p()psi(disturb100 P forest1000 P ndvi500 P und P water P ele),2.65,0.0468,8,258.18,3.74,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),2.7,0.0456,9,256.07,5.45,1
p(SURVEY P start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),2.82,0.0431,13,247.34,5.53,1
p(SURVEY)psi(disturb100 P forest500 P ndvi500 P und P water P ele),3.02,0.039,12,249.78,0,1
p(SURVEY P start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),3.52,0.0303,13,248.04,5.35,0
p()psi(disturb100 P forest1500 P ndvi500 P und P water P ele),3.55,0.0299,8,259.08,4.39,1
p()psi(disturb500 P forest500 P ndvi100 P und P water P ele),3.85,0.0258,8,259.38,2.72,1
p()psi(disturb100 P forest100 P ndvi500 P und P water P ele),3.85,0.0258,8,259.38,0,1
p(SURVEY P start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),4.38,0.0197,13,248.9,-0.73,1
p(SURVEY P start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),4.54,0.0182,13,249.07,2.48,1
p(SURVEY P start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),4.7,0.0168,13,249.22,0,1
p(start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),4.82,0.0158,9,258.19,2.07,1
