Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P water P ele),0,0.7259,12,627.44,5.55,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),2.93,0.1681,12,630.37,4.86,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),5.27,0.0521,12,632.71,5.3,0
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele),6.47,0.0286,12,633.91,2.19,1
p(SURVEY)psi(disturb100 P forest100 P ndvi500 P und P water P ele),7.11,0.0207,12,634.56,5.17,0
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),12.45,0.0014,12,639.89,0,0
p(SURVEY)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),12.5,0.0014,12,639.95,0,0
p(SURVEY)psi(disturb100 P forest500 P ndvi500 P und P water P ele),12.84,0.0012,12,640.28,0,0
p(SURVEY)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),16.86,2e-04,12,644.3,4.94,1
p(SURVEY)psi(disturb100 P forest100 P ndvi100 P und P water P ele),19.62,0,12,647.07,5.07,1
p(SURVEY)psi(disturb500 P forest100 P ndvi100 P und P water P ele),19.62,0,12,647.07,2.15,1
p(SURVEY)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),19.62,0,12,647.07,0,1
p(SURVEY)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),19.62,0,12,647.07,4.64,1
p(SURVEY)psi(disturb100 P forest500 P ndvi100 P und P water P ele),19.62,0,12,647.07,3.96,1
p(SURVEY)psi(disturb500 P forest500 P ndvi100 P und P water P ele),19.62,0,12,647.07,3.85,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),19.62,0,12,647.07,3.59,1
