Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),0,0.2813,9,221.82,5.66,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),0.26,0.2467,9,222.08,0,1
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),1.9,0.1088,10,221.54,0,1
p(start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),3.01,0.0623,10,222.65,3.71,1
p(cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),4.4,0.0312,9,226.22,1.81,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),4.81,0.0254,9,226.62,1.91,1
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),4.85,0.0249,10,224.49,3.76,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),5.2,0.0209,10,224.84,2.59,1
p(start P cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),5.22,0.0207,10,224.86,0.57,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),5.43,0.0187,9,227.25,3.22,1
p(start P cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),5.63,0.0168,10,225.27,4.44,1
p(cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),5.65,0.0167,9,227.47,0,1
p(start P cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),5.98,0.0142,10,225.61,4.47,1
p(start P cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),6.08,0.0135,10,225.71,2.4,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),6.13,0.0131,9,227.95,5.06,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),6.19,0.0127,10,225.83,5.47,1
p(cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),6.38,0.0116,9,228.2,-0.33,1
p(start P cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),6.95,0.0087,10,226.59,0.98,1
p(start P cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.97,0.0086,10,226.6,5.65,0
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),7.81,0.0057,9,229.63,0,1
p(start P cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),8.34,0.0044,10,227.97,0,1
p(cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),8.34,0.0043,9,230.16,0,1
p(cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),8.34,0.0043,9,230.16,4.78,1
p(cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),8.34,0.0043,9,230.16,5.07,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),8.34,0.0043,9,230.16,4.01,1
p(start P cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),8.87,0.0033,10,228.51,0.26,1
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),8.91,0.0033,9,230.73,5.14,1
p(start P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),9.4,0.0026,10,229.03,0,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),9.48,0.0025,9,231.29,3.33,1
p(cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),9.49,0.0025,9,231.31,4.69,1
p(start P cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),11.34,0.001,10,230.98,2.91,1
p(start P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),11.34,0.001,10,230.98,5.76,1
