Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1 P start P cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),0,0.2943,12,322.73,0.31,1
p(observer1 P start P cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),0.48,0.2315,12,323.21,3.97,1
p(observer1 P cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),1.11,0.1689,11,326.06,0.68,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),2.29,0.0937,12,325.02,0.22,1
p(observer1 P cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),3.28,0.057,11,328.23,-0.02,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),3.54,0.0501,12,326.27,-0.38,1
p(observer1 P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),4.19,0.0362,11,329.14,-0.77,1
p(observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),6.51,0.0114,12,329.24,0,0
p(observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),7.11,0.0084,12,329.84,0,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),8.15,0.005,12,330.89,0,0
p(observer1 P start P cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),8.85,0.0035,12,331.58,6,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),9.02,0.0032,12,331.75,0,0
p(observer1 P start P cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),9.07,0.0032,12,331.81,0,1
p(observer1 P cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),9.11,0.0031,11,334.06,0,0
p(observer1 P start P cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),9.48,0.0026,12,332.21,0.8,1
p(observer1 P start P cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),9.52,0.0025,12,332.25,0,1
p(observer1 P start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),9.53,0.0025,12,332.26,0,0
p(observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),9.68,0.0023,11,334.63,5.52,1
p(observer1 P cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),9.88,0.0021,11,334.84,0,0
p(observer1 P start P cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),10.2,0.0018,12,332.93,3.92,0
p(observer1 P start P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),10.23,0.0018,12,332.96,2.23,0
p(observer1 P start P cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),10.24,0.0018,12,332.97,4.46,0
p(observer1 P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),10.56,0.0015,11,335.52,0,0
p(observer1 P cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),10.57,0.0015,11,335.52,5.32,0
p(observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),10.57,0.0015,11,335.53,0,0
p(observer1 P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),10.72,0.0014,11,335.67,2.88,1
p(observer1 P cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),10.73,0.0014,11,335.69,5.99,0
p(observer1 P cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),10.8,0.0013,11,335.76,5.61,1
p(observer1 P cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),10.84,0.0013,11,335.79,5.17,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),11.24,0.0011,11,336.19,3.2,1
p(observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),11.27,0.0011,11,336.22,4.49,1
p(observer1 P cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),11.27,0.0011,11,336.22,2.57,0
