Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),0,0.6083,9,196.85,1.96,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),3.01,0.1351,14,188.74,0,1
p()psi(disturb500 P forest1000 P ndvi500 P und P water P ele),5.63,0.0364,8,204.64,5.04,1
p()psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.24,0.0268,8,205.25,1.36,1
p(start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.74,0.021,9,203.58,2.53,1
p(start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),6.9,0.0194,9,203.74,0,1
p()psi(disturb100 P forest1000 P ndvi500 P und P water P ele),6.9,0.0193,8,205.91,0.58,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),7.09,0.0176,9,203.93,4.37,1
p(observer1)psi(disturb100 P forest100 P ndvi500 P und P water P ele),7.27,0.016,10,201.94,1.83,1
p(cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),8.37,0.0093,9,205.21,3.9,0
p(observer1)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),8.45,0.0089,10,203.11,-2,1
p(SURVEY)psi(disturb100 P forest100 P ndvi500 P und P water P ele),8.62,0.0082,12,198.86,4.19,1
p(SURVEY)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),8.62,0.0082,12,198.86,1.79,1
p()psi(disturb500 P forest100 P ndvi500 P und P water P ele),8.74,0.0077,8,207.75,0,0
p(SURVEY)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),9.23,0.006,12,199.47,3.53,1
p(SURVEY P observer1)psi(disturb100 P forest100 P ndvi500 P und P water P ele),9.36,0.0056,14,195.1,0.6,1
p()psi(disturb100 P forest1500 P ndvi500 P und P water P ele),9.54,0.0051,8,208.55,0,1
p(observer1)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),9.65,0.0049,10,204.31,3.99,1
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele),9.89,0.0043,8,208.89,3.88,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P water P ele),10.61,0.003,12,200.85,3.5,1
p(observer1)psi(disturb500 P forest500 P ndvi500 P und P water P ele),11.03,0.0024,10,205.69,0,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),11.05,0.0024,9,207.89,0,1
p()psi(disturb500 P forest1500 P ndvi500 P und P water P ele),11.23,0.0022,8,210.24,2.07,1
p(start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),11.41,0.002,9,208.25,5.73,0
p(SURVEY)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),11.55,0.0019,12,201.79,5.72,1
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),11.6,0.0018,9,208.45,5.81,0
p(start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),11.66,0.0018,9,208.51,1.05,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),11.74,0.0017,9,208.58,0,1
p(SURVEY P observer1)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),12.34,0.0013,14,198.07,2.15,1
p(SURVEY)psi(disturb500 P forest500 P ndvi500 P und P water P ele),12.35,0.0013,12,202.59,3.2,1
p(SURVEY P observer1)psi(disturb500 P forest500 P ndvi500 P und P water P ele),12.59,0.0011,14,198.33,2.64,1
p(SURVEY P observer1)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),13.03,9e-04,14,198.77,0.22,1
p(SURVEY P observer1)psi(disturb500 P forest100 P ndvi500 P und P water P ele),13.51,7e-04,14,199.25,1.94,1
p(observer1)psi(disturb500 P forest100 P ndvi500 P und P water P ele),14.75,4e-04,10,209.41,0.63,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),14.96,3e-04,9,211.81,0,0
p(observer1)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),15.14,3e-04,10,209.8,4.79,1
