Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p()psi(disturb100 P forest1500 P ndvi100 P und P water P ele),0,0.2793,8,121.58,3.4,1
p()psi(disturb100 P forest100 P ndvi100 P und P water P ele),0.6,0.2066,8,122.19,0,1
p()psi(disturb100 P forest1000 P ndvi100 P und P water P ele),1.34,0.1427,8,122.93,2.55,1
p()psi(disturb100 P forest500 P ndvi100 P und P water P ele),2.78,0.0697,8,124.36,2.45,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),3.08,0.0599,9,122.5,5.31,1
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),3.14,0.0581,9,122.56,1.93,1
p()psi(disturb100 P forest1000 P ndvi500 P und P water P ele),4.95,0.0235,8,126.53,-1.81,1
p(start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),5.49,0.018,9,124.91,0.22,0
p(observer1 P cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),5.7,0.0162,11,120.73,2.55,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),6.07,0.0134,9,125.49,-2.64,1
p()psi(disturb100 P forest500 P ndvi500 P und P water P ele),6.24,0.0123,8,127.82,1.49,1
p(observer1 P cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),6.42,0.0113,11,121.45,2.94,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),6.42,0.0113,9,125.84,0,1
p()psi(disturb500 P forest1500 P ndvi500 P und P water P ele),6.49,0.0109,8,128.07,2.73,1
p(observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),7.1,0.008,11,122.14,2.2,1
p()psi(disturb100 P forest1500 P ndvi500 P und P water P ele),7.48,0.0066,8,129.07,3.62,1
p(observer1)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),7.59,0.0063,10,124.82,0,1
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),7.6,0.0062,9,127.02,2.5,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),7.79,0.0057,9,127.21,3.7,1
p(observer1 P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),8.02,0.0051,11,123.05,4.88,1
p(start)psi(disturb100 P forest500 P ndvi500 P und P water P ele),8.08,0.0049,9,127.5,5.26,1
p(observer1)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),8.37,0.0043,10,125.6,0,1
p(start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),8.82,0.0034,9,128.24,3.93,1
p(observer1)psi(disturb100 P forest500 P ndvi500 P und P water P ele),8.96,0.0032,10,126.19,3.06,1
p(observer1)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),9.18,0.0028,10,126.42,2.84,1
p(cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),9.87,0.002,9,129.29,5.53,1
p()psi(disturb100 P forest100 P ndvi500 P und P water P ele),10.29,0.0016,8,131.88,3.71,1
p(observer1 P cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),11.23,0.001,11,126.27,5.32,1
p(observer1)psi(disturb100 P forest100 P ndvi500 P und P water P ele),11.66,8e-04,10,128.9,5.37,1
p(observer1 P cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),12.07,7e-04,11,127.11,5.48,1
p()psi(disturb500 P forest100 P ndvi500 P und P water P ele),12.26,6e-04,8,133.84,4.73,1
p()psi(disturb500 P forest1000 P ndvi500 P und P water P ele),12.26,6e-04,8,133.84,1.75,1
p(cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),13.3,4e-04,9,132.72,5.76,1
p(cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),13.59,3e-04,9,133.01,3.08,1
p(observer1 P cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),13.97,3e-04,11,129,0.11,1
p()psi(disturb500 P forest100 P ndvi100 P und P water P ele),14.31,2e-04,8,135.89,0.8,0
p(observer1 P cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),14.48,2e-04,11,129.52,0.85,1
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele),14.81,2e-04,8,136.4,1.52,1
p()psi(disturb500 P forest1000 P ndvi100 P und P water P ele),14.93,2e-04,8,136.51,3.35,0
p(start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),14.94,2e-04,9,134.36,1.09,1
p(observer1)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),15.12,1e-04,10,132.36,3.17,1
p(start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),15.19,1e-04,9,134.61,2.8,1
p()psi(disturb500 P forest500 P ndvi100 P und P water P ele),15.68,1e-04,8,137.27,3.82,1
p(observer1)psi(disturb500 P forest100 P ndvi500 P und P water P ele),15.73,1e-04,10,132.97,-0.29,1
p(start)psi(disturb100 P forest500 P ndvi100 P und P water P ele),15.77,1e-04,9,135.19,4.89,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),15.93,1e-04,9,135.35,2.9,0
p(observer1 P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),16.64,1e-04,11,131.67,-0.77,0
p(cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),17.12,1e-04,9,136.54,1.79,1
p(start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),17.12,1e-04,9,136.54,1.31,1
p(observer1)psi(disturb500 P forest500 P ndvi500 P und P water P ele),17.23,1e-04,10,134.47,-0.7,1
p(observer1 P cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),18.57,0,11,133.6,-0.34,1
p(observer1)psi(disturb500 P forest100 P ndvi100 P und P water P ele),19.15,0,10,136.38,-1.11,1
p(observer1)psi(disturb500 P forest500 P ndvi100 P und P water P ele),19.75,0,10,136.99,0.26,1
p(observer1 P cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),19.81,0,11,134.84,0.23,1
p(start)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),20.01,0,9,139.43,5.4,1
p(start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),20.11,0,9,139.53,1.48,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),20.21,0,9,139.63,0,1
p(observer1)psi(disturb100 P forest100 P ndvi100 P und P water P ele),22.63,0,10,139.87,-1.14,1
p()psi(disturb500 P forest1500 P ndvi100 P und P water P ele),22.83,0,8,144.41,0,0
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),23.87,0,9,143.29,0,1
p(observer1 P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),24.71,0,11,139.75,-0.08,1
p(start)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),25.25,0,9,144.67,2.4,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),26.15,0,9,145.57,0,1
p(observer1)psi(disturb100 P forest500 P ndvi100 P und P water P ele),27.47,0,10,144.7,0.25,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),29.92,0,9,149.34,5.45,1
p(cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),29.92,0,9,149.34,4.99,1
p(cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),30.62,0,9,150.04,0,0
p(cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),30.62,0,9,150.04,0,1
p(observer1 P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),31.05,0,11,146.09,5.4,1
p(observer1 P cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),31.05,0,11,146.09,4.93,1
p(start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),31.25,0,9,150.67,5.2,1
p(start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),31.25,0,9,150.67,5.69,1
p(observer1 P cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),31.74,0,11,146.78,3.43,1
p(observer1 P cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),31.74,0,11,146.78,3.96,1
p(start)psi(disturb100 P forest100 P ndvi100 P und P water P ele),31.83,0,9,151.25,5.02,1
p(start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),31.83,0,9,151.25,4.68,1
p(observer1)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),32.21,0,10,149.45,5.05,1
p(observer1)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),32.21,0,10,149.45,5.21,1
p(observer1)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),32.21,0,10,149.45,4.89,1
p(observer1)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),32.21,0,10,149.45,4.51,1
