Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),0,0.2553,9,164.57,0,1
p(start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),2.04,0.092,9,166.61,1.75,1
p(cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),2.26,0.0826,9,166.83,3.27,1
p()psi(disturb500 P forest100 P ndvi500 P und P water P ele),4.54,0.0264,8,171.27,5.24,0
p()psi(disturb100 P forest100 P ndvi100 P und P water P ele),4.6,0.0256,8,171.33,0,0
p(start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),4.67,0.0247,9,169.24,0.58,1
p()psi(disturb500 P forest1000 P ndvi500 P und P water P ele),4.68,0.0246,8,171.41,5.07,0
p()psi(disturb100 P forest1000 P ndvi100 P und P water P ele),4.73,0.0239,8,171.47,5.68,0
p()psi(disturb500 P forest1500 P ndvi500 P und P water P ele),4.8,0.0232,8,171.53,4.54,0
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele),4.9,0.0221,8,171.63,0,0
p()psi(disturb100 P forest1500 P ndvi100 P und P water P ele),4.9,0.0221,8,171.63,5.91,0
p()psi(disturb100 P forest500 P ndvi100 P und P water P ele),4.98,0.0212,8,171.71,0,0
p()psi(disturb100 P forest100 P ndvi500 P und P water P ele),5.11,0.0199,8,171.84,5.36,0
p(SURVEY)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),5.2,0.019,12,163.16,0,1
p()psi(disturb100 P forest1000 P ndvi500 P und P water P ele),5.21,0.0188,8,171.94,0,0
p()psi(disturb100 P forest500 P ndvi500 P und P water P ele),5.22,0.0188,8,171.95,0,0
p()psi(disturb100 P forest1500 P ndvi500 P und P water P ele),5.28,0.0182,8,172.01,0,0
p()psi(disturb500 P forest100 P ndvi100 P und P water P ele),5.32,0.0178,8,172.05,4.62,0
p()psi(disturb500 P forest1000 P ndvi100 P und P water P ele),5.39,0.0172,8,172.12,5.73,0
p()psi(disturb500 P forest1500 P ndvi100 P und P water P ele),5.65,0.0151,8,172.38,5.23,0
p()psi(disturb500 P forest500 P ndvi100 P und P water P ele),6,0.0127,8,172.73,5.86,0
p(cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),6.02,0.0126,9,170.59,5.42,0
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),6.12,0.012,9,170.69,5.85,0
p(cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.52,0.0098,9,171.09,0,0
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),6.62,0.0093,9,171.18,0,0
p(start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),6.62,0.0093,9,171.19,5.24,0
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),6.66,0.0091,9,171.23,0,0
p(start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),6.67,0.0091,9,171.24,1.39,0
p(cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),6.67,0.0091,9,171.24,0,0
p(start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),6.68,0.0091,9,171.25,5.98,0
p(start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),6.75,0.0087,9,171.32,5.62,0
p(SURVEY)psi(disturb500 P forest100 P ndvi500 P und P water P ele),6.77,0.0086,12,164.74,5.4,0
p(start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),6.84,0.0083,9,171.41,5.85,0
p(SURVEY)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),6.91,0.008,12,164.88,4.94,0
p(start)psi(disturb100 P forest500 P ndvi500 P und P water P ele),6.95,0.0079,9,171.52,0,0
